insee;commune;zfang_regime;frr_classement
97401;Les Avirons;standard;partie
97402;Bras-Panon;renforce;partie
97403;Entre-Deux;standard;partie
97404;L'Étang-Salé;standard;partie
97405;Petite-Île;standard;partie
97406;La Plaine-des-Palmistes;renforce;totalite
97407;Le Port;standard;hors
97408;La Possession;standard;partie
97409;Saint-André;renforce;partie
97410;Saint-Benoît;renforce;partie
97411;Saint-Denis;standard;partie
97412;Saint-Joseph;standard;partie
97413;Saint-Leu;standard;partie
97414;Saint-Louis;standard;partie
97415;Saint-Paul;standard;partie
97416;Saint-Pierre;standard;partie
97417;Saint-Philippe;standard;partie
97418;Sainte-Marie;standard;partie
97419;Sainte-Rose;renforce;partie
97420;Sainte-Suzanne;standard;partie
97421;Salazie;renforce;totalite
97422;Le Tampon;standard;partie
97423;Les Trois-Bassins;standard;partie
97424;Cilaos;standard;totalite
