robinet_id;chiffre_id;libelle_affiche;unite;niveau;calcul;fichier_ligne;reservoirs_lus;run_lu;cache;tampon;definition_lue;preuve
couche_verdict;tier_opportunite;Verdict · Classement servi;classe;parcelle;moteur:scoring_p_v2;"src/labuse/cli.py (build-mvt) ; parcel_flags";cosia,sitadel,dvf,filosofi_carreaux,bd_topo;q_v11_m137 (constante_unique);tuiles MVT (api/tiles.py, invalidé mvt_meta);run;tier du run servi (brûlante→froide), reconstruit à la bascule;"src/labuse/cli.py (build-mvt) ; parcel_flags"
couche_zonage_plu;zone_plu_famille;Zonage PLU (par type);classe;parcelle;passe_plat;src/labuse/api/app.py:map_layers_geojson (parcel_zone_plu);gpu_plu_api_carto;live;aucun;rien;famille de zone (U/AU/A/N) portée par parcel_zone_plu, une zone par parcelle;src/labuse/api/app.py:map_layers_geojson (parcel_zone_plu)
couche_vefa;tranche_prix_vefa;Prix du logement neuf (VEFA);tranche;commune;moteur:marche_communes;src/labuse/ingestion/vefa_neuf.py:118;dvf,sitadel;live;spatial_layers (précalcul couche);rien;tranche de prix médian VEFA 36 mois glissants, ≥10 ventes avec prix sinon hachure;src/labuse/ingestion/vefa_neuf.py:118
couche_densifier;classe_residuel;Densifier l'existant;classe;parcelle;moteur:residuel;src/labuse/faisabilite/residuel.py:80;cosia,bd_topo,cadastre_api_carto;residuel_runs.is_served (pointeur propre);aucun;rien;classe de sous-densité issue de la vue parcel_residuel (run résiduel servi);src/labuse/faisabilite/residuel.py:80
outil_etudier_bien;tier_opportunite;Verdict (tier);classe;parcelle;moteur:scoring_p_v2;src/labuse/api/modules.py:scoreur_adresse;cosia,sitadel,dvf;q_v11_m137 (constante_unique);aucun;rien;tier lu de parcel_p_score_v2 au run servi;src/labuse/api/modules.py:scoreur_adresse
outil_etudier_bien;surface_parcelle_m2;Surface;m²;parcelle;passe_plat;src/labuse/api/modules.py:scoreur_adresse;cadastre_api_carto;live;aucun;rien;surface cadastrale parcels.surface_m2;src/labuse/api/modules.py:scoreur_adresse
outil_faisabilite;capacite_logements;Capacité (logements);logements;parcelle;moteur:residuel;src/labuse/api/modules.py:faisabilite_sens1;gpu_plu_api_carto,cosia,bd_topo;residuel_runs.is_served;aucun;rien;capacité estimée depuis SDP résiduelle / taille moyenne logement;src/labuse/api/modules.py:faisabilite_sens1
outil_faisabilite;sdp_residuelle_m2;SDP résiduelle;m²;parcelle;moteur:residuel;src/labuse/faisabilite/residuel.py:80;gpu_plu_api_carto,cosia;residuel_runs.is_served;aucun;rien;max(0, SDP_max − SDP_existante);src/labuse/faisabilite/residuel.py:80
outil_faisabilite;charge_fonciere_eur;Charge foncière;€;parcelle;moteur:bilan_promoteur;src/labuse/faisabilite/bilan.py;dvf,cadastre_api_carto;live;aucun;rien;prix de sortie × SDP − coûts − marge (bilan à rebours);src/labuse/faisabilite/bilan.py
outil_taxe_amenagement;taxe_amenagement_eur;Taxe d'aménagement;€;parcelle;moteur:taxe_amenagement;src/labuse/taxe_amenagement.py;(barème config daté);live;aucun;date;calcul ligne-à-ligne, taux communal SAISI obligatoire, jamais un défaut;src/labuse/taxe_amenagement.py
