chiffre_id;n_robinets;n_chemins;robinets;chemins;preuve
annonces_actives_n;2;2;fiche_commune_annonces,outil_radar_marche;src/labuse/api/fiche_commune.py (marche_annonces → pige.marche.stats) || src/labuse/pige/marche.py:71-91;dérivé de chiffres.csv (groupby chiffre_id)
capacite_logements;2;2;fiche_parcelle_constructibilite,outil_faisabilite;src/labuse/api/app.py:3283 || src/labuse/api/modules.py:faisabilite_sens1;dérivé de chiffres.csv (groupby chiffre_id)
charge_fonciere_eur;3;3;fiche_parcelle_constructibilite,outil_faisabilite,pdf_banquier;frontend/src/components/fiche/constructibilite.tsx:19-93 || src/labuse/api/banquier.py:283 (briques_pdf) || src/labuse/faisabilite/bilan.py;dérivé de chiffres.csv (groupby chiffre_id)
deficit_sru_pts;2;2;fiche_commune_sru,outil_comparer_parcelles;src/labuse/api/comparateur.py:56 || src/labuse/api/fiche_commune.py;dérivé de chiffres.csv (groupby chiffre_id)
ecart_demande_acte_pct;2;2;fiche_commune_annonces,outil_radar_marche;src/labuse/api/fiche_commune.py:16-58 || src/labuse/api/fiche_commune.py:16-58 (comparable, partagé);dérivé de chiffres.csv (groupby chiffre_id)
mutations_12m_n;2;2;fiche_commune_prix,outil_communes_evolution;src/labuse/api/app.py:1934-1940 || src/labuse/api/fiche_commune.py;dérivé de chiffres.csv (groupby chiffre_id)
n_bascules_7j;2;2;notif_brief_matin,page_accueil_semaine;src/labuse/api/accueil.py:116 || src/labuse/api/events.py:1086-1153;dérivé de chiffres.csv (groupby chiffre_id)
n_biens_du_jour;2;2;notif_digest_quotidien,notif_radar_digest;src/labuse/api/events.py:1160-1216 || src/labuse/pige/digests.py:278-296;dérivé de chiffres.csv (groupby chiffre_id)
n_communes_rnu;2;2;admin_destinations,outil_plu;frontend/src/components/admin/Destinations.tsx:45 (d.compte.rnu) || src/labuse/api/modules.py:1942;dérivé de chiffres.csv (groupby chiffre_id)
n_densifiables;2;2;fiche_commune_foncier,outil_densifier;src/labuse/api/fiche_commune.py || src/labuse/api/modules.py:renouvellement;dérivé de chiffres.csv (groupby chiffre_id)
n_parcelles_pm;3;3;copilote_parcelles_entreprise,fiche_proprietaire,outil_scan_patrimoine;src/labuse/api/modules.py:patrimoine || src/labuse/copilote_v2/outils.py:279-325 || src/labuse/proprietaire_historique.py;dérivé de chiffres.csv (groupby chiffre_id)
n_piscines;2;2;copilote_compter_piscines,outil_solaire_piscines;src/labuse/api/modules.py:prospection_piscines || src/labuse/copilote_v2/outils.py:529-545;dérivé de chiffres.csv (groupby chiffre_id)
n_sources;4;4;admin_catalogue_sources,admin_flux_circuit,page_accueil_chiffres,page_sources_client;src/labuse/api/accueil.py:57 (WHERE_AFFICHEES) || src/labuse/api/app.py:919-924 (WHERE_AFFICHEES) || src/labuse/api/dashboard.py:893-894 (est_affichee — sans affichage_desactive) || src/labuse/flux.py:198 (count(*) SANS WHERE_AFFICHEES);dérivé de chiffres.csv (groupby chiffre_id)
n_vigilances;2;2;fiche_parcelle_risques,outil_pieges;frontend/src/components/fiche/risques.tsx:16-30 || src/labuse/api/modules.py:risques_audit;dérivé de chiffres.csv (groupby chiffre_id)
permis_12m_n;3;3;copilote_compter_permis,fiche_commune_permis,outil_permis;src/labuse/api/fiche_commune.py (permis_bloc) || src/labuse/api/modules.py:permis || src/labuse/copilote_v2/outils.py:550-567;dérivé de chiffres.csv (groupby chiffre_id)
point_mort_n;2;2;fiche_commune_permis,outil_permis_point_mort;src/labuse/api/fiche_commune.py || src/labuse/api/modules.py:promesses;dérivé de chiffres.csv (groupby chiffre_id)
population_zone;3;3;fiche_parcelle_autour,outil_etude_zone,pdf_flash;src/labuse/api/app.py:4265 (parcel_zone) || src/labuse/flash/data.py::_zone (consomme zone.etude_de_zone) || src/labuse/zone.py (population_zone — point Filosofi UNIQUE);dérivé de chiffres.csv (groupby chiffre_id)
prix_ancien_median_eur_m2;4;4;copilote_marche,fiche_commune_prix,outil_communes_evolution,outil_comparer_parcelles;src/labuse/api/fiche_commune.py:16-58 (comparable → raw_rows) || src/labuse/api/moteurs.py:barometres || src/labuse/api/moteurs.py:prix_ancien_communes (partagé PDF baromètre) || src/labuse/copilote_v2/outils.py:395-418;dérivé de chiffres.csv (groupby chiffre_id)
prix_demande_median_eur_m2;3;3;fiche_annonce,fiche_commune_annonces,outil_radar_marche;src/labuse/api/fiche_commune.py || src/labuse/pige/client.py || src/labuse/pige/marche.py:71-91;dérivé de chiffres.csv (groupby chiffre_id)
prix_neuf_vefa_eur_m2;3;3;fiche_commune_prix,fiche_parcelle_marche,outil_comparer_parcelles;src/labuse/api/app.py:3283 (neuf_vefa_commune) || src/labuse/api/comparateur.py:139-141 (neuf_vefa_commune LIVE — RETOURS-11F M1) || src/labuse/api/fiche_commune.py:16-58;dérivé de chiffres.csv (groupby chiffre_id)
prix_terrain_secteur_eur_m2;4;4;fiche_parcelle_marche,pdf_argumentaire,pdf_banquier,pdf_flash;src/labuse/api/argumentaire.py || src/labuse/api/banquier.py:283 || src/labuse/faisabilite/bilan.py (sector_price) || src/labuse/flash/data.py;dérivé de chiffres.csv (groupby chiffre_id)
prod_spec_kwh_kwc;3;3;fiche_parcelle_solaire,fiche_soleil,outil_prospection_solaire;src/labuse/api/modules.py:prospection_solaire || table parcel_solar (14 col) || table parcel_solar + toiture_lidar;dérivé de chiffres.csv (groupby chiffre_id)
projet_cadrage_n;2;2;projets_compteur,projets_liste;src/labuse/api/projets.py:488-510 || src/labuse/api/projets.py:606-640;dérivé de chiffres.csv (groupby chiffre_id)
run_label_servi;2;2;admin_flux_circuit,page_accueil_chiffres;src/labuse/api/accueil.py:57 || src/labuse/api/dashboard.py:1231;dérivé de chiffres.csv (groupby chiffre_id)
sdp_residuelle_m2;3;3;fiche_parcelle_constructibilite,outil_densifier,outil_faisabilite;src/labuse/api/app.py:3283 || src/labuse/api/modules.py:renouvellement || src/labuse/faisabilite/residuel.py:80;dérivé de chiffres.csv (groupby chiffre_id)
stock_opportunites;2;2;fiche_commune_foncier,outil_comparer_parcelles;src/labuse/api/app.py:1944-1948 || src/labuse/api/comparateur.py:47-50;dérivé de chiffres.csv (groupby chiffre_id)
surface_parcelle_m2;2;2;copilote_fiche_parcelle,outil_etudier_bien;src/labuse/api/modules.py:scoreur_adresse || src/labuse/copilote_v2/outils.py:333-345;dérivé de chiffres.csv (groupby chiffre_id)
taux_lls_pct;2;2;copilote_stats_commune,fiche_commune_sru;src/labuse/api/fiche_commune.py (commune_contexte_sru) || src/labuse/copilote_v2/outils.py:350-365;dérivé de chiffres.csv (groupby chiffre_id)
tier_opportunite;5;5;couche_verdict,fiche_parcelle_score,outil_etudier_bien,pdf_dossier_expert,pdf_flash;"src/labuse/api/app.py:3283 (_q_v2_fiche) || src/labuse/api/dossier.py:65 (réutilise flash/report.py) || src/labuse/api/modules.py:scoreur_adresse || src/labuse/cli.py (build-mvt) ; parcel_flags || src/labuse/flash/data.py (collect_report_data)";dérivé de chiffres.csv (groupby chiffre_id)
velocite_delai_median_mois;4;4;copilote_delais_instruction,fiche_commune_permis,outil_comparer_parcelles,outil_permis;src/labuse/api/comparateur.py:51-53 || src/labuse/api/fiche_commune.py || src/labuse/api/modules.py:velocite || src/labuse/copilote_v2/outils.py:370-389;dérivé de chiffres.csv (groupby chiffre_id)
zone_plu_famille;3;3;couche_zonage_plu,pdf_lettre_zonage,pdf_pre_dossier_pc;src/labuse/api/app.py:map_layers_geojson (parcel_zone_plu) || src/labuse/api/lettre_zonage.py || src/labuse/api/pre_dossier.py:732;dérivé de chiffres.csv (groupby chiffre_id)
