chiffre_id;cle;robinet_a;valeur_a;robinet_b;valeur_b;ecart;cause_probable;preuve;statut
part_zone_A_pct;Bras-Panon;fiche_commune_zonage (surface);17.0 %;comptes par famille app.py:2436 (parcelles);12.9 %;4.1 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Bras-Panon;fiche_commune_zonage (surface);78.2 %;comptes par famille app.py:2436 (parcelles);8.0 %;70.2 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Cilaos;fiche_commune_zonage (surface);8.1 %;comptes par famille app.py:2436 (parcelles);23.6 %;15.5 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Cilaos;fiche_commune_zonage (surface);88.0 %;comptes par famille app.py:2436 (parcelles);14.1 %;73.9 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;Entre-Deux;fiche_commune_zonage (surface);7.1 %;comptes par famille app.py:2436 (parcelles);18.1 %;11.0 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;Entre-Deux;fiche_commune_zonage (surface);88.5 %;comptes par famille app.py:2436 (parcelles);29.3 %;59.2 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;L'Étang-Salé;fiche_commune_zonage (surface);29.4 %;comptes par famille app.py:2436 (parcelles);19.1 %;10.3 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;L'Étang-Salé;fiche_commune_zonage (surface);57.2 %;comptes par famille app.py:2436 (parcelles);9.6 %;47.6 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;La Plaine-des-Palmistes;fiche_commune_zonage (surface);13.9 %;comptes par famille app.py:2436 (parcelles);14.5 %;0.6 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;La Plaine-des-Palmistes;fiche_commune_zonage (surface);79.6 %;comptes par famille app.py:2436 (parcelles);12.9 %;66.7 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_A_pct;La Possession;fiche_commune_zonage (surface);3.9 %;comptes par famille app.py:2436 (parcelles);3.9 %;0.0 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
part_zone_N_pct;La Possession;fiche_commune_zonage (surface);88.2 %;comptes par famille app.py:2436 (parcelles);12.3 %;75.9 pts;denominateur;SQL zonage surface vs parcelles (ce script) — chemin fidèle à l'intention : SURFACE (commentaire OUTILS-6 C1, app.py:1908-1911 : « les parts de parcelles ne représentent pas le territoire »);
