id;nom_affiche;producteur;famille;tables_servies;millesime_servi;date_injection;cadence_declaree;mode_remplissage;job_ingestion;cron;sentinelle;methode_sonde;derniere_sonde;dernier_millesime_publie_vu;raison_non_surveillee;url_producteur_connue;licence;absente_motif;preuve
cadastre_api_carto;Cadastre (API Carto PCI);IGN / API Carto;cadastre;parcels;PCI Parcellaire Express (DGFiP) — « latest » ingérée;;aucune;one_shot;labuse ingest-real / ingest-island (cadastre_ingest.py);aucun;oui;api;2026-09-03;2026-08-07T00:00:00+00:00;;https://apicarto.ign.fr/api/cadastre/parcelle;"Licence Ouverte 2.0 (Etalab) — attribution : « Source : DGFiP — Plan Cadastral Informatisé, via API Carto (IGN) ». Parcellaire Express (PCI), MAJ semestrielle ; BD Parcellaire gelée depuis 2019.";;"data_sources id=1 (SELECT du 05/09/2026) ; src/labuse/ingestion/cadastre_ingest.py:36 ; src/labuse/cli.py:394"
cadastre_etalab_bulk;Cadastre Etalab (bulk DGFiP/Etalab);DGFiP / Etalab;cadastre;parcels;Etalab cadastre — « latest » ingérée (DGFiP);;aucune;one_shot;cadastre_bulk.py (canal bulk du même réservoir);aucun;oui;entete;2026-09-03;"""2c726d103ca66b730062380177d07f6a""";;https://cadastre.data.gouv.fr/data/etalab-cadastre/latest/geojson/communes/974/97415/cadastre-97415-parcelles.json.gz;Licence Ouverte 2.0 (Etalab) — attribution : « Source : DGFiP/Etalab — Plan Cadastral Informatisé ».;;"data_sources id=2 (SELECT du 05/09/2026) ; src/labuse/ingestion/cadastre_bulk.py ; technical_notes DOUBLON (hors vitrine, sources_catalog.py:36) ; hors vitrine (DOUBLON de « Cadastre (API Car…, sources_catalog.py:36)"
gpu_plu_api_carto;Urbanisme PLU/GPU (API Carto);IGN / API Carto GPU;urbanisme;spatial_layers(plu_gpu_zone,plu_gpu_prescription), plu_reglement_extrait;GPU/PLU par commune (révisions — détail en fiche);;aucune;en_direct;"layers_ingest.py via ingest-real ; interrogée EN DIRECT par géométrie";aucun;non;aucune;;;"API Carto GPU interrogée par géométrie à l'usage. Y3 : le point d'entrée `/municipality` ne porte aucun millésime (gid/insee/is_rnu seulement), `/document` exige une géométrie, aucun jeu data.gouv « documents GPU » à `last_update` ; un témoin par parcelle détecterait un changement de PLU commune par commune, mais LABUSE interroge le GPU EN DIRECT (aucun snapshot ingéré à réinjecter).";https://apicarto.ign.fr/api/gpu/zone-urba;Licence Ouverte (GPU) — attribution : « Source : Géoportail de l'urbanisme (IGN), documents d'urbanisme des collectivités ».;;"data_sources id=3 (SELECT du 05/09/2026) ; src/labuse/ingestion/layers_ingest.py:178 ; src/labuse/sentinelle.py:501"
georisques_api;Géorisques;BRGM / MTE;risques;spatial_layers(georisque_alea);;;aucune;one_shot;labuse ingest-georisques;aucun;oui;api;2026-09-03;2026-08-19T14:25:57+00:00;;https://www.georisques.gouv.fr/api/v1;Licence Ouverte 2.0 (Etalab) — attribution : « Source : Géorisques (BRGM/MTE) ».;;"data_sources id=4 (SELECT du 05/09/2026) ; src/labuse/cli.py:1093"
dvf;DVF / valeurs foncières;DGFiP / Etalab — géo-DVF;marche;dvf_mutations, dvf_mutations_parcelle, dvf_mutations_histo, dvf_secteur_medianes, dvf_prix_sortie_neuf;géo-DVF Etalab 2021–2025 + archives DGFiP 2014–2020;;semestriel;job_sur_clic;labuse refresh-dvf (bouton Injecter);aucun (healthz attend 10 j — ops.py:23-41);oui;page;2026-09-03;2025;;https://files.data.gouv.fr/geo-dvf/latest/csv/;Licence Ouverte + art. L.112 A LPF : interdiction de réidentifier / d'indexer — agréger, jamais nominatif. Attribution : « Source : DGFiP, Demandes de valeurs foncières (DVF) géolocalisées, via files.data.gouv.fr (géo-DVF Etalab) ».;;"data_sources id=5 (SELECT du 05/09/2026) ; config/sources_ingestion.yaml:16-18 ; src/labuse/ingestion/dvf_histo.py:16"
rge_alti;RGE ALTI (altimétrie);IGN / Géoplateforme;topographie;rgealti_pente_5m, spatial_layers(pente);RGE ALTI® (IGN) — édition non enregistrée;;aucune;one_shot;DOUTE (ortho_pente.py compute-only, pas de CLI trouvée);aucun;oui;api;2026-09-03;2026-09-02T17:09:35.015000+00:00;;https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json;Licence Ouverte 2.0 (Etalab) — attribution : « © IGN — RGE ALTI ».;;"data_sources id=6 (SELECT du 05/09/2026) ; table rgealti_pente_5m (SELECT information_schema 05/09) ; src/labuse/ingestion/ortho_pente.py"
parc_national_inpn;Parc National de La Réunion (INPN);INPN/MNHN · API Carto · Région ODS;environnement;spatial_layers(parc_national);millésime 2021;;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;api;2026-09-03;2025-01-06T06:26:29+00:00;;https://data.regionreunion.com/api/explore/v2.1/catalog/datasets/pnrun_2021/records;DOUTE — Licence à confirmer — jeu pnrun_2021 servi par la Région Réunion (ODS), licence du jeu à consigner (audit M6 §1.11 R8).;;"data_sources id=7 (SELECT du 05/09/2026) ; src/labuse/ingestion/layers_ingest.py:178 ; kind parc_national=3"
forets_onf_bdtopo;Forêts publiques (ONF);ONF / IGN (BD TOPO);environnement;spatial_layers(foret_publique);BD TOPO® V3 — forêt publique (IGN);;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;api;2026-09-03;2026-07-31T00:00:00+00:00;;https://data.geopf.fr/wfs/ows;Licence Ouverte 2.0 (Etalab) — attribution : « © IGN — BD TOPO, forêt publique ».;;"data_sources id=8 (SELECT du 05/09/2026) ; kind foret_publique=65"
potentiel_foncier_region;Potentiel foncier Région (Région ODS);Région Réunion / AGORAH;urbanisme;spatial_layers(potentiel_foncier,sar);;;aucune;one_shot;layers_ingest.py via ingest-real;aucun;oui;api;2026-09-03;2023-07-03T07:13:26+00:00;;https://peigeo.re;"DOUTE — Licence à confirmer (jeu Région ODS « potentiel foncier » — audit M6 §1.11 R8). Proxy de vocation INDICATIF ; ce n'est pas le zonage régional officiel (introuvable en open data), aucune portée réglementaire ni hiérarchie sur le PLU.";;"data_sources id=9 (SELECT du 05/09/2026) ; kind potentiel_foncier=2453, sar=2453"
rpg_proxy_ign;RPG — déclarations agricoles (IGN/ASP);DAAF (propre non public) · proxy RPG/IGN;agricole;DOUTE (aucun kind 'rpg' en spatial_layers — usage cascade à confirmer);proxy RPG (IGN) — RPG.LATEST, année non pinnée;;aucune;en_direct;DOUTE;aucun;oui;api;2026-09-03;2025-12-11T00:00:00+00:00;;https://data.geopf.fr/wfs/ows;DOUTE — Licence à confirmer (proxy RPG servi par la Géoplateforme — non tranché à l'audit M6 §1.11). Parcelle DÉCLARÉE agricole au RPG (déclarations PAC) — usage indicatif, aucune portée réglementaire.;;"data_sources id=10 (SELECT du 05/09/2026) ; SELECT kind FROM spatial_layers : pas de kind rpg (05/09)"
