id;categorie;nom_affiche;parent;route_ou_template;producteur;mode_rendu;nb_chiffres;preuve
fond_plan_ign;fond;Plan IGN v2;;WMTS GEOGRAPHICALGRIDSYSTEMS.PLANIGNV2;basemaps.ts (tuiles IGN);tuiles;0;frontend/src/components/map/basemaps.ts:33
fond_ortho_actuelle;fond;Actuelle · Ortho Express 2025;;WMTS ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-EXPRESS.2025;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:34
fond_ortho_1950;fond;1950-1965;;WMTS ORTHOIMAGERY.ORTHOPHOTOS.1950-1965;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:37
fond_ortho_2000;fond;2000-2005;;WMTS ORTHOIMAGERY.ORTHOPHOTOS2000-2005;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:35
fond_ortho_2006;fond;2006-2010;;WMTS ORTHOIMAGERY.ORTHOPHOTOS2006-2010;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:42
fond_ortho_2011;fond;2011-2015;;WMTS ORTHOIMAGERY.ORTHOPHOTOS2011-2015;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:43
fond_ortho_2016;fond;2016-2020;;WMTS ORTHOIMAGERY.ORTHOPHOTOS2016-2020;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:44
fond_ortho_2021;fond;2021-2023;;WMTS ORTHOIMAGERY.ORTHOPHOTOS2021-2023;basemaps.ts;tuiles;0;frontend/src/components/map/basemaps.ts:45
fond_sombre;fond;Sombre;;canvas + couches;MapView.tsx:applyClairMode;json_puis_js;0;frontend/src/components/map/MapView.tsx:28-29
fond_clair;fond;Clair;;canvas + couches;MapView.tsx:applyClairMode;json_puis_js;0;frontend/src/components/map/MapView.tsx:28-29
couche_verdict;couche;Verdict · Classement servi;;tuiles MVT (run servi);cli.py:build-mvt (parcel_flags);tuiles;0;frontend/src/components/map/Legend.tsx:94-108
couche_zonage_plu;couche;Zonage PLU (par type);;/map/layers.geojson?kind=plu_gpu_zone;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:109-114
couche_gpu_brut;couche;Limites officielles PLU (GPU brut);;/map/layers.geojson?kind=plu_gpu;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:116-120
couche_cinquante_pas;couche;50 pas géométriques;;/map/layers.geojson?kind=cinquante_pas;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:121-125
couche_znieff;couche;ZNIEFF — type I & II;;/map/layers.geojson?kind=znieff;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:126-130
couche_bpe;couche;Équipements (INSEE BPE);;/map/layers.geojson?kind=amenite_bpe;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:131-144
couche_alea_inondation;couche;Aléa inondation;;/map/layers.geojson?kind=georisque_alea;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:145-154
couche_alea_mvt;couche;Aléa mouvement de terrain;;/map/layers.geojson?kind=georisque_alea;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:145-154
couche_transport;couche;Transport public;;/map/layers.geojson?kind=transport_ligne,transport_arret;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:155-164
couche_axes;couche;Axes structurants;;/map/layers.geojson?kind=axe_structurant,pole_echange;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:165-173
couche_lignes_ht;couche;Lignes haute tension;;/map/layers.geojson?kind=ligne_ht;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:174-178
couche_tcsp;couche;Axe de transport structurant;;/map/layers.geojson?kind=tcsp_axe;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:179-183
couche_dispositifs;couche;Dispositifs et périmètres;;/map/layers.geojson?kind=qpv,tva_primo,anru,zfang,frr;app.py:map_layers_geojson;json_puis_js;0;frontend/src/components/map/Legend.tsx:184-194
