id;source;methode;actif;cadence_heures;cadence_attendue_jours;url_version;selecteur;dernier_passage_at;dernier_vu;dernier_statut;dernier_message;echecs_consecutifs;dernier_notifie_vu;injection_lancee_at;injection_vu;mail_alerte;convention_echeance;url_temoin_2;created_at;updated_at
1;DVF / valeurs foncières;page;t;24;;https://files.data.gouv.fr/geo-dvf/latest/csv/;20\d{2};2026-09-03 00:11:51.805949+04;2025;ok;;0;;;;f;;;2026-09-01 17:50:24.493339+04;2026-09-05 17:20:26.332111+04
2;Cadastre Etalab (bulk DGFiP/Etalab);entete;t;24;;https://cadastre.data.gouv.fr/data/etalab-cadastre/latest/geojson/communes/974/97415/cadastre-97415-parcelles.json.gz;;2026-09-03 00:11:51.805949+04;"""2c726d103ca66b730062380177d07f6a""";ok;;0;;;;f;;;2026-09-01 17:50:24.493339+04;2026-09-03 00:11:51.805949+04
3;BPE INSEE;api;t;24;;https://www.data.gouv.fr/api/1/datasets/base-permanente-des-equipements-3/;last_update;2026-09-03 00:11:51.805949+04;2026-03-30T14:54:09.198000+00:00;ok;;0;;;;f;;;2026-09-01 17:50:24.493339+04;2026-09-05 17:20:26.332111+04
4;QPV 2024 (ANCT);api;t;24;;https://www.data.gouv.fr/api/1/datasets/quartiers-prioritaires-de-la-politique-de-la-ville-qpv/;last_update;2026-09-03 00:11:51.805949+04;2026-07-21T09:50:36.727000+00:00;ok;;0;;;;f;;;2026-09-01 17:50:24.493339+04;2026-09-05 17:20:26.332111+04
5;DPE ADEME (logements existants);api;t;24;;https://data.ademe.fr/data-fair/api/v1/datasets/dpe03existant;dataUpdatedAt;2026-09-03 00:11:51.805949+04;2026-09-02T19:09:24.311Z;ok;;0;;;;f;;;2026-09-01 17:50:24.493339+04;2026-09-05 17:20:26.332111+04
6;BODACC (procédures collectives);api;t;24;;https://bodacc-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/annonces-commerciales;metas.default.modified;2026-09-03 00:11:51.805949+04;2021-06-22T09:07:24+00:00;ok;;0;;;;f;;;2026-09-01 17:50:24.493339+04;2026-09-05 17:20:26.332111+04
7;Cadastre (API Carto PCI);api;t;24;;https://www.data.gouv.fr/api/1/datasets/parcellaire-express-pci/;last_update;2026-09-03 00:11:51.805949+04;2026-08-07T00:00:00+00:00;ok;;0;;;;f;;;2026-09-01 18:39:10.490537+04;2026-09-05 17:20:26.332111+04
8;BD TOPO IGN;api;t;24;;https://www.data.gouv.fr/api/1/datasets/bd-topo-r/;last_update;2026-09-03 00:11:51.805949+04;2026-07-31T00:00:00+00:00;ok;;0;;;;f;;;2026-09-01 18:39:10.490537+04;2026-09-05 17:20:26.332111+04
9;Forêts publiques (ONF);api;t;24;;https://www.data.gouv.fr/api/1/datasets/bd-topo-r/;last_update;2026-09-03 00:11:51.805949+04;2026-07-31T00:00:00+00:00;ok;;0;;;;f;;;2026-09-01 18:39:10.490537+04;2026-09-05 17:20:26.332111+04
10;BD ORTHO 20 cm (IGN);api;t;24;;https://www.data.gouv.fr/api/1/datasets/bd-ortho-r/;last_update;2026-09-03 00:11:51.805949+04;2026-08-27T00:00:00+00:00;ok;;0;;;;f;;;2026-09-01 18:39:10.490537+04;2026-09-05 17:20:26.332111+04
