z,x,y,commune,n_tuile,n_sql,tier_ecarts,verdict,note
12,2681,2292,Bras-Panon,20832,20832,0,OK,"202 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
13,5363,4584,Bras-Panon,3958,3958,0,OK,"4 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
14,10726,9169,Bras-Panon,2038,2038,0,OK,"1 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
15,21450,18339,Bras-Panon,168,168,0,OK,
16,42901,36679,Bras-Panon,0,0,0,OK,"http=204; 204 attendu par design (tiles.py:351, servi z9-15, client sur-zoome)"
14,10726,9170,Bras-Panon,2534,2534,0,OK,
12,2679,2294,Cilaos,7558,7558,0,OK,"51 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
13,5358,4588,Cilaos,4727,4727,0,OK,"10 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
14,10716,9176,Cilaos,2842,2842,0,OK,"3 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
15,21432,18354,Cilaos,440,440,0,OK,
16,42866,36707,Cilaos,0,0,0,OK,"http=204; 204 attendu par design (tiles.py:351, servi z9-15, client sur-zoome)"
13,5357,4588,Cilaos,724,724,0,OK,
12,2679,2295,Entre-Deux,42537,42537,0,OK,"418 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
13,5358,4590,Entre-Deux,5940,5940,0,OK,"7 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
14,10718,9179,Entre-Deux,163,163,0,OK,
15,21433,18364,Entre-Deux,675,675,0,OK,"1 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
16,42864,36728,Entre-Deux,0,0,0,OK,"http=204; 204 attendu par design (tiles.py:351, servi z9-15, client sur-zoome)"
12,2679,2295,Entre-Deux,42537,42537,0,OK,"418 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
12,2678,2295,L'Étang-Salé,29608,29608,0,OK,"227 parcelles sub-pixel droppees par quantization ST_AsMVTGeom (med 6.9 m2 a z12) — toutes rendues a z15 sauf micro-slivers <=3.1 m2 ; 0 chaude/brulante ; artefact MVT normal, aucune absence au sens client"
