commune,bloc,servi,recalcule,verdict,note
Saint-Paul,prix_ancien,"3322 €/m² (n=16, appartement)","3322 €/m² (n=16, appartement)",OK,fiab=fiable; sector_price parcelle repr.
Saint-Paul,prix_terrain_U_AU,U=479 (n=1531); AU=328 (n=132),U=479 (n=1531); AU=328 (n=132),OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Saint-Paul,prix_sortie_neuf,"4730 €/m² (commune, n=54)","4730 €/m² (commune, n=54)",OK,snapshot dvf_prix_sortie_neuf
Saint-Paul,tendance_12m,"-4.2% (4490 vs 4688, n 218/583)","n 218/583, med12 [4490–4490], medprev [4688–4688]",OK,
Saint-Paul,liquidite,"136 ventes dernier trim, delta -13","136 lignes (136 mutations), delta -13",OK,
Saint-Paul,offre_engagee,420 logts / 314 permis,420 logts / 314 permis,OK,fenetre 12m ref=2026-06-30
Saint-Paul,offre_potentielle,11424198 m² SDP / 21527 parc.,11424198 m² / 21527 parc.,OK,run q_v10_m129 tiers servables
Saint-Paul,pression_dpe,0.0% F/G sur 2 DPE,0.0% sur 2,OK,fiab servie='moyenne' sur n=2 (base dpe_records=17 lignes ile entiere)
Saint-Paul,loyer_median,"18.86 €/m² (appartement, 2025)","18.86 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
Saint-Paul,pression_zan,90.0,90.0,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Le Tampon,prix_ancien,"1626 €/m² (n=28, appartement)","1626 €/m² (n=28, appartement)",OK,fiab=fiable; sector_price parcelle repr.
Le Tampon,prix_terrain_U_AU,U=285 (n=1106); AU=154 (n=78),U=285 (n=1106); AU=154 (n=78),OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Le Tampon,prix_sortie_neuf,"4318 €/m² (commune, n=36)","4318 €/m² (commune, n=36)",OK,snapshot dvf_prix_sortie_neuf
Le Tampon,tendance_12m,"+2.2% (2427 vs 2374, n 491/422)","n 491/422, med12 [2427–2427], medprev [2374–2374]",OK,
Le Tampon,liquidite,"113 ventes dernier trim, delta -2","113 lignes (113 mutations), delta -2",OK,
Le Tampon,offre_engagee,471 logts / 266 permis,471 logts / 266 permis,OK,fenetre 12m ref=2026-06-26
Le Tampon,offre_potentielle,11085318 m² SDP / 16923 parc.,11085318 m² / 16923 parc.,OK,run q_v10_m129 tiers servables
Le Tampon,pression_dpe,non calculable (0 DPE),0 DPE,OK,
Le Tampon,loyer_median,"13.52 €/m² (appartement, 2025)","13.52 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
Le Tampon,pression_zan,66.5,66.5,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Saint-Pierre,prix_ancien,"2634 €/m² (n=12, appartement)","2634 €/m² (n=12, appartement)",OK,fiab=fiable; sector_price parcelle repr.
Saint-Pierre,prix_terrain_U_AU,U=422 (n=1388); AU=non calc (n < 10),U=422 (n=1388); AU: n reel=9,OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Saint-Pierre,prix_sortie_neuf,"4258 €/m² (commune, n=76)","4258 €/m² (commune, n=76)",OK,snapshot dvf_prix_sortie_neuf
Saint-Pierre,tendance_12m,"+4.1% (3389 vs 3255, n 529/526)","n 529/526, med12 [3389–3389], medprev [3255–3255]",OK,
Saint-Pierre,liquidite,"138 ventes dernier trim, delta -3","138 lignes (138 mutations), delta -3",OK,
Saint-Pierre,offre_engagee,517 logts / 335 permis,517 logts / 335 permis,OK,fenetre 12m ref=2026-06-30
Saint-Pierre,offre_potentielle,4159121 m² SDP / 11524 parc.,4159121 m² / 11524 parc.,OK,run q_v10_m129 tiers servables
Saint-Pierre,pression_dpe,25.0% F/G sur 4 DPE,25.0% sur 4,OK,fiab servie='moyenne' sur n=4 (base dpe_records=17 lignes ile entiere)
Saint-Pierre,loyer_median,"15.81 €/m² (appartement, 2025)","15.81 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
Saint-Pierre,pression_zan,60.5,60.5,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
La Possession,prix_ancien,"2562 €/m² (n=42, appartement)","2562 €/m² (n=42, appartement)",OK,fiab=fiable; sector_price parcelle repr.
La Possession,prix_terrain_U_AU,U=436 (n=444); AU=409 (n=96),U=436 (n=444); AU=409 (n=96),OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
La Possession,prix_sortie_neuf,"4375 €/m² (ile_validee, n=None)","4375 €/m² (ile_validee, n=None)",OK,snapshot dvf_prix_sortie_neuf
La Possession,tendance_12m,"+2.3% (3077 vs 3008, n 229/225)","n 229/225, med12 [3077–3077], medprev [3008–3008]",OK,
La Possession,liquidite,"71 ventes dernier trim, delta 1","71 lignes (71 mutations), delta 1",OK,
La Possession,offre_engagee,114 logts / 82 permis,114 logts / 82 permis,OK,fenetre 12m ref=2026-06-26
La Possession,offre_potentielle,1827469 m² SDP / 3990 parc.,1827469 m² / 3990 parc.,OK,run q_v10_m129 tiers servables
La Possession,pression_dpe,0.0% F/G sur 1 DPE,0.0% sur 1,OK,fiab servie='moyenne' sur n=1 (base dpe_records=17 lignes ile entiere)
La Possession,loyer_median,"15.45 €/m² (appartement, 2025)","15.45 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
La Possession,pression_zan,16.7,16.7,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Saint-Denis,prix_ancien,"2327 €/m² (n=44, appartement)","2327 €/m² (n=44, appartement)",OK,fiab=fiable; sector_price parcelle repr.
Saint-Denis,prix_terrain_U_AU,U=485 (n=1248); AU=350 (n=35),U=485 (n=1248); AU=350 (n=35),OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Saint-Denis,prix_sortie_neuf,"4275 €/m² (commune, n=77)","4275 €/m² (commune, n=77)",OK,snapshot dvf_prix_sortie_neuf
Saint-Denis,tendance_12m,"-0.2% (2687 vs 2692, n 1240/1318)","n 1240/1318, med12 [2687–2687], medprev [2692–2692]",OK,
Saint-Denis,liquidite,"311 ventes dernier trim, delta -13","311 lignes (311 mutations), delta -13",OK,
Saint-Denis,offre_engagee,358 logts / 205 permis,358 logts / 205 permis,OK,fenetre 12m ref=2026-06-29
Saint-Denis,offre_potentielle,4885040 m² SDP / 7663 parc.,4885040 m² / 7663 parc.,OK,run q_v10_m129 tiers servables
Saint-Denis,pression_dpe,0.0% F/G sur 4 DPE,0.0% sur 4,OK,fiab servie='moyenne' sur n=4 (base dpe_records=17 lignes ile entiere)
Saint-Denis,loyer_median,"15.09 €/m² (appartement, 2025)","15.09 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
Saint-Denis,pression_zan,82.4,82.4,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
Saint-Leu,prix_ancien,"4773 €/m² (n=42, appartement)","4773 €/m² (n=42, appartement)",OK,fiab=fiable; sector_price parcelle repr.
Saint-Leu,prix_terrain_U_AU,U=325 (n=618); AU=527 (n=72),U=325 (n=618); AU=527 (n=72),OK,seuil n>=10 (dvf_profils terrain_cellule_commune)
Saint-Leu,prix_sortie_neuf,"4953 €/m² (commune, n=41)","4953 €/m² (commune, n=41)",OK,snapshot dvf_prix_sortie_neuf
Saint-Leu,tendance_12m,"+1.5% (4208 vs 4146, n 186/178)","n 186/178, med12 [4208–4208], medprev [4146–4146]",OK,
Saint-Leu,liquidite,"45 ventes dernier trim, delta 18","45 lignes (45 mutations), delta 18",OK,
Saint-Leu,offre_engagee,122 logts / 138 permis,122 logts / 138 permis,OK,fenetre 12m ref=2026-06-26
Saint-Leu,offre_potentielle,5454450 m² SDP / 9665 parc.,5454450 m² / 9665 parc.,OK,run q_v10_m129 tiers servables
Saint-Leu,pression_dpe,non calculable (0 DPE),0 DPE,OK,
Saint-Leu,loyer_median,"16.49 €/m² (appartement, 2025)","16.49 €/m² (appartement, 2025)",OK,DHUP fichier versionne; granularite=commune
Saint-Leu,pression_zan,35.3,35.3,OK,"comparateur-communes; conso ENAF 2021-2024 Cerema, m2->ha arrondi 0,1"
