type,requete,resultat,geom_ok,verdict,note
adresse,326 Rue Saint Jean XXIII,3 feats; idu attendu servi (97414000DT0451),,OK,
adresse,20 Chemin Neuf,11 feats; idu attendu servi (97405000AX0313),,OK,
adresse,20 Impasse Ino,1 feats; idu attendu servi (97416000CZ1402),,OK,
adresse,21 Rue Suffren,5 feats; idu attendu servi (97415000BO0248),,OK,
adresse,253 Chemin Edward Savigny,2 feats; idu attendu servi (97416000CV2122),,OK,
adresse,16 Chemin des Amethystes,1 feats; idu attendu servi (97414000EN1074),,OK,
adresse,218 Chemin Départemental 13 Piton,1 feats; idu attendu servi (97413000CX0692),OUI,OK,geom match idu=97413000CX0692 contains=True dist=0.0m
adresse,72 Impasse du Verger,1 feats; idu attendu servi (97413000DE0150),OUI,OK,geom match idu=97413000DE0150 contains=True dist=0.0m
adresse,87 Route Nationale 2,12 feats; idu attendu servi (97402000AH1041),,OK,
adresse,2 Chemin de la Vigne,12 feats; idu attendu servi (97411000IL0347),,OK,
adresse,296 Impasse Sarabé,2 feats; idu attendu servi (97409000BM0611),OUI,OK,geom match idu=97409000BM0611 contains=True dist=0.0m
adresse,44 Avenue President Mitterrand,3 feats; idu attendu servi (97416000EL0084),,OK,
adresse,17 Rue de l’Orient,1 feats; idu attendu servi (97418000AS0555),,OK,
adresse,55 Rue de la Croix,5 feats; idu attendu servi (97415000BI0215),,OK,
adresse,10 Impasse de Mafate,3 feats; idu attendu servi (97415000AD0388),,OK,
adresse,60 Chemin Marc Boyer,1 feats; idu attendu servi (97410000AT1156),,OK,
adresse,23 Chemin de la Marine,2 feats; idu attendu servi (97419000AL0261),,OK,
adresse,97 Rue Emile Evan,1 feats; idu attendu servi (97406000AW1039),,OK,
adresse,292 Ruelle Camalon,1 feats; idu attendu servi (97409000AS0015),,OK,
adresse,146 Rue des Flamboyants,2 feats; idu attendu servi (97422000BW1485),,OK,
adresse,3 Rue des Colibris,3 feats; idu attendu servi (97405000AR1142),OUI,OK,geom match idu=97405000AR1142 contains=True dist=0.0m
adresse,198 Chemin Leroy,1 feats; idu attendu servi (97422000BL0673),,OK,
adresse,55 Chemin des Fraises,1 feats; idu attendu servi (97423000AK1922),,OK,
adresse,164 Rue Pierre Rivals,1 feats; idu attendu servi (97422000AX0583),,OK,
adresse,38 Rue Théodore Thomas,1 feats; idu attendu servi (97416000IM0774),OUI,OK,geom match idu=97416000IM0774 contains=True dist=0.0m
adresse,31 Rue des Eucalyptus,2 feats; idu attendu servi (97406000AI0359),,OK,
adresse,13 Allée du Romarin,1 feats; idu attendu servi (97411000BC0322),,OK,
adresse,8 Rue Vincent Scotto,1 feats; idu attendu servi (97407000AS1035),,OK,
adresse,20 Cité Plateau Maison Rouge,1 feats; idu attendu servi (97414000DS0828),OUI,OK,geom match idu=97414000DS0828 contains=True dist=0.0m
adresse,38 Chemin Berrichon,2 feats; idu attendu servi (97422000AS0500),,OK,
adresse,722 Sidr Front de Mer,1 feats; idu attendu servi (97416000DM0723),,OK,
adresse,12 Impasse Paul Tignan,1 feats; idu attendu servi (97416000IE1266),,OK,
adresse,200 Chemin Bassin Chevrettes,1 feats; idu attendu servi (97416000EV1305),,OK,
adresse,1 Ruelle Marechal Joseph Gallieni,3 feats; idu attendu servi (97422000BY0026),,OK,
adresse,49 Chemin Mussard,1 feats; idu attendu servi (97422000AK1042),OUI,OK,geom match idu=97422000AK1042 contains=True dist=0.0m
