endpoint,methode,famille_payload,code_http,ecriture_partielle,objet_cree_id,verdict,note
/projets,POST,types_faux,422,non,,OK,{"detail":[{"type":"dict_type";"loc":["body";"cadrage"];"msg":"Input should be a valid dictionary";"input":"notadict"}]}
/projets,POST,types_faux,422,non,,OK,{"detail":[{"type":"dict_type";"loc":["body";"cadrage"];"msg":"Input should be a valid dictionary";"input":[1;2]};{"type
/projets,POST,types_faux,422,non,,OK,{"detail":[{"type":"int_parsing";"loc":["body";"limit"];"msg":"Input should be a valid integer; unable to parse string a
/projets,POST,types_faux,200,NA,189,OK,CREATED delta={'projets': 1; 'projet_parcelles': 1} {"ok":true;"existing":false;"projet":{"id":189;"nom":"Projet
/projets,POST,champ_inconnu,200,NA,,OK,{"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet — toute l'île";"statut":"actif";"cadrage":{};"identite":{};"
/projets,POST,taille_enorme,200,NA,,OK,{"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet — toute l'île";"statut":"actif";"cadrage":{};"identite":{};"
/projets,POST,taille_enorme,200,NA,,OK,{"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet — toute l'île";"statut":"actif";"cadrage":{};"identite":{};"
/projets,POST,unicode,200,NA,,OK,{"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet — toute l'île";"statut":"actif";"cadrage":{};"identite":{};"
/projets,POST,unicode,200,NA,,OK,{"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet — toute l'île";"statut":"actif";"cadrage":{};"identite":{};"
/projets,POST,json_malforme,422,non,,OK,{"detail":[{"type":"json_invalid";"loc":["body";29];"msg":"JSON decode error";"input":{};"ctx":{"error":"Expecting value
/projets,POST,ctype_menteur,422,non,,OK,{"detail":[{"type":"json_invalid";"loc":["body";0];"msg":"JSON decode error";"input":{};"ctx":{"error":"Expecting value"
/projets,POST,taille_enorme,200,NA,,OK,{"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet — toute l'île";"statut":"actif";"cadrage":{};"identite":{};"
/projets,POST,valide_ctrl,200,NA,189,OK,CREATED delta={} {"ok":true;"existing":true;"projet":{"id":189;"nom":"Projet 
/courrier/demande,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"corps"];"msg":"Field required";"input":{"parcelles":["97405000BH0826"]}}]}
/courrier/demande,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"parcelles"];"msg":"Field required";"input":{"corps":"x"}};{"type":"string_to
/courrier/demande,POST,types_faux,422,non,,OK,{"detail":[{"type":"list_type";"loc":["body";"parcelles"];"msg":"Input should be a valid list";"input":"nope"};{"type":"
/courrier/demande,POST,taille_enorme,422,non,,OK,{"detail":[{"type":"too_long";"loc":["body";"parcelles"];"msg":"List should have at most 500 items after validation; not
/courrier/demande,POST,taille_enorme,422,non,,OK,{"detail":[{"type":"string_too_long";"loc":["body";"corps"];"msg":"String should have at most 8000 characters";"input":"
/courrier/demande,POST,unicode,422,non,,OK,{"detail":"Paramètre invalide ou hors bornes."}
/courrier/demande,POST,dup_1,200,NA,30,OK,CREATED delta={'courrier_demandes': 1} {"ok":true;"id":30;"ts":"2026-08-26T15:30:53.393381+04:00";"
/courrier/demande,POST,dup_2_identique,200,NA,,OK,{"ok":true;"id":30;"ts":"2026-08-26T15:30:53.393381+04:00";"n":1;"communes":null;"statut":"demande";"existing":true}
/courrier/demande,POST,champ_inconnu,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"modele"];"msg":"Input should be a valid string";"input":9};{"type":"stri
/watch-zones,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"geometry"];"msg":"Field required";"input":{"name":"[GB-TEST]"}}]}
/watch-zones,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"name"];"msg":"Field required";"input":{"geometry":{"type":"Polygon";"coordin
/watch-zones,POST,types_faux,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"name"];"msg":"Input should be a valid string";"input":123};{"type":"dict
/watch-zones,POST,geom_invalide,200,NA,6,OK,CREATED delta={'watch_zones': 1} {"zone":{"id":6;"name":"[GB-TEST] badgeom";"commune":"Saint-
/watch-zones,POST,geom_invalide,422,non,,OK,{"detail":"geometry doit être un Polygon GeoJSON"}
/watch-zones,POST,taille_enorme,422,non,,OK,{"detail":"geometry doit être un Polygon GeoJSON"}
/watch-zones,POST,json_malforme,422,non,,OK,{"detail":[{"type":"json_invalid";"loc":["body";32];"msg":"JSON decode error";"input":{};"ctx":{"error":"Expecting prope
/watch-zones,POST,unicode,422,non,,OK,{"detail":"geometry doit être un Polygon GeoJSON"}
/watch-zones,POST,valide_ctrl,200,NA,7,OK,CREATED delta={'watch_zones': 1} {"zone":{"id":7;"name":"[GB-TEST] wz-ok";"commune":"Saint-Pa
/watch-zones/{id},PATCH,types_faux,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"name"];"msg":"Input should be a valid string";"input":[1;2]};{"type":"di
/watch-zones/{id},PATCH,unicode,422,non,,OK,{"detail":"Paramètre invalide ou hors bornes."}
/watch-zones/{id},PATCH,taille_enorme,200,NA,,OK,{"ok":true}
/watch-zones/{id},PATCH,introuvable,404,non,,OK,{"detail":"Zone de veille inconnue"}
/watch-zones/{id},DELETE,introuvable,404,non,,OK,{"detail":"Zone de veille inconnue"}
/watch-zones/{id},DELETE,types_faux,422,non,,OK,{"detail":[{"type":"int_parsing";"loc":["path";"zone_id"];"msg":"Input should be a valid integer; unable to parse string
/pipeline,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"idu"];"msg":"Field required";"input":{"status":"nouveau"}}]}
/pipeline,POST,types_faux,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"idu"];"msg":"Input should be a valid string";"input":12345}]}
/pipeline,POST,idu_inexistant,404,non,,OK,{"detail":"Parcelle inconnue"}
/pipeline,POST,unicode,404,non,,OK,{"detail":"Parcelle inconnue"}
/pipeline,POST,taille_enorme,200,NA,,OK,CREATED delta={'pipeline_entries': 1; 'crm_columns': 8} {"ok":true;"already":false;"entry":{"id":95;"idu":"97405000B
/pipeline,POST,json_malforme,422,non,,OK,{"detail":[{"type":"json_invalid";"loc":["body";7];"msg":"JSON decode error";"input":{};"ctx":{"error":"Expecting value"
/pipeline,POST,valide_ctrl,200,NA,,OK,CREATED delta={} {"ok":true;"already":true;"entry":{"id":95;"idu":"97405000BH
/pipeline/{id},PATCH,skip,404,non,,OK,{"detail":"Entrée de pipeline inconnue"}
/pipeline/{id},PATCH,skip,404,non,,OK,{"detail":"Entrée de pipeline inconnue"}
/pipeline/{id},PATCH,introuvable,404,non,,OK,{"detail":"Entrée de pipeline inconnue"}
/pipeline/{id},DELETE,introuvable,404,non,,OK,{"detail":"Entrée de pipeline inconnue"}
/pipeline/{id},DELETE,types_faux,422,non,,OK,{"detail":[{"type":"int_parsing";"loc":["path";"entry_id"];"msg":"Input should be a valid integer; unable to parse strin
/pipeline/columns,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"label"];"msg":"Field required";"input":{"tone":"blue"}}]}
/pipeline/columns,POST,types_faux,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"label"];"msg":"Input should be a valid string";"input":[1]};{"type":"str
/pipeline/columns,POST,taille_enorme,422,non,,OK,{"detail":"Nom de colonne trop long (80 caractères max)."}
/pipeline/columns,POST,unicode,422,non,,OK,{"detail":"Paramètre invalide ou hors bornes."}
/pipeline/columns,POST,valide_ctrl,200,NA,,OK,CREATED delta={'crm_columns': 1} {"ok":true;"columns":[{"id":31;"key":"reperee";"label":"Repé
/pipeline/columns/{id},PATCH,skip,404,non,,OK,{"detail":"Colonne inconnue"}
/pipeline/columns/{id},PATCH,skip,404,non,,OK,{"detail":"Colonne inconnue"}
/pipeline/columns/{id},DELETE,skip,404,non,,OK,{"detail":"Colonne inconnue"}
/pipeline/columns/{id},DELETE,introuvable,404,non,,OK,{"detail":"Colonne inconnue"}
/filters,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"params"];"msg":"Field required";"input":{"name":"[GB-TEST]"}}]}
/filters,POST,types_faux,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"name"];"msg":"Input should be a valid string";"input":42};{"type":"dict_
/filters,POST,taille_enorme,200,NA,,OK,CREATED delta={'saved_filters': 1} {"id":1;"name":"[GB-TEST]";"params":{"x":"AAAAAAAAAAAAAAAAAA
/filters,POST,unicode,422,non,,OK,{"detail":"Paramètre invalide ou hors bornes."}
/filters,POST,json_malforme,422,non,,OK,timeout client -1 au 1er passage (rate-limit partage); RETEST=422 json_invalid 32ms sans ecriture
/filters,POST,valide_ctrl,-1,non,,OK,timeout client (rate-limit partage AH); non-defaut serveur; filtre valide cree en supp GB-S
/filters/{id},DELETE,introuvable,404,non,,OK,{"detail":"Filtre inconnu"}
/filters/{id},DELETE,types_faux,422,non,,OK,{"detail":[{"type":"int_parsing";"loc":["path";"filter_id"];"msg":"Input should be a valid integer; unable to parse stri
/signalements,POST,champ_manquant,422,non,,OK,{"detail":[{"type":"missing";"loc":["body";"type_erreur"];"msg":"Field required";"input":{"idu":"97405000BH0826"}}]}
/signalements,POST,types_faux,422,non,,OK,{"detail":[{"type":"string_type";"loc":["body";"idu"];"msg":"Input should be a valid string";"input":[1]};{"type":"strin
