vue,etat,critical,serious,moderate,minor,detail_critical_serious,verdict
"accueil","01","0","1","3","0","color-contrast(serious,8n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"carte_tuiles","02","0","1","3","0","color-contrast(serious,8n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"scoreur-adresse","03","0","1","4","0","color-contrast(serious,12n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"programme","04","0","1","4","0","color-contrast(serious,13n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"risques","05","0","1","4","0","color-contrast(serious,11n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"plu","06","0","1","4","0","color-contrast(serious,8n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"comparer","07","0","1","4","0","color-contrast(serious,10n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"assemblage","08","0","1","4","0","color-contrast(serious,13n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"patrimoine","09","0","1","4","0","color-contrast(serious,8n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"courriers","10","0","1","4","0","color-contrast(serious,13n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"prospection-solaire","11","0","1","4","0","color-contrast(serious,9n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"communes_overlay24","12","0","1","2","0","color-contrast(serious,67n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"permis","13","0","1","4","0","color-contrast(serious,35n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"renouvellement","14","0","1","4","0","color-contrast(serious,10n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"temps","15","0","1","4","0","color-contrast(serious,11n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut)","SERIOUS"
"fiche_batie","16","0","2","4","0","color-contrast(serious,22n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut) | nested-interactive(serious,1n,ex:div[data-drawer='regles'] > .tiroir)","SERIOUS"
"fiche_nue","17","0","2","4","0","color-contrast(serious,21n,ex:button[title='IA'] > .text-\[10\.5px\].text-txt-mut) | nested-interactive(serious,1n,ex:div[data-drawer='regles'] > .tiroir)","SERIOUS"
