endpoint,params,budget_ms,froid_ms,p50_ms,p95_ms,verdict,note
/parcels/{idu},/parcels/97411000AW0735,1000,579.9,188.0,425.1,OK,codes=['200']
/stats/entonnoir,/stats/entonnoir,500,10093.7,8140.7,9845.7,DEPASSE,codes=['200']
/accueil/chiffres,/accueil/chiffres,500,2093.4,8.2,1155.8,DEPASSE,codes=['200']
/communes/status,/communes/status,500,8.4,7.7,9.4,OK,codes=['200']
/accueil/cette-semaine,/accueil/cette-semaine,500,85.9,8.3,51.8,OK,codes=['200']
/map/tiles/11/1339/1146.pbf,/map/tiles/11/1339/1146.pbf,300,52.7,49.1,52.3,OK,codes=['200']
/map/tiles/13/5356/4585.pbf,/map/tiles/13/5356/4585.pbf,300,11.2,11.1,12.6,OK,codes=['200']
/map/tiles/14/10712/9170.pbf,/map/tiles/14/10712/9170.pbf,300,8.9,10.0,10.9,OK,codes=['200']
/map/tiles/meta,/map/tiles/meta,300,4053.6,3532.8,3934.4,DEPASSE,codes=['200']
/moteurs/marche/{c},/moteurs/marche/Saint-Denis,3000,1799.8,521.0,1282.6,OK,codes=['200']
/modules/faisabilite/{idu},/modules/faisabilite/97411000AW0735,3000,260.8,115.2,222.7,OK,codes=['200']
/modules/patrimoine,/modules/patrimoine?siren=310863592,3000,3004.0,2518.4,2832.3,OK,codes=['200']
/modules/prospection-solaire,/modules/prospection-solaire,3000,2413.8,2346.5,2698.5,OK,codes=['200']
/moteurs/assemblage,/moteurs/assemblage,3000,334.2,130.5,244.0,OK,codes=['200']
/scoreur-adresse,/scoreur-adresse,3000,21.9,13.1,20.0,OK,codes=['200']
/renouvellement/liste,/renouvellement/liste,3000,175.2,93.3,176.4,OK,codes=['200']
/communes/{c}/contexte,/communes/Saint-Denis/contexte,3000,6610.9,206.3,3735.8,DEPASSE,codes=['200']
/v2/liste,/v2/liste,3000,35.9,24.2,31.0,OK,codes=['200']
/v2/reserve-fonciere,/v2/reserve-fonciere,3000,62.1,41.4,54.7,OK,codes=['200']
/v2/brulantes,/v2/brulantes,3000,24.8,22.5,24.6,OK,codes=['200']
/map/parcels.geojson,/map/parcels.geojson,3000,12098.1,11912.8,12561.1,DEPASSE,codes=['200']
/map/renouvellement.geojson,/map/renouvellement.geojson,3000,581.3,320.8,484.5,OK,codes=['200']
/events,/events,3000,269.1,34.8,166.5,OK,codes=['200']
/comparateur-communes,/comparateur-communes,3000,4.2,10.3,11.9,OK,codes=['200']
/modules/permis,/modules/permis,3000,151.2,128.7,183.6,OK,codes=['200']
/modules/velocite,/modules/velocite,3000,79.6,73.4,77.6,OK,codes=['200']
/parcels/export.csv,/parcels/export.csv,3000,3649.8,2946.1,3409.6,DEPASSE,codes=['200']
/parcels/{idu}/export.pdf,/parcels/97411000AW0735/export.pdf,3000,4341.2,1114.5,6818.5,DEPASSE,codes=['200']
/dossier/{idu}.pdf,/dossier/97411000AW0735.pdf,3000,1893.5,1515.7,1776.2,OK,codes=['200']
/parcels/{idu}/explain,/parcels/97411000AW0735/explain,3000,17084.5,16712.5,17157.6,DEPASSE,codes=['200']
