idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97415000HO0265,Saint-Paul,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97415000HO0265,Saint-Paul,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 197.0, ""geom_ST_Area_2975"": 196.72, ""parcels.surface_m2"": 196.72, ""mvt"": 196.72}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97415000HO0265,Saint-Paul,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 20, ""mvt"": 20, ""residuel(canon)"": 20}",OK,canon=parcel_residuel cause NULL,
97416000CT1119,Saint-Pierre,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""À suivre"", ""v2/score(court)"": ""À suivre"", ""mvt(court)"": ""À suivre""}",OK,exp_court=À suivre raw=chaude,etage0=False
97416000CT1119,Saint-Pierre,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 635.0, ""geom_ST_Area_2975"": 634.56, ""parcels.surface_m2"": 634.56, ""mvt"": 634.56}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97416000CT1119,Saint-Pierre,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 37, ""mvt"": 37, ""renouv"": 37, ""residuel(canon)"": 37}",OK,canon=parcel_residuel cause NULL,
97418000AP3253,Sainte-Marie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97418000AP3253,Sainte-Marie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 3302.0, ""geom_ST_Area_2975"": 3301.89, ""parcels.surface_m2"": 3301.89, ""mvt"": 3301.89}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97418000AP3253,Sainte-Marie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97404000AR0178,L'Étang-Salé,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97404000AR0178,L'Étang-Salé,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 246.0, ""geom_ST_Area_2975"": 246.16, ""parcels.surface_m2"": 246.16, ""mvt"": 246.16}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97404000AR0178,L'Étang-Salé,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 79, ""mvt"": 79, ""residuel(canon)"": 79}",OK,canon=parcel_residuel cause NULL,
97410000AR1600,Saint-Benoît,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97410000AR1600,Saint-Benoît,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 142.0, ""geom_ST_Area_2975"": 141.63, ""parcels.surface_m2"": 141.63, ""mvt"": 141.63}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97410000AR1600,Saint-Benoît,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97414000ET1452,Saint-Louis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97414000ET1452,Saint-Louis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 891.0, ""geom_ST_Area_2975"": 890.59, ""parcels.surface_m2"": 890.59, ""mvt"": 890.59}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
