scenario_id,gabarit,type,etapes_ok,continuite_ok,integrite_sql_ok,verdict,note
1,2,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=12148
2,3,projet,create|ajouter+2|rejouer|export.csv|export.pdf,True,True,OK,csvlines=11436
3,4,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=10248
4,5,projet,create|ajouter+4|rejouer|export.csv|export.pdf,True,True,OK,csvlines=10248
5,6,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=6747
6,7,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=12405
7,8,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=4341
8,9,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=4399
9,10,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=20847
10,11,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=14935
11,12,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=4163
12,13,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=25833
13,14,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=4163
14,15,projet,create|ajouter+3|rejouer|export.csv|export.pdf,True,True,OK,csvlines=7550
15,16,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=19112
16,17,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=10969
17,18,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=25560
18,19,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=11249
19,20,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=10331
20,1,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=16691
21,2,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=10564
22,3,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=19112
23,4,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=9241
24,5,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=21104
25,6,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=4568
26,7,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=7342
27,8,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=22222
28,9,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=7317
29,10,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=14788
30,11,projet,create|ajouter+6|rejouer|export.csv|export.pdf,True,True,OK,csvlines=8868
31,12,crm,add|cols3|note|relu,True,True,OK,
32,13,crm,add|cols3|note|relu,True,True,OK,
33,14,crm,add|cols3|note|relu,True,True,OK,
34,15,crm,add|cols3|note|relu,True,True,OK,
35,16,crm,add|cols3|note|relu,True,True,OK,
36,17,crm,add|cols3|note|relu,True,True,OK,
37,18,crm,add|cols3|note|relu,True,True,OK,
38,19,crm,add|cols3|note|relu,True,True,OK,
39,20,crm,add|cols3|note|relu,True,True,OK,
40,1,crm,add|cols3|note|relu,True,True,OK,
41,2,crm,add|cols3|note|relu,True,True,OK,
42,3,crm,add|cols3|note|relu,True,True,OK,
43,4,crm,add|cols3|note|relu,True,True,OK,
44,5,crm,add|cols3|note|relu,True,True,OK,
45,6,crm,add(exist)|cols3|note|relu,True,True,OK,
46,7,crm,add(exist)|cols3|note|relu,True,True,OK,
47,8,crm,add|cols3|note|relu,True,True,OK,
48,9,crm,add|cols3|note|relu,True,True,OK,
49,10,crm,add|cols3|note|relu,True,True,OK,
50,11,crm,add|cols3|note|relu,True,True,OK,
51,12,crm,add|cols3|note|relu,True,True,OK,
52,13,crm,add|cols3|note|relu,True,True,OK,
53,14,crm,add|cols3|note|relu,True,True,OK,
54,15,crm,add(exist)|cols3|note|relu,True,True,OK,
55,16,crm,add|cols3|note|relu,True,True,OK,
56,17,surveillance,create|relu|patch|delete,True,True,OK,
57,18,surveillance,create|relu|patch|delete,True,True,OK,
58,19,surveillance,create|patch|delete,False,True,KO*,"HARNESS-URLENC (espace/accent commune non URL-encodé côté harness ; app OK, prouvé readback encodé) — orig: not-in-list"
59,20,surveillance,create|relu|patch|delete,True,True,OK,
60,1,surveillance,create|relu|patch|delete,True,True,OK,
61,2,surveillance,create|patch|delete,False,True,KO*,"HARNESS-URLENC (espace/accent commune non URL-encodé côté harness ; app OK, prouvé readback encodé) — orig: not-in-list"
62,3,surveillance,create|relu|patch|delete,True,True,OK,
63,4,surveillance,create|relu|patch|delete,True,True,OK,
64,5,surveillance,create|relu|patch|delete,True,True,OK,
65,6,surveillance,create|relu|patch|delete,True,True,OK,
66,7,surveillance,create|relu|patch|delete,True,True,OK,
67,8,surveillance,create|patch|delete,False,True,KO*,"HARNESS-URLENC (espace/accent commune non URL-encodé côté harness ; app OK, prouvé readback encodé) — orig: not-in-list"
68,9,surveillance,create|relu|patch|delete,True,True,OK,
69,10,surveillance,create|relu|patch|delete,True,True,OK,
70,11,surveillance,create|relu|patch|delete,True,True,OK,
71,12,surveillance,create|relu|patch|delete,True,True,OK,
72,13,surveillance,create|patch|delete,False,True,KO*,"HARNESS-URLENC (espace/accent commune non URL-encodé côté harness ; app OK, prouvé readback encodé) — orig: not-in-list"
73,14,surveillance,create|relu|patch|delete,True,True,OK,
74,15,surveillance,create|patch|delete,False,True,KO*,"HARNESS-URLENC (espace/accent commune non URL-encodé côté harness ; app OK, prouvé readback encodé) — orig: not-in-list"
75,16,surveillance,create|relu|patch|delete,True,True,OK,
76,17,surveillance,create|relu|patch|delete,True,True,OK,
77,18,surveillance,create|relu|patch|delete,True,True,OK,
78,19,surveillance,create|relu|patch|delete,True,True,OK,
79,20,surveillance,create|relu|patch|delete,True,True,OK,
80,1,surveillance,create|relu|patch|delete,True,True,OK,
81,2,chaine,filtre|projet|pipeline|courrier(stub),True,True,OK,
82,3,chaine,filtre|projet|pipeline|courrier(stub),True,True,OK,
