idu,commune,strate,v_surface,v_zone,v_tier,v_sdp,v_verdict,v_millesime,passe
97402000AB0508,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AD1078,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AE0333,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AH1951,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AI0382,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AI0888,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AK1175,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97402000AP0032,Bras-Panon,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AD0394,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AE0648,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AE1834,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AI0245,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AL1076,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AO0519,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AP0184,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97424000AR0123,Cilaos,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AK0096,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AM0638,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AO0274,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AO0305,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AP0939,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AP1165,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AP2208,Entre-Deux,multipoly,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AS1324,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97403000AS2032,Entre-Deux,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AL1513,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AM0756,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AM1032,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AS0330,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AT0254,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AT0749,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AV0064,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97404000AZ0131,L'Étang-Salé,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97406000AC0161,La Plaine-des-Palmistes,tier_ecartee,ERR,ERR,ERR,ERR,ERR,ERR,KO
97406000AE0904,La Plaine-des-Palmistes,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
