feature,classe_asof,pct_valeurs_posterieures,fuite_reelle,iv
tenure_bin,asof_dvf_tenure,0,False,0.2089
zone_plu,stat_zonage,100,True,0.1398
rot_bati,asof_dvf,0,False,0.1084
nu_constructible,stat_fuite,100,True,0.0698
canopee_pct,stat_fuite,100,True,0.0525
acces_equipements,stat_invariant,100,False,0.0469
permis_bin,asof_sitadel,0,False,0.0446
filo_pct_prop,stat_invariant,100,False,0.0445
med_pm2_terrain_36m,asof_dvf,0,False,0.0435
surface_m2,stat_invariant,100,False,0.0415
filo_dens_pop,stat_invariant,100,False,0.0403
dens_bati_secteur,stat_fuite,100,True,0.039
filo_pct_pauv,stat_invariant,100,False,0.0319
filo_snv_pp,stat_invariant,100,False,0.0295
pct_bati_secteur,stat_fuite,100,True,0.0273
rot_nu,asof_dvf,0,False,0.0254
med_pm2_bati_36m,asof_dvf,0,False,0.0248
permis_24m_norm,asof_sitadel,0,False,0.0226
ndvi_moyen,stat_fuite,100,True,0.0201
pente_moy_deg,stat_invariant,100,False,0.0199
sous_densite,stat_fuite,100,True,0.0156
piscine,stat_fuite,100,True,0.0135
dormance_droits,stat_fuite,100,True,0.0133
sdp_residuelle_m2,stat_fuite,100,True,0.0126
tendance_pm2_bati,asof_dvf,0,False,0.0104
pv_candidat,stat_fuite,100,True,0.0064
friche,stat_fuite,100,True,0.0006
qpv,stat_invariant,100,False,0.0
window_coverage,asof_dvf,0,False,0.0
