commune,n,base_pct,k_c,positifs,rr,ic_bas,ic_haut,verdict
Sainte-Suzanne,12490,0.9,34,6,19.5,9.2,41.3,concluante HAUTE
L'Étang-Salé,9011,1.63,24,7,17.9,9.4,34.0,concluante HAUTE
Le Port,10114,1.84,27,8,16.1,8.9,29.3,concluante HAUTE
Sainte-Rose,6284,0.81,17,2,14.5,3.8,54.8,concluante (effectif limite)
Saint-Benoît,21622,1.48,58,12,14.0,8.4,23.5,concluante HAUTE
Saint-Philippe,4155,1.52,11,2,12.0,3.3,43.0,concluante (effectif limite)
Petite-Île,13122,1.46,35,5,9.8,4.3,22.4,concluante HAUTE
Saint-Pierre,42045,1.51,114,16,9.3,5.9,14.7,concluante HAUTE
Les Avirons,8560,1.52,23,3,8.6,2.9,25.0,concluante (effectif limite)
Saint-André,22513,1.35,61,7,8.5,4.2,17.3,concluante HAUTE
La Plaine-des-Palmistes,6446,1.6,17,2,7.4,2.0,27.4,concluante (effectif limite)
Sainte-Marie,16646,1.32,45,4,6.7,2.6,17.3,concluante (effectif limite)
Salazie,7034,0.87,19,1,6.1,0.9,41.6,NON concluante (IC couvre 1)
Saint-Leu,22763,1.32,62,4,4.9,1.9,12.7,concluante (effectif limite)
Saint-Paul,50593,1.74,137,11,4.6,2.6,8.2,concluante HAUTE
Entre-Deux,6301,1.29,17,1,4.6,0.7,31.0,NON concluante (IC couvre 1)
La Possession,13148,2.19,36,3,3.8,1.3,11.3,concluante (effectif limite)
Saint-Denis,36981,1.6,100,6,3.8,1.7,8.2,concluante HAUTE
Saint-Louis,29141,1.39,79,4,3.7,1.4,9.5,concluante (effectif limite)
Le Tampon,42523,1.71,115,6,3.1,1.4,6.7,concluante HAUTE
Saint-Joseph,28875,1.55,78,3,2.5,0.8,7.5,NON concluante (IC couvre 1)
Bras-Panon,6016,0.96,16,0,0.0,,,non concluant (0 muté en tête)
Les Trois-Bassins,5301,1.38,14,0,0.0,,,non concluant (0 muté en tête)
Cilaos,6555,1.74,18,0,0.0,,,non concluant (0 muté en tête)
