idu,commune,zone,surface_m2,sdp,contrib_d,rang,tier,motif_sdp_zero
97411000DX0017,Saint-Denis,Uh,2924,0,1.42,203,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000DX0079,Saint-Denis,Uh,667,0,0.55,341,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97423000AE0927,Les Trois-Bassins,Uc,1300,0,0.98,551,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000DY0164,Saint-Denis,Uh,659,0,1.25,672,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97416000CY0759,Saint-Pierre,Uf,979,0,1.09,974,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97412000AM0599,Saint-Joseph,U5,783,0,1.13,978,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000CY0149,Saint-Paul,U2d,693,0,0.95,1189,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EH0144,Saint-Denis,Uh,898,0,0.84,1247,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EM0273,Saint-Denis,Um,1996,0,0.52,1337,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97408000AC3764,La Possession,UB,1175,0,0.67,1418,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97417000AT1361,Saint-Philippe,—,1604,-1,0.92,1552,chaude,hors PLU outillé (commune non calibrée)
97411000AV0217,Saint-Denis,Um,759,0,0.87,1595,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EH0012,Saint-Denis,Uh,1257,0,0.51,1622,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000CY1071,Saint-Paul,AU2c,625,0,0.50,1624,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97412000CK0809,Saint-Joseph,U5ru,601,0,1.19,1684,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97412000BW2412,Saint-Joseph,U3,698,0,1.19,1699,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97416000CW1553,Saint-Pierre,Uf,794,-1,1.09,1712,chaude,cache parcel_residuel troué (moteur live: disponible)
97416000CX0623,Saint-Pierre,Uf,636,0,1.32,1738,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000CE0875,Saint-Denis,AUh,2393,0,0.40,1782,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97414000CO1043,Saint-Louis,UD,769,0,1.32,1897,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000DE0747,Saint-Paul,U2c,666,0,0.81,2237,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97416000ES0922,Saint-Pierre,Ug,708,0,1.23,2264,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000CY0173,Saint-Paul,U2d,848,0,0.78,2283,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97408000AO0327,La Possession,UB,1415,0,0.74,2382,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000CY1027,Saint-Paul,AU2c,600,0,0.53,2425,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EH0074,Saint-Denis,Uh,1131,0,0.54,2470,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000CX0656,Saint-Paul,U2c,644,0,0.80,2496,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000DY0137,Saint-Denis,Uh,2214,0,0.55,2537,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97417000AO0261,Saint-Philippe,—,2332,-1,0.61,2610,chaude,hors PLU outillé (commune non calibrée)
97424000AI1015,Cilaos,Ub,734,0,0.97,2720,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000DY0099,Saint-Denis,Uh,640,0,0.82,2748,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97404000AL1675,L'Étang-Salé,AUb,618,0,0.53,2877,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97416000EV0940,Saint-Pierre,Uf,822,0,0.88,2906,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EH0070,Saint-Denis,Uh,927,0,0.56,3014,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000BZ1705,Saint-Denis,Uh,709,0,0.98,3020,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97416000HX1473,Saint-Pierre,Ug,649,0,1.04,3062,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EL0428,Saint-Denis,Um,731,0,0.76,3201,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97415000CZ0242,Saint-Paul,U2d,1061,0,0.99,3220,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000CM0180,Saint-Denis,Uh,1389,0,0.24,3568,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97412000CP0330,Saint-Joseph,U5ru,846,0,0.88,3575,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97416000EX1643,Saint-Pierre,Uf,1080,0,0.86,3600,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97412000CE2345,Saint-Joseph,U5,1090,0,0.61,3720,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97417000AT1381,Saint-Philippe,—,1303,-1,0.50,3723,chaude,hors PLU outillé (commune non calibrée)
97408000AC2181,La Possession,UBc,699,0,0.76,3924,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000DX0074,Saint-Denis,Uh,686,0,0.30,4013,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
97411000EH0011,Saint-Denis,Uh,1230,0,0.21,4203,chaude,sdp_max saturée par le bâti existant (pct_potentiel>=100)
