idu,tier,rang,bdtopo_m2,cosia_m2,ratio_pct,cause
97416000EP1062,chaude,33,21,2,14.7,bande 20-40 (adjudication par design)
97408000AB0275,chaude,34,82,38,19.7,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97411000EL0201,brulante,48,93,165,29.3,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97409000AR1260,brulante,82,50,123,28.1,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97415000CX0939,chaude,93,159,190,32.7,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97415000CX1395,brulante,100,113,254,41.8,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97415000CX0639,chaude,113,304,363,32.4,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97412000CE2722,chaude,139,91,131,39.8,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97412000CE2824,chaude,155,30,10,10.6,bande 20-40 (adjudication par design)
97415000CY0845,chaude,176,99,218,29.7,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97415000CW0194,chaude,180,296,354,35.0,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97422000AS0913,chaude,186,21,23,9.4,bande 20-40 (adjudication par design)
97416000EW1135,chaude,190,92,127,26.5,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97412000AM1053,chaude,200,76,96,30.3,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97411000DX0017,chaude,203,254,513,17.5,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97411000ER0095,chaude,230,0,23,4.5,bande 20-40 (adjudication par design)
97409000AR1997,chaude,257,103,189,40.9,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97416000EX0803,chaude,269,97,100,24.3,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97403000AR1511,brulante,276,130,263,49.9,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97413000DE2325,chaude,279,5,27,10.6,bande 20-40 (adjudication par design)
97411000AL0497,chaude,300,79,123,34.8,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97414000EN1730,chaude,305,66,77,26.3,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97405000AK1816,chaude,330,87,58,21.0,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97408000AC2923,chaude,334,37,43,7.9,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97411000KE0436,chaude,338,0,28,9.9,bande 20-40 (adjudication par design)
97411000DX0079,chaude,341,173,298,44.6,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97415000CT2821,chaude,344,59,101,25.3,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97412000AO0939,chaude,345,32,56,15.0,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97415000EY1040,chaude,360,49,64,14.6,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
97422000CY0197,brulante,368,194,251,28.9,bâtie CONNUE BD TOPO>=20 (hors périmètre règle E — filtre client bâti en attente)
