idu,commune,tier,rang,largeur_inscriptible_m,polsby_popper,sous_8m
97418000AT2324,Sainte-Marie,chaude,2735,6.5,0.360,t
97409000AV0858,Saint-André,chaude,440,6.6,0.535,t
97415000CO0559,Saint-Paul,chaude,3259,6.7,0.381,t
97415000CI0716,Saint-Paul,chaude,3364,6.7,0.308,t
97415000AY1587,Saint-Paul,brulante,31,6.8,0.638,t
97415000CY1051,Saint-Paul,chaude,550,7.0,0.069,t
97415000DM0976,Saint-Paul,chaude,3312,7.2,0.600,t
97413000DE2193,Saint-Leu,chaude,3041,7.3,0.172,t
97416000HN1318,Saint-Pierre,chaude,2213,7.4,0.677,t
97414000EM1039,Saint-Louis,chaude,2964,7.4,0.268,t
97415000BV0606,Saint-Paul,brulante,1497,7.6,0.676,t
97408000AO1777,La Possession,chaude,1561,7.6,0.583,t
97413000CY1554,Saint-Leu,chaude,605,7.6,0.687,t
97415000AY1548,Saint-Paul,chaude,908,7.7,0.228,t
97422000EN0064,Le Tampon,chaude,2738,7.7,0.093,t
97410000AN0366,Saint-Benoît,chaude,232,7.8,0.342,t
97416000HN1317,Saint-Pierre,chaude,1555,8.0,0.087,t
97415000DK1162,Saint-Paul,chaude,1427,8.1,0.742,f
97418000AT2300,Sainte-Marie,chaude,1812,8.1,0.250,f
97416000HN1778,Saint-Pierre,chaude,1749,8.2,0.626,f
97414000EM1037,Saint-Louis,brulante,152,8.3,0.624,f
97422000BV3186,Le Tampon,chaude,1492,8.3,0.270,f
97415000AZ1844,Saint-Paul,brulante,342,8.3,0.500,f
97415000CY1060,Saint-Paul,chaude,1373,8.3,0.082,f
97414000HH0382,Saint-Louis,chaude,3223,8.4,0.158,f
97408000AP1404,La Possession,chaude,3368,8.4,0.189,f
97416000EH1233,Saint-Pierre,chaude,2042,8.4,0.544,f
97416000HO0303,Saint-Pierre,chaude,3381,8.5,0.373,f
97411000DS0670,Saint-Denis,brulante,153,8.5,0.675,f
97406000AC0630,La Plaine-des-Palmistes,chaude,3295,8.6,0.653,f
97422000EH0197,Le Tampon,chaude,1745,8.7,0.310,f
97413000CR0842,Saint-Leu,chaude,1432,8.7,0.225,f
97407000BC0582,Le Port,chaude,3346,8.8,0.628,f
97422000BV2609,Le Tampon,chaude,2114,8.8,0.267,f
97401000AS1393,Les Avirons,chaude,1857,8.8,0.708,f
97415000BV1608,Saint-Paul,chaude,2595,8.8,0.105,f
97408000AP1407,La Possession,chaude,1643,8.9,0.432,f
97415000EV0768,Saint-Paul,chaude,1868,8.9,0.352,f
97422000CY0173,Le Tampon,chaude,3512,8.9,0.579,f
97414000ES1029,Saint-Louis,chaude,1540,8.9,0.549,f
97411000DS0838,Saint-Denis,brulante,183,8.9,0.696,f
97415000CX0650,Saint-Paul,chaude,631,8.9,0.561,f
97422000BO1704,Le Tampon,chaude,2866,9.0,0.278,f
97420000AD0341,Sainte-Suzanne,chaude,1805,9.0,0.308,f
97411000DS0839,Saint-Denis,chaude,325,9.0,0.698,f
97414000DH1210,Saint-Louis,chaude,3342,9.0,0.656,f
97418000BV0489,Sainte-Marie,chaude,3447,9.1,0.101,f
97416000IL0741,Saint-Pierre,chaude,1865,9.1,0.721,f
97411000DS0837,Saint-Denis,brulante,262,9.1,0.728,f
97409000AK0814,Saint-André,chaude,1548,9.1,0.441,f
97413000CX2179,Saint-Leu,chaude,1335,9.1,0.071,f
97401000AR1289,Les Avirons,chaude,2326,9.2,0.662,f
97415000ET1305,Saint-Paul,chaude,2990,9.2,0.464,f
97408000AB0331,La Possession,chaude,2641,9.2,0.704,f
97418000AO2181,Sainte-Marie,chaude,2291,9.3,0.565,f
97422000BT1255,Le Tampon,chaude,2556,9.4,0.132,f
97415000CI0790,Saint-Paul,chaude,1851,9.4,0.456,f
97416000ET1152,Saint-Pierre,chaude,513,9.4,0.240,f
97413000DE2325,Saint-Leu,chaude,279,9.5,0.239,f
97424000AL1280,Cilaos,chaude,2809,9.5,0.770,f
97407000AS1057,Le Port,chaude,185,9.5,0.729,f
97415000CT1231,Saint-Paul,chaude,2630,9.5,0.702,f
97415000CT2101,Saint-Paul,chaude,2433,9.5,0.743,f
97422000CX1241,Le Tampon,chaude,2647,9.5,0.653,f
97411000HV0235,Saint-Denis,chaude,1165,9.6,0.652,f
97416000EP1062,Saint-Pierre,chaude,33,9.6,0.744,f
97422000BX1123,Le Tampon,brulante,39,9.7,0.609,f
97414000DT0997,Saint-Louis,chaude,2387,9.7,0.630,f
97422000DE0018,Le Tampon,chaude,3153,9.7,0.654,f
97410000BX0720,Saint-Benoît,chaude,2985,9.7,0.650,f
97405000BE1329,Petite-Île,chaude,2359,9.8,0.760,f
97414000EL2067,Saint-Louis,brulante,436,9.8,0.530,f
97418000AV2015,Sainte-Marie,chaude,400,9.8,0.192,f
97414000CS0951,Saint-Louis,brulante,268,9.8,0.694,f
97415000DE1192,Saint-Paul,chaude,2507,9.9,0.162,f
97415000CH2373,Saint-Paul,chaude,3015,9.9,0.618,f
97413000CX2544,Saint-Leu,chaude,2416,9.9,0.186,f
97415000DK0864,Saint-Paul,chaude,2773,9.9,0.531,f
97415000DK0863,Saint-Paul,chaude,1824,10.0,0.162,f
97415000CY0402,Saint-Paul,brulante,3161,10.0,0.129,f
97422000DE0867,Le Tampon,chaude,2397,10.0,0.605,f
97407000AO1129,Le Port,chaude,1114,10.0,0.771,f
97409000BM1486,Saint-André,chaude,3503,10.0,0.742,f
97407000AH1188,Le Port,brulante,559,10.0,0.651,f
97415000BV1571,Saint-Paul,chaude,2147,10.0,0.726,f
