idu,commune,ratio_pct,etage,annee_construction,annee_etiquette,passoire,divisible,decision,motif,tier_servi,rang
97416000EP1062,Saint-Pierre,14.723711006647406,1,,Absent,f,f,servie,bâtie 15 % — servie (bâti marginal),chaude,33
97408000AB0275,La Possession,19.736080579841822,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,34
97411000EL0201,Saint-Denis,29.33657223289987,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",brulante,48
97409000AR1260,Saint-André,28.073498392628217,2,,Absent,f,,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",brulante,82
97415000CX0939,Saint-Paul,32.65662929167927,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,93
97415000CX1395,Saint-Paul,41.76046907091499,3,,Absent,f,f,saturee,"bâtie saturée — ratio 42 % (emprise 254 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",brulante,100
97415000CX0639,Saint-Paul,32.37501266110346,2,,Absent,f,t,divisible,bâtie 32 % mais DIVISIBLE : partie libre 759 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,113
97412000CE2722,Saint-Joseph,39.83289960069211,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,139
97412000CE2824,Saint-Joseph,10.622911145441144,1,,Absent,f,f,servie,bâtie 11 % — servie (bâti marginal),chaude,155
97415000CY0845,Saint-Paul,29.672595030385317,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,176
97415000CW0194,Saint-Paul,35.03681145404164,2,,Absent,f,t,divisible,bâtie 35 % mais DIVISIBLE : partie libre 657 m² ≥ 600 en U/AU (commune calibrée — Sourcé),chaude,180
97422000AS0913,Le Tampon,9.412337276446086,1,,Absent,f,f,servie,bâtie 9 % — servie (bâti marginal),chaude,186
97416000EW1135,Saint-Pierre,26.53857276300556,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,190
97412000AM1053,Saint-Joseph,30.305571702349916,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,200
97411000DX0017,Saint-Denis,17.549612045916746,3,,Absent,f,t,saturee,SDP saturée par le bâti existant (pct_potentiel ≥ 100) — même chemin A4,chaude,203
97411000ER0095,Saint-Denis,4.509418706977582,1,,Absent,f,f,servie,bâtie 5 % — servie (bâti marginal),chaude,230
97409000AR1997,Saint-André,40.924986937425494,3,,Absent,f,,saturee,"bâtie saturée — ratio 41 % (emprise 189 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",chaude,257
97416000EX0803,Saint-Pierre,24.26701239522698,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,269
97403000AR1511,Entre-Deux,49.8850536482158,3,,Absent,f,f,saturee,"bâtie saturée — ratio 50 % (emprise 263 m², source max(BD TOPO éd. 2026-06-15, CoSIA PVA 2025))",brulante,276
97413000DE2325,Saint-Leu,10.617230038837228,1,,Absent,f,f,servie,bâtie 11 % — servie (bâti marginal),chaude,279
97411000AL0497,Saint-Denis,34.759489224125474,2,1971,Sourcé,f,f,servie,"bâtie 35 % — servie (bâti ancien/passoire, DPE Sourcé)",chaude,300
97414000EN1730,Saint-Louis,26.329890215795555,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,305
97405000AK1816,Petite-Île,20.953920671606262,2,,Absent,f,f,saturee,"bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible",chaude,330
97408000AC2923,La Possession,7.92193206480751,1,,Absent,f,f,servie,bâtie 8 % — servie (bâti marginal),chaude,334
