idu,tier_servi,tier_mesure,rang_servi,rang_mesure,cause
97408000AP1610,brulante,chaude,2,3,recalibrage brûlante/chaude (conséquence filtre)
97408000AP1609,brulante,brulante,3,2,départage (D→SDP→surface→IDU)
97422000AD1237,declasse_zone_fermee,declasse_zone_fermee,14,4,départage (D→SDP→surface→IDU)
97411000KA0296,brulante,brulante,4,5,départage (D→SDP→surface→IDU)
97410000CD0905,brulante,brulante,5,6,départage (D→SDP→surface→IDU)
97418000AT2379,brulante,brulante,6,7,départage (D→SDP→surface→IDU)
97415000DK1044,chaude,chaude,7,16,départage (D→SDP→surface→IDU)
97411000HM0273,ecartee,ecartee,12,8,départage (D→SDP→surface→IDU)
97418000AT2317,brulante,brulante,8,9,départage (D→SDP→surface→IDU)
97408000AP1663,brulante,brulante,9,11,départage (D→SDP→surface→IDU)
97418000AT2542,brulante,chaude,10,15,recalibrage brûlante/chaude (conséquence filtre)
97410000AS1425,brulante,brulante,13,10,départage (D→SDP→surface→IDU)
97404000AT0870,brulante,brulante,11,14,départage (D→SDP→surface→IDU)
97408000AP1605,brulante,brulante,15,12,départage (D→SDP→surface→IDU)
97408000AP1603,brulante,brulante,16,13,départage (D→SDP→surface→IDU)
97415000AY1622,brulante,brulante,20,37,départage (D→SDP→surface→IDU)
97409000AR1260,brulante,declasse_bati_sature,82,20,"filtre (saturée: bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible)"
97416000EY1406,declasse_bati_revele,declasse_bati_revele,22,21,départage (D→SDP→surface→IDU)
97423000AB1441,declasse_zone_fermee,declasse_zone_fermee,21,83,départage (D→SDP→surface→IDU)
97409000AV1036,declasse_bati_revele,declasse_bati_revele,91,22,départage (D→SDP→surface→IDU)
97422000AX1477,ecartee,ecartee,24,106,départage (D→SDP→surface→IDU)
97408000AO1134,ecartee,ecartee,44,24,départage (D→SDP→surface→IDU)
97416000ET2164,brulante,brulante,78,25,départage (D→SDP→surface→IDU)
97413000CX1803,ecartee,ecartee,25,101,départage (D→SDP→surface→IDU)
97420000AO0528,ecartee,ecartee,26,61,départage (D→SDP→surface→IDU)
97411000CR0648,ecartee,ecartee,46,26,départage (D→SDP→surface→IDU)
97420000AO0654,brulante,brulante,27,60,départage (D→SDP→surface→IDU)
97416000ET2243,brulante,brulante,99,27,départage (D→SDP→surface→IDU)
97416000ET2167,brulante,brulante,73,28,départage (D→SDP→surface→IDU)
97411000CE1132,brulante,brulante,28,32,départage (D→SDP→surface→IDU)
97416000ET2166,brulante,brulante,97,29,départage (D→SDP→surface→IDU)
97410000AS1450,chaude,chaude,29,74,départage (D→SDP→surface→IDU)
97412000CP0462,brulante,brulante,32,30,départage (D→SDP→surface→IDU)
97408000AP1367,chaude,chaude,30,96,départage (D→SDP→surface→IDU)
97415000AY1587,brulante,brulante,31,41,départage (D→SDP→surface→IDU)
97422000BX1123,brulante,brulante,39,31,départage (D→SDP→surface→IDU)
97411000CE1133,brulante,brulante,54,33,départage (D→SDP→surface→IDU)
97416000EP1062,chaude,chaude,33,86,départage (D→SDP→surface→IDU)
97415000AX1100,brulante,brulante,36,34,départage (D→SDP→surface→IDU)
97408000AB0275,chaude,declasse_bati_sature,34,84,"filtre (saturée: bâtie 15-40 % à bâti d'année Absente (traitée récente — le doute ne profite jamais au classement), non divisible)"
97411000DY0219,ecartee,ecartee,35,72,départage (D→SDP→surface→IDU)
97413000AV2297,brulante,brulante,75,35,départage (D→SDP→surface→IDU)
97415000AY1541,brulante,brulante,37,36,départage (D→SDP→surface→IDU)
97412000CE2776,brulante,brulante,89,38,départage (D→SDP→surface→IDU)
97406000AO0495,brulante,brulante,38,52,départage (D→SDP→surface→IDU)
97411000EL0665,brulante,brulante,60,39,départage (D→SDP→surface→IDU)
97410000AS1441,brulante,brulante,40,62,départage (D→SDP→surface→IDU)
97416000ET2242,brulante,brulante,98,40,départage (D→SDP→surface→IDU)
97408000AS0457,chaude,chaude,41,80,départage (D→SDP→surface→IDU)
97415000BW1482,brulante,brulante,68,43,départage (D→SDP→surface→IDU)
97411000CH0799,chaude,chaude,43,73,départage (D→SDP→surface→IDU)
97412000CP0463,brulante,brulante,90,44,départage (D→SDP→surface→IDU)
97422000AX1253,declasse_zone_fermee,declasse_zone_fermee,45,108,départage (D→SDP→surface→IDU)
97415000AY1625,brulante,brulante,51,45,départage (D→SDP→surface→IDU)
97416000ET2141,brulante,brulante,55,46,départage (D→SDP→surface→IDU)
97408000BN3751,brulante,brulante,110,47,départage (D→SDP→surface→IDU)
