idu,zone_lib,voisins_contigus,meme_siren,siren_distincts,indetermine_pp,classe_acquerabilite
97413000AV2276,AUA,2,0,0,2,indetermine_pp
97413000AV2277,AUA,3,0,0,3,indetermine_pp
97413000AV2278,AUA,3,0,0,3,indetermine_pp
97413000AV2279,AUA,4,0,0,4,indetermine_pp
97413000CC0570,AUC,1,0,0,1,indetermine_pp
97413000CC0737,AUC,3,0,0,3,indetermine_pp
97413000CC0738,AUC,3,0,0,3,indetermine_pp
97413000CC0739,AUC,3,0,0,3,indetermine_pp
97413000CC0740,AUC,3,0,0,3,indetermine_pp
97413000CC0741,AUC,5,0,0,5,indetermine_pp
97413000CC0742,AUC,4,0,0,4,indetermine_pp
97413000CC0743,AUC,4,0,0,4,indetermine_pp
97413000CC0744,AUC,4,0,0,4,indetermine_pp
97413000CC0746,AUC,6,0,0,6,indetermine_pp
97413000CC0748,AUC,4,0,0,4,indetermine_pp
97413000CC0750,AUC,2,0,0,2,indetermine_pp
97413000CC0751,AUC,4,0,0,4,indetermine_pp
97413000CC0752,AUC,5,0,0,5,indetermine_pp
97413000CC0754,AUC,4,0,0,4,indetermine_pp
97413000CC0755,AUC,2,0,0,2,indetermine_pp
97413000CC0770,AUC,2,0,0,2,indetermine_pp
97413000CC0771,AUC,3,0,0,3,indetermine_pp
97413000CC0772,AUC,4,0,0,4,indetermine_pp
97413000CC0773,AUC,3,0,0,3,indetermine_pp
97413000CC0774,AUC,5,0,0,5,indetermine_pp
97413000CC0829,AUC,3,0,0,3,indetermine_pp
97413000CC0845,AUC,3,0,0,3,indetermine_pp
97413000CC0846,AUC,4,0,0,4,indetermine_pp
97413000CO0009,AUB,1,1,0,0,division_simple
97413000CO0580,AUB,3,0,0,3,indetermine_pp
97413000CO0581,AUB,4,0,0,4,indetermine_pp
97413000CO0582,AUB,4,0,0,4,indetermine_pp
97413000CO0583,AUB,4,0,0,4,indetermine_pp
97413000CO0584,AUB,4,0,0,4,indetermine_pp
97413000CO0585,AUB,4,2,0,2,division_simple
97413000CO0586,AUB,4,0,0,4,indetermine_pp
97413000CO0587,AUB,4,0,0,4,indetermine_pp
97413000CO0588,AUB,4,0,0,4,indetermine_pp
97413000CO0589,AUB,3,0,0,3,indetermine_pp
97413000CO0590,AUB,3,0,0,3,indetermine_pp
97413000CO0591,AUB,4,0,0,4,indetermine_pp
97413000CO0592,AUB,4,0,0,4,indetermine_pp
97413000CO0593,AUB,4,0,0,4,indetermine_pp
97413000CO0692,AUB,17,3,0,14,division_simple
97413000CO0693,AUB,16,2,0,14,division_simple
97413000CO0694,AUB,2,1,0,1,division_simple
97413000CO0696,AUB,2,1,1,0,division_simple
97413000CO0697,AUB,11,10,1,0,division_simple
97413000CO0698,AUB,2,1,1,0,division_simple
97413000CO0699,AUB,3,2,1,0,division_simple
97413000CO0700,AUB,3,2,1,0,division_simple
97413000CO0701,AUB,4,3,1,0,division_simple
97413000CO0702,AUB,4,3,1,0,division_simple
97413000CO0703,AUB,4,3,1,0,division_simple
97413000CO0704,AUB,4,3,1,0,division_simple
97413000CO0705,AUB,4,3,1,0,division_simple
97413000CO0706,AUB,4,3,1,0,division_simple
97413000CO0707,AUB,4,3,1,0,division_simple
97413000CO0708,AUB,4,3,1,0,division_simple
97413000CO0709,AUB,4,3,1,0,division_simple
97413000CO0710,AUB,2,1,1,0,division_simple
97413000CO0711,AUB,2,0,2,0,assemblage_a_negocier
97413000CO0712,AUB,3,1,2,0,division_simple
97413000CO0713,AUB,4,2,2,0,division_simple
97413000CO0714,AUB,3,1,2,0,division_simple
97413000CO0715,AUB,3,1,2,0,division_simple
97413000CO0716,AUB,4,2,2,0,division_simple
97413000CO0717,AUB,4,2,2,0,division_simple
97413000CO0718,AUB,4,2,2,0,division_simple
97413000CO0719,AUB,4,2,2,0,division_simple
97413000CO0720,AUB,4,2,2,0,division_simple
97413000CO0721,AUB,5,1,4,0,division_simple
97413000CO0722,AUB,3,2,1,0,division_simple
97413000CO0724,AUB,5,4,1,0,division_simple
97413000CO0726,AUB,13,2,11,0,division_simple
97413000CT0097,AUC,6,0,0,6,indetermine_pp
97413000CT0107,AUC,5,0,0,5,indetermine_pp
97413000CT0108,AUC,10,0,0,10,indetermine_pp
97413000CT0169,AUC,3,0,0,3,indetermine_pp
97413000CT0170,AUC,4,0,0,4,indetermine_pp
97413000CT0171,AUC,5,0,0,5,indetermine_pp
97413000CT0172,AUC,5,0,0,5,indetermine_pp
97413000CT0173,AUC,4,0,0,4,indetermine_pp
97413000CT0174,AUC,6,0,0,6,indetermine_pp
97413000CT0175,AUC,5,0,0,5,indetermine_pp
97413000CT0176,AUC,3,0,0,3,indetermine_pp
97413000CT0181,AUC,5,0,0,5,indetermine_pp
97413000CT0183,AUC,5,0,0,5,indetermine_pp
97413000CT0189,AUC,5,0,0,5,indetermine_pp
97413000CT0193,AUC,5,0,0,5,indetermine_pp
97413000CT0197,AUC,4,0,0,4,indetermine_pp
97413000CT0259,AUC,3,0,0,3,indetermine_pp
97413000CT0260,AUC,5,0,0,5,indetermine_pp
97413000CT0261,AUC,5,0,0,5,indetermine_pp
97413000CT0291,AUC,2,0,0,2,indetermine_pp
97413000CT0292,AUC,3,0,0,3,indetermine_pp
97413000CT0295,AUC,1,0,0,1,indetermine_pp
97413000CT0296,AUC,3,0,0,3,indetermine_pp
97413000CT0297,AUC,3,0,0,3,indetermine_pp
97413000CT0298,AUC,5,0,0,5,indetermine_pp
97413000CT0299,AUC,4,0,0,4,indetermine_pp
97413000CT0300,AUC,5,0,0,5,indetermine_pp
97413000CT0301,AUC,4,0,0,4,indetermine_pp
97413000CT0302,AUC,3,0,0,3,indetermine_pp
97413000CT0303,AUC,6,0,0,6,indetermine_pp
97413000CT0304,AUC,4,0,0,4,indetermine_pp
97413000CT0307,AUC,1,0,0,1,indetermine_pp
97413000CT0314,AUC,6,0,0,6,indetermine_pp
97413000CT0315,AUC,5,0,0,5,indetermine_pp
97413000CT0317,AUC,4,0,0,4,indetermine_pp
97413000CT0321,AUC,3,0,0,3,indetermine_pp
97413000CT0326,AUC,5,0,0,5,indetermine_pp
97413000CT0327,AUC,4,0,0,4,indetermine_pp
97413000CT0329,AUC,4,0,0,4,indetermine_pp
97413000CT0352,AUC,3,0,0,3,indetermine_pp
97413000CT0353,AUC,4,0,0,4,indetermine_pp
97413000CT0369,AUC,4,0,0,4,indetermine_pp
97413000CT0370,AUC,2,0,0,2,indetermine_pp
97413000CT0373,AUC,4,0,0,4,indetermine_pp
97413000CT0374,AUC,5,0,0,5,indetermine_pp
97413000CT0375,AUC,3,0,0,3,indetermine_pp
97413000CT0400,AUC,3,0,0,3,indetermine_pp
97413000CT0442,AUC,3,0,0,3,indetermine_pp
97413000CT0443,AUC,5,0,0,5,indetermine_pp
97413000CT0444,AUC,6,0,0,6,indetermine_pp
97413000CT0445,AUC,4,0,0,4,indetermine_pp
97413000CT0446,AUC,5,0,0,5,indetermine_pp
97413000CT0474,AUC,4,0,0,4,indetermine_pp
97413000CT0475,AUC,5,0,0,5,indetermine_pp
97413000CT0480,AUC,5,0,0,5,indetermine_pp
97413000CT0481,AUC,5,0,0,5,indetermine_pp
97413000CT0482,AUC,6,0,0,6,indetermine_pp
97413000CT0483,AUC,4,0,0,4,indetermine_pp
97413000CT0507,AUC,1,0,0,1,indetermine_pp
97413000CT0508,AUC,8,0,0,8,indetermine_pp
97413000CT0525,AUC,5,0,0,5,indetermine_pp
97413000CT0526,AUC,4,0,0,4,indetermine_pp
97413000CT0577,AUC,2,0,0,2,indetermine_pp
