idu,avant,apres,r_avant,r_apres,d_avant,d_apres,nature
97414000DT1006,a_creuser,brulante,6943,4154,2.3374,2.3374,heritage_de_place
97404000AL1773,a_creuser,brulante,4586,4155,2.2394,2.2394,heritage_de_place
97422000DL0956,a_creuser,brulante,5356,4168,2.1310,2.1310,heritage_de_place
97414000HI1408,a_creuser,brulante,5735,4170,2.1189,2.1189,heritage_de_place
97411000BH0001,a_creuser,brulante,4963,4172,2.0685,2.0685,heritage_de_place
97401000AI1062,a_creuser,brulante,6669,4190,1.9513,1.9513,heritage_de_place
97415000DI0952,a_creuser,brulante,5279,4206,1.8241,1.8241,heritage_de_place
97401000AS1517,a_creuser,brulante,6932,4207,1.8146,1.8146,heritage_de_place
97406000AW0618,a_creuser,brulante,5185,4208,1.8126,1.8126,heritage_de_place
97404000AP0323,a_creuser,brulante,5058,4211,1.7476,1.7476,heritage_de_place
97411000HE0234,a_creuser,brulante,4675,4214,1.6982,1.6982,heritage_de_place
97414000EV0771,a_creuser,chaude,6876,4231,1.4577,1.4577,heritage_de_place
97420000AO0649,a_creuser,chaude,5293,4233,1.4450,1.4450,heritage_de_place
97412000AM0551,a_creuser,chaude,5127,4235,1.4206,1.4206,heritage_de_place
97412000AP0753,a_creuser,chaude,6239,4239,1.4010,1.4010,heritage_de_place
97423000AH1767,a_creuser,chaude,5073,4240,1.3991,1.3991,heritage_de_place
97423000AK2074,a_creuser,chaude,4978,4243,1.3903,1.3903,heritage_de_place
97413000CH0117,a_creuser,chaude,6532,4244,1.3884,1.3884,heritage_de_place
97422000BK2529,a_creuser,chaude,4321,4245,1.3884,1.3884,heritage_de_place
97419000AN0385,a_creuser,chaude,5901,4249,1.3761,1.3761,heritage_de_place
97404000AT0890,a_creuser,chaude,5034,4252,1.3681,1.3681,heritage_de_place
97422000AK1408,a_creuser,chaude,5166,4253,1.3629,1.3629,heritage_de_place
97415000AZ2029,a_creuser,chaude,6458,4254,1.3534,1.3534,heritage_de_place
97413000CH0915,a_creuser,chaude,6108,4256,1.3528,1.3528,heritage_de_place
97416000HI1091,a_creuser,chaude,5742,4257,1.3528,1.3528,heritage_de_place
97405000AI1209,a_creuser,chaude,6444,4260,1.3405,1.3405,heritage_de_place
97413000CX2871,a_creuser,chaude,4680,4264,1.3252,1.3252,heritage_de_place
97413000CX2866,a_creuser,chaude,5353,4265,1.3231,1.3231,heritage_de_place
97413000CX2869,a_creuser,chaude,6751,4266,1.3231,1.3231,heritage_de_place
97414000HA0428,a_creuser,chaude,6328,4268,1.3189,1.3189,heritage_de_place
97409000BE2099,a_creuser,chaude,4548,4271,1.3174,1.3174,heritage_de_place
97410000AL0437,a_creuser,chaude,5686,4306,1.2968,1.2968,heritage_de_place
97416000CW1247,a_creuser,chaude,6716,4307,1.2968,1.2968,heritage_de_place
97413000CX2863,a_creuser,chaude,4928,4308,1.2955,1.2955,heritage_de_place
97413000CX2870,a_creuser,chaude,6470,4309,1.2955,1.2955,heritage_de_place
97416000CZ2378,a_creuser,chaude,5705,4310,1.2952,1.2952,heritage_de_place
97407000AI1893,a_creuser,chaude,5391,4318,1.2906,1.2906,heritage_de_place
97416000CT1280,a_creuser,chaude,5605,4343,1.2747,1.2747,heritage_de_place
97422000CK1501,a_creuser,chaude,5643,4401,1.2425,1.2425,heritage_de_place
97415000CM1827,a_creuser,chaude,4540,4403,1.2401,1.2401,heritage_de_place
97409000BE1924,a_creuser,chaude,5745,4405,1.2366,1.2366,heritage_de_place
97422000AE1046,a_creuser,chaude,6906,4414,1.2345,1.2345,heritage_de_place
97422000CX0984,a_creuser,chaude,4907,4415,1.2296,1.2296,heritage_de_place
97415000BC0269,a_creuser,chaude,5565,4425,1.2235,1.2235,heritage_de_place
97422000CX0983,a_creuser,chaude,4601,4427,1.2217,1.2217,heritage_de_place
97413000CT0282,a_creuser,chaude,4402,4437,1.2143,1.2143,heritage_de_place
97414000DT0270,a_creuser,chaude,6722,4438,1.2135,1.2135,heritage_de_place
