deck,idu,commune,tier_pre_m28,tier_actuel
suspectes,97415000CX0650,Saint-Paul,chaude,chaude
suspectes,97422000CX0775,Le Tampon,ecartee,ecartee
suspectes,97406000AW0822,La Plaine-des-Palmistes,ecartee,ecartee
cadastre90,97404000AC0446,L'Étang-Salé,chaude,chaude
cadastre90,97405000AW1688,Petite-Île,a_creuser,chaude
cadastre90,97407000AS1031,Le Port,chaude,chaude
cadastre90,97409000AS1435,Saint-André,chaude,chaude
cadastre90,97412000BY1851,Saint-Joseph,chaude,chaude
cadastre90,97413000AV2297,Saint-Leu,brulante,brulante
cadastre90,97413000CY1554,Saint-Leu,chaude,chaude
cadastre90,97415000AZ0648,Saint-Paul,chaude,chaude
cadastre90,97415000CM1908,Saint-Paul,chaude,chaude
cadastre90,97415000CT2287,Saint-Paul,chaude,chaude
cadastre90,97415000DK0849,Saint-Paul,chaude,chaude
cadastre90,97416000CX1458,Saint-Pierre,a_creuser,chaude
cadastre90,97416000DX0081,Saint-Pierre,a_creuser,chaude
cadastre90,97424000AE2424,Cilaos,chaude,chaude
cadastre90,97411000HH0477,Saint-Denis,chaude,chaude
cadastre90,97412000AZ0822,Saint-Joseph,a_creuser,chaude
cadastre90,97415000DK0818,Saint-Paul,chaude,chaude
cadastre90,97405000BE1648,Petite-Île,chaude,chaude
cadastre90,97411000ES0021,Saint-Denis,chaude,chaude
cadastre90,97406000AK0161,La Plaine-des-Palmistes,chaude,chaude
cadastre90,97415000BW1487,Saint-Paul,brulante,brulante
cadastre90,97416000CZ2378,Saint-Pierre,a_creuser,chaude
cadastre90,97416000EM0220,Saint-Pierre,chaude,chaude
cadastre90,97415000BW1486,Saint-Paul,brulante,brulante
cadastre90,97406000AP0104,La Plaine-des-Palmistes,brulante,brulante
cadastre90,97410000AN0366,Saint-Benoît,chaude,chaude
cadastre90,97416000EM0654,Saint-Pierre,chaude,chaude
cadastre90,97415000CK0830,Saint-Paul,a_creuser,chaude
cadastre90,97406000AV0841,La Plaine-des-Palmistes,a_creuser,chaude
cadastre90,97408000AM1326,La Possession,chaude,chaude
cadastre90,97411000AD0035,Saint-Denis,chaude,chaude
cadastre90,97409000BH0521,Saint-André,chaude,chaude
cadastre90,97422000ED0603,Le Tampon,a_creuser,chaude
cadastre90,97415000CT2295,Saint-Paul,chaude,chaude
cadastre90,97416000DX0082,Saint-Pierre,chaude,chaude
cadastre90,97412000AW0326,Saint-Joseph,chaude,chaude
cadastre90,97408000AN2089,La Possession,chaude,chaude
