idu,commune,zone,tier_avant,rang_avant,tier_apres,rang_apres,cause_au_statut
97418000AT2542,Sainte-Marie,UB,chaude,15,brulante,14,recalibr/départage
97422000CY0197,Le Tampon,Uc,chaude,164,brulante,163,recalibr/départage
97403000AM0768,Entre-Deux,AUb,declasse_au_statut_inconnu,325,chaude,323,conditionnelle_operation
97403000AT0449,Entre-Deux,AUb,declasse_au_statut_inconnu,412,chaude,409,conditionnelle_operation
97414000EN3944,Saint-Louis,1AUb2,declasse_au_statut_inconnu,543,chaude,540,conditionnelle_operation
97414000EN3947,Saint-Louis,1AUb2,declasse_au_statut_inconnu,566,chaude,563,conditionnelle_operation
97403000AR0807,Entre-Deux,AUb,declasse_au_statut_inconnu,743,chaude,740,conditionnelle_operation
97419000AI1063,Sainte-Rose,1AUa,declasse_au_statut_inconnu,843,chaude,840,conditionnelle_operation
97403000AT0457,Entre-Deux,AUb,declasse_au_statut_inconnu,1097,chaude,1092,conditionnelle_operation
97414000ET0384,Saint-Louis,1AUb2,declasse_au_statut_inconnu,1285,chaude,1280,conditionnelle_operation
97418000AS1400,Sainte-Marie,1AUb,declasse_au_statut_inconnu,1553,chaude,1548,conditionnelle_operation
97403000AT0454,Entre-Deux,AUb,declasse_au_statut_inconnu,1626,chaude,1621,conditionnelle_operation
97414000EN3939,Saint-Louis,1AUb2,declasse_au_statut_inconnu,1746,chaude,1740,conditionnelle_operation
97402000AI1207,Bras-Panon,1AUb,declasse_au_statut_inconnu,2078,chaude,2070,conditionnelle_operation
97403000AR0421,Entre-Deux,AUb,declasse_au_statut_inconnu,2656,chaude,2648,conditionnelle_operation
97419000AL1154,Sainte-Rose,1AUa,declasse_au_statut_inconnu,2669,chaude,2661,conditionnelle_operation
97403000AM0766,Entre-Deux,AUb,declasse_au_statut_inconnu,2735,chaude,2727,conditionnelle_operation
97405000AL1523,Petite-Île,1AUa,declasse_au_statut_inconnu,2945,chaude,2937,conditionnelle_operation
97402000AI1136,Bras-Panon,1AUb,declasse_au_statut_inconnu,2955,chaude,2947,conditionnelle_operation
97416000ET2162,Saint-Pierre,UfCA,brulante,3153,chaude,3143,recalibr/départage
97402000AD1041,Bras-Panon,1AUc,declasse_au_statut_inconnu,3941,chaude,3921,conditionnelle_operation
97422000AK1442,Le Tampon,Uc,a_creuser,4150,brulante,4132,recalibr/départage
97402000AI1131,Bras-Panon,1AUb,declasse_au_statut_inconnu,5382,chaude,5361,conditionnelle_operation
97402000AI1129,Bras-Panon,1AUb,declasse_au_statut_inconnu,5407,chaude,5386,conditionnelle_operation
97404000AT0273,L'Étang-Salé,AUb,chaude,5498,a_creuser,79237,au_sous_plancher
97404000AS0367,L'Étang-Salé,AUc,chaude,330,a_creuser,426929,au_sous_plancher
97404000AL1773,L'Étang-Salé,AUb,brulante,4155,a_creuser,426948,au_sous_plancher
97404000AS0365,L'Étang-Salé,AUc,chaude,992,a_creuser,427059,au_sous_plancher
97404000AS0359,L'Étang-Salé,AUc,chaude,1002,a_creuser,427088,au_sous_plancher
97404000AL1664,L'Étang-Salé,AUc,chaude,318,a_creuser,427133,au_sous_plancher
97404000AS0366,L'Étang-Salé,AUc,chaude,1641,a_creuser,427204,au_sous_plancher
97404000AS0363,L'Étang-Salé,AUc,chaude,3172,a_creuser,427303,au_sous_plancher
97404000AS0362,L'Étang-Salé,AUc,chaude,3173,a_creuser,427308,au_sous_plancher
97404000AS0370,L'Étang-Salé,AUc,chaude,3213,a_creuser,427358,au_sous_plancher
97404000AS0369,L'Étang-Salé,AUc,chaude,3767,a_creuser,427374,au_sous_plancher
97414000EN3815,Saint-Louis,1AUb2,declasse_au_statut_inconnu,316,declasse_bati_sature,315,conditionnelle_operation
97402000AD1052,Bras-Panon,1AUc,declasse_au_statut_inconnu,375,declasse_bati_sature,372,conditionnelle_operation
97414000EN4048,Saint-Louis,1AUb1,declasse_au_statut_inconnu,1412,declasse_bati_revele,1407,conditionnelle_operation
97414000EN4035,Saint-Louis,1AUb2,declasse_au_statut_inconnu,1807,declasse_bati_revele,1801,conditionnelle_operation
97414000EN4191,Saint-Louis,1AUb2,declasse_au_statut_inconnu,2381,declasse_bati_revele,2373,conditionnelle_operation
97414000EN3914,Saint-Louis,1AUb1,declasse_au_statut_inconnu,2590,declasse_bati_revele,2582,conditionnelle_operation
97414000EN4047,Saint-Louis,1AUb1,declasse_au_statut_inconnu,3288,declasse_bati_revele,3275,conditionnelle_operation
97402000AK2109,Bras-Panon,1AUb,declasse_au_statut_inconnu,3925,declasse_bati_revele,3905,conditionnelle_operation
97414000EN3936,Saint-Louis,1AUb2,declasse_au_statut_inconnu,5598,declasse_bati_revele,5576,conditionnelle_operation
97414000EN3312,Saint-Louis,1AUb2,declasse_au_statut_inconnu,5776,declasse_bati_sature,5753,conditionnelle_operation
97402000AD1044,Bras-Panon,1AUc,declasse_au_statut_inconnu,5936,declasse_bati_sature,5913,conditionnelle_operation
97402000AD1048,Bras-Panon,1AUc,declasse_au_statut_inconnu,6006,declasse_bati_sature,5982,conditionnelle_operation
97414000EN3940,Saint-Louis,1AUb2,declasse_au_statut_inconnu,6075,declasse_bati_revele,6050,conditionnelle_operation
97402000AI1111,Bras-Panon,1AUb,declasse_au_statut_inconnu,6224,declasse_bati_revele,6192,conditionnelle_operation
97414000EN3501,Saint-Louis,1AUb2,declasse_au_statut_inconnu,6493,declasse_bati_revele,6460,conditionnelle_operation
97414000EN1144,Saint-Louis,1AUb2,declasse_au_statut_inconnu,6719,a_creuser,6685,conditionnelle_operation
97402000AI1135,Bras-Panon,1AUb,declasse_au_statut_inconnu,6873,a_creuser,6836,conditionnelle_operation
97414000EN3949,Saint-Louis,1AUb2,declasse_au_statut_inconnu,7104,a_creuser,7064,conditionnelle_operation
97402000AI1158,Bras-Panon,1AUb,declasse_au_statut_inconnu,7521,declasse_bati_sature,7481,conditionnelle_operation
97421000BO0067,Salazie,AUb,declasse_au_statut_inconnu,7580,a_creuser,7540,conditionnelle_operation
97421000AY0322,Salazie,AUc,declasse_au_statut_inconnu,8032,a_creuser,7992,conditionnelle_operation
97403000AV0239,Entre-Deux,AUb,declasse_au_statut_inconnu,8469,a_creuser,8429,conditionnelle_operation
97414000EN2035,Saint-Louis,1AUb2,declasse_au_statut_inconnu,8607,a_creuser,8567,conditionnelle_operation
97419000AL1122,Sainte-Rose,1AUa,declasse_au_statut_inconnu,8675,declasse_bati_revele,8635,conditionnelle_operation
97419000AL1097,Sainte-Rose,1AUa,declasse_au_statut_inconnu,9217,declasse_bati_sature,9176,conditionnelle_operation
97403000AR1007,Entre-Deux,AUb,declasse_au_statut_inconnu,9655,a_creuser,9614,conditionnelle_operation
97403000AR1191,Entre-Deux,AUb,declasse_au_statut_inconnu,9908,a_creuser,9867,conditionnelle_operation
97419000AL1095,Sainte-Rose,1AUa,declasse_au_statut_inconnu,10148,a_creuser,10107,conditionnelle_operation
97414000ET2259,Saint-Louis,1AUb2,declasse_au_statut_inconnu,10349,a_creuser,10308,conditionnelle_operation
97403000AT0441,Entre-Deux,AUb,declasse_au_statut_inconnu,10896,a_creuser,10855,conditionnelle_operation
97414000ET2247,Saint-Louis,1AUb2,declasse_au_statut_inconnu,10907,declasse_bati_revele,10866,conditionnelle_operation
97405000AL1522,Petite-Île,1AUa,declasse_au_statut_inconnu,11564,a_creuser,11522,conditionnelle_operation
97416000IB0447,Saint-Pierre,AUdma,declasse_au_statut_inconnu,11572,a_creuser,11530,conditionnelle_operation
97419000AL1129,Sainte-Rose,1AUa,declasse_au_statut_inconnu,11873,declasse_bati_sature,11831,conditionnelle_operation
97405000AI1182,Petite-Île,1AUa,declasse_au_statut_inconnu,12412,declasse_bati_revele,12369,conditionnelle_operation
97419000AL1134,Sainte-Rose,1AUa,declasse_au_statut_inconnu,12539,declasse_bati_sature,12496,conditionnelle_operation
97405000AI1181,Petite-Île,1AUa,declasse_au_statut_inconnu,12657,declasse_bati_revele,12614,conditionnelle_operation
97402000AI1132,Bras-Panon,1AUb,declasse_au_statut_inconnu,12826,declasse_bati_revele,12781,conditionnelle_operation
97419000AL1126,Sainte-Rose,1AUa,declasse_au_statut_inconnu,12855,declasse_bati_sature,12809,conditionnelle_operation
97414000EN3943,Saint-Louis,1AUb2,declasse_au_statut_inconnu,13581,a_creuser,13534,conditionnelle_operation
97419000AS0723,Sainte-Rose,1AUc,declasse_au_statut_inconnu,13991,declasse_bati_sature,13943,conditionnelle_operation
97414000EN3935,Saint-Louis,1AUb2,declasse_au_statut_inconnu,14039,declasse_bati_revele,13990,conditionnelle_operation
97402000AI1164,Bras-Panon,1AUb,declasse_au_statut_inconnu,14384,declasse_bati_revele,14333,conditionnelle_operation
97414000EN3950,Saint-Louis,1AUb2,declasse_au_statut_inconnu,14825,declasse_bati_revele,14773,conditionnelle_operation
97414000EN3925,Saint-Louis,1AUb1,declasse_au_statut_inconnu,14857,declasse_bati_revele,14805,conditionnelle_operation
97405000AO0566,Petite-Île,1AUa,declasse_au_statut_inconnu,14883,a_creuser,14831,conditionnelle_operation
97414000EN3343,Saint-Louis,1AUb2,declasse_au_statut_inconnu,14989,a_creuser,14937,conditionnelle_operation
97403000AS2007,Entre-Deux,AUb,declasse_au_statut_inconnu,15379,a_creuser,15325,conditionnelle_operation
97403000AS2006,Entre-Deux,AUb,declasse_au_statut_inconnu,15542,a_creuser,15488,conditionnelle_operation
97403000AR1123,Entre-Deux,AUb,declasse_au_statut_inconnu,15543,a_creuser,15489,conditionnelle_operation
97414000EN4046,Saint-Louis,1AUb1,declasse_au_statut_inconnu,15589,a_creuser,15535,conditionnelle_operation
97414000EN3942,Saint-Louis,1AUb2,declasse_au_statut_inconnu,15610,declasse_bati_revele,15556,conditionnelle_operation
97419000AI1062,Sainte-Rose,1AUa,declasse_au_statut_inconnu,15636,a_creuser,15582,conditionnelle_operation
97414000EN4056,Saint-Louis,1AUb1,declasse_au_statut_inconnu,15703,a_creuser,15649,conditionnelle_operation
97414000EN3937,Saint-Louis,1AUb2,declasse_au_statut_inconnu,15742,declasse_bati_revele,15688,conditionnelle_operation
97414000EN3817,Saint-Louis,1AUb2,declasse_au_statut_inconnu,15743,declasse_bati_revele,15689,conditionnelle_operation
97402000AD1033,Bras-Panon,1AUc,declasse_au_statut_inconnu,16292,declasse_bati_sature,16234,conditionnelle_operation
97414000EN3360,Saint-Louis,1AUb1,declasse_au_statut_inconnu,16516,a_creuser,16457,conditionnelle_operation
97414000EN3941,Saint-Louis,1AUb2,declasse_au_statut_inconnu,16638,declasse_bati_revele,16578,conditionnelle_operation
97421000AL0543,Salazie,AUb,declasse_au_statut_inconnu,16652,a_creuser,16592,conditionnelle_operation
97403000AS2009,Entre-Deux,AUb,declasse_au_statut_inconnu,16816,a_creuser,16755,conditionnelle_operation
97414000EN4111,Saint-Louis,1AUb2,declasse_au_statut_inconnu,17162,a_creuser,17097,conditionnelle_operation
97402000AD1055,Bras-Panon,1AUc,declasse_au_statut_inconnu,17457,a_creuser,17390,conditionnelle_operation
97403000AM0716,Entre-Deux,AUb,declasse_au_statut_inconnu,17467,declasse_bati_revele,17400,conditionnelle_operation
97414000EN3359,Saint-Louis,1AUb1,declasse_au_statut_inconnu,17859,a_creuser,17786,conditionnelle_operation
