idu,tier_servi_actuel,surface_m2,confiance,deja_registre
97415000CY0402,brulante,22.1,0.926,f
97415000BV0606,brulante,21.9,0.917,f
97411000EL0203,chaude,48.6,1.000,f
97415000EV0310,chaude,44.7,0.988,f
97415000CW0264,chaude,44.5,1.000,f
97411000EP0228,chaude,43.1,0.940,f
97401000AR1289,chaude,40.2,0.850,f
97413000DE1446,chaude,37.6,0.927,f
97416000EI0270,chaude,36.5,0.871,f
97415000CX0650,chaude,36.5,0.910,f
97415000CW0194,chaude,30.0,0.948,f
97411000EL0140,chaude,29.9,1.000,f
97405000BE1329,chaude,28.6,0.925,f
97411000EK0108,chaude,28.1,0.932,f
97408000AC1375,chaude,27.5,0.999,f
97423000AB0321,chaude,26.0,0.929,f
97408000AC1895,chaude,25.8,0.998,f
97411000DW0080,chaude,25.7,1.000,f
97416000EZ0553,chaude,25.6,1.000,f
97415000CY0985,chaude,25.1,0.872,f
97411000AV0547,chaude,24.8,0.903,f
97415000CV1487,chaude,24.7,0.902,f
97413000CS0128,chaude,24.3,0.909,f
97415000EO0463,chaude,24.3,0.918,f
97415000DE0775,chaude,24.2,0.940,f
97413000DE2193,chaude,23.3,0.940,f
97411000BX0171,chaude,23.0,0.977,f
97415000CX0639,chaude,20.9,0.977,f
97408000AC2215,chaude,19.9,0.932,f
97415000EY1415,chaude,19.2,0.931,f
97415000CY0363,chaude,19.0,1.000,f
97420000BC1047,chaude,18.3,0.884,f
97416000EX0250,chaude,16.0,1.000,f
97405000AR1591,chaude,15.7,0.939,f
97411000BX0347,chaude,14.9,0.973,f
97404000AT0402,chaude,14.5,0.888,f
97415000EY1410,chaude,14.1,0.861,f
97415000CH2373,chaude,13.5,0.823,f
97416000EV1496,chaude,13.0,0.859,f
97415000CP0010,chaude,12.6,0.902,f
97422000CI0591,chaude,12.1,0.782,f
97415000EZ0057,chaude,11.9,0.866,f
97411000EK0006,chaude,11.3,0.769,f
97415000AY0352,chaude,10.8,0.664,f
97419000AR0311,chaude,10.8,0.827,f
97413000CU0526,chaude,10.7,0.829,f
97415000AY0927,chaude,10.0,0.676,f
