insee,idu,tier_actuel,tier_apres_regle,surface_m2,confiance,statut_seuil
97415,97415000CY0402,brulante,a_creuser,22.1,0.926,BANDE_15_60
97415,97415000BV0606,brulante,a_creuser,21.9,0.917,BANDE_15_60
97411,97411000EL0203,chaude,a_creuser,48.6,1.000,BANDE_15_60
97415,97415000EV0310,chaude,a_creuser,44.7,0.988,BANDE_15_60
97415,97415000CW0264,chaude,a_creuser,44.5,1.000,BANDE_15_60
97411,97411000EP0228,chaude,a_creuser,43.1,0.940,BANDE_15_60
97401,97401000AR1289,chaude,a_creuser,40.2,0.850,BANDE_15_60
97413,97413000DE1446,chaude,a_creuser,37.6,0.927,BANDE_15_60
97416,97416000EI0270,chaude,a_creuser,36.5,0.871,BANDE_15_60
97415,97415000CX0650,chaude,a_creuser,36.5,0.910,BANDE_15_60
97415,97415000CW0194,chaude,a_creuser,30.0,0.948,BANDE_15_60
97411,97411000EL0140,chaude,a_creuser,29.9,1.000,BANDE_15_60
97405,97405000BE1329,chaude,a_creuser,28.6,0.925,BANDE_15_60
97411,97411000EK0108,chaude,a_creuser,28.1,0.932,BANDE_15_60
97408,97408000AC1375,chaude,a_creuser,27.5,0.999,BANDE_15_60
97423,97423000AB0321,chaude,a_creuser,26.0,0.929,BANDE_15_60
97408,97408000AC1895,chaude,a_creuser,25.8,0.998,BANDE_15_60
97411,97411000DW0080,chaude,a_creuser,25.7,1.000,BANDE_15_60
97416,97416000EZ0553,chaude,a_creuser,25.6,1.000,BANDE_15_60
97415,97415000CY0985,chaude,a_creuser,25.1,0.872,BANDE_15_60
97411,97411000AV0547,chaude,a_creuser,24.8,0.903,BANDE_15_60
97415,97415000CV1487,chaude,a_creuser,24.7,0.902,BANDE_15_60
97413,97413000CS0128,chaude,a_creuser,24.3,0.909,BANDE_15_60
97415,97415000EO0463,chaude,a_creuser,24.3,0.918,BANDE_15_60
97415,97415000DE0775,chaude,a_creuser,24.2,0.940,BANDE_15_60
97413,97413000DE2193,chaude,a_creuser,23.3,0.940,BANDE_15_60
97411,97411000BX0171,chaude,a_creuser,23.0,0.977,BANDE_15_60
97415,97415000CX0639,chaude,a_creuser,20.9,0.977,BANDE_15_60
97408,97408000AC2215,chaude,a_creuser,19.9,0.932,BANDE_15_60
97415,97415000EY1415,chaude,a_creuser,19.2,0.931,BANDE_15_60
97415,97415000CY0363,chaude,a_creuser,19.0,1.000,BANDE_15_60
97420,97420000BC1047,chaude,a_creuser,18.3,0.884,BANDE_15_60
97416,97416000EX0250,chaude,a_creuser,16.0,1.000,BANDE_15_60
97405,97405000AR1591,chaude,a_creuser,15.7,0.939,BANDE_15_60
97411,97411000BX0347,chaude,a_creuser,14.9,0.973,SOUS_15_ecarte
97404,97404000AT0402,chaude,a_creuser,14.5,0.888,SOUS_15_ecarte
97415,97415000EY1410,chaude,a_creuser,14.1,0.861,SOUS_15_ecarte
97415,97415000CH2373,chaude,a_creuser,13.5,0.823,SOUS_15_ecarte
97416,97416000EV1496,chaude,a_creuser,13.0,0.859,SOUS_15_ecarte
97415,97415000CP0010,chaude,a_creuser,12.6,0.902,SOUS_15_ecarte
97422,97422000CI0591,chaude,a_creuser,12.1,0.782,SOUS_15_ecarte
97415,97415000EZ0057,chaude,a_creuser,11.9,0.866,SOUS_15_ecarte
97411,97411000EK0006,chaude,a_creuser,11.3,0.769,SOUS_15_ecarte
97415,97415000AY0352,chaude,a_creuser,10.8,0.664,SOUS_15_ecarte
97419,97419000AR0311,chaude,a_creuser,10.8,0.827,SOUS_15_ecarte
97413,97413000CU0526,chaude,a_creuser,10.7,0.829,SOUS_15_ecarte
97415,97415000AY0927,chaude,a_creuser,10.0,0.676,SOUS_15_ecarte
