insee,idu,tier,surf_parc,surf_pool,pct,ratio,contenue_ok,palier
97401,97401000AR1289,chaude,157,40.2,25.7,0.75,t,pct>=20
97415,97415000BV0606,brulante,125,21.9,17.5,1.00,t,pct>=15
97415,97415000CX0650,chaude,216,36.5,16.9,1.00,t,pct>=15
97415,97415000CY0985,chaude,156,25.1,16.1,0.55,t,pct>=15
97408,97408000AC2215,chaude,131,19.9,15.1,1.00,t,pct>=15
97413,97413000DE1446,chaude,269,37.6,14.0,0.79,t,pct>=10
97411,97411000EP0228,chaude,309,43.1,14.0,1.00,t,pct>=10
97413,97413000DE2193,chaude,180,23.3,13.0,0.52,t,pct>=10
97415,97415000EV0310,chaude,513,44.7,8.7,1.00,t,pct>=5
97415,97415000DE0775,chaude,300,24.2,8.1,1.00,t,pct>=5
97415,97415000CY0402,brulante,291,22.1,7.6,0.52,t,pct>=5
97420,97420000BC1047,chaude,364,18.3,5.0,1.00,t,pct>=5
97416,97416000EI0270,chaude,778,36.5,4.7,0.97,t,pct<5
97411,97411000AV0547,chaude,527,24.8,4.7,0.60,t,pct<5
97411,97411000EL0203,chaude,1061,48.6,4.6,1.00,t,pct<5
97411,97411000EL0140,chaude,854,29.9,3.5,1.00,t,pct<5
97405,97405000AR1591,chaude,476,15.7,3.3,1.00,t,pct<5
97408,97408000AC1375,chaude,882,27.5,3.1,1.00,t,pct<5
97415,97415000CW0194,chaude,1012,30.0,3.0,1.00,t,pct<5
97411,97411000EK0108,chaude,1156,28.1,2.4,1.00,t,pct<5
97415,97415000CV1487,chaude,1075,24.7,2.3,1.00,t,pct<5
97411,97411000DW0080,chaude,1194,25.7,2.2,1.00,t,pct<5
97415,97415000EY1415,chaude,948,19.2,2.0,1.00,t,pct<5
97415,97415000CX0639,chaude,1122,20.9,1.9,1.00,t,pct<5
97415,97415000CW0264,chaude,2303,44.5,1.9,1.00,t,pct<5
97413,97413000CS0128,chaude,1373,24.3,1.8,0.92,t,pct<5
97415,97415000CY0363,chaude,1335,24.2,1.8,1.00,t,pct<5
97408,97408000AC1895,chaude,2041,36.1,1.8,1.00,t,pct<5
97415,97415000EO0463,chaude,1701,24.3,1.4,1.00,t,pct<5
97416,97416000EX0250,chaude,1146,16.0,1.4,1.00,t,pct<5
97416,97416000EZ0553,chaude,1808,25.6,1.4,1.00,t,pct<5
97411,97411000BX0171,chaude,1797,23.0,1.3,1.00,t,pct<5
97423,97423000AB0321,chaude,3896,26.0,0.7,1.00,t,pct<5
97405,97405000BE1329,chaude,131,28.6,21.9,0.44,f,exclu_contenance
