insee,commune,statut_config,idurba_mairie,date_mairie,idurba_gpu_ingere,gpu_zones,match_doc,residu_multi_idurba,tetes_brul_chaude,reserve,servi,note_config
97401,Les Avirons,a_jour,97401_PLU_20241206,2024-12-06,97401_PLU_20241206,163,OUI,,17,29,8611,
97402,Bras-Panon,a_jour,97402_PLU_20260428,2026-04-28,97402_PLU_20260428,130,OUI,,8,15,6041,
97403,Entre-Deux,a_jour,97403_plu_20240924,2024-09-24,97403_plu_20240924,182,OUI,,19,49,6312,
97404,L'Étang-Salé,a_jour,97404_PLU_20250917,2025-09-17,97404_plu_20250917,78,OUI,,15,40,9070,
97405,Petite-Île,a_jour,97405_PLU_20230609,2023-06-09,97405_PLU_20230609,335,OUI,,24,8,13137,
97406,La Plaine-des-Palmistes,a_jour,97406_PLU_20230527,2023-05-27,97406_PLU_20230527,274,OUI,,35,25,6450,
97407,Le Port,annule_partiel,97407_PLU_20241209,2024-12-09,97407_PLU_20241209,110,OUI,,25,40,10195,annulation limitée au secteur Uppp/Up2 (concession portuaire) — TA 1900330 + CAA
97408,La Possession,a_jour,97408_PLU_20251217,2025-12-17,97408_PLU_20251217,246,OUI,,112,64,13338,
97409,Saint-André,opposabilite_en_attente,97409_20190228,2019-02-28,97409_20190228,142,OUI,,30,273,22600,révision en cours NON approuvée ; PLU 2019 reste opposable mais AUCUN document G
97410,Saint-Benoît,a_jour,97410_PLU_20200206,2020-02-06,97410_PLU_20200206,306,OUI,,48,257,21671,
97411,Saint-Denis,a_jour,97411_PLU_20260423,2026-04-23,97411_PLU_20260423,259,OUI,,103,127,38138,
97412,Saint-Joseph,a_jour,97412_PLU_20251210,2025-12-10,97412_PLU_20240320 | 97412_PLU_20251210,346,OUI,OUI,64,65,28959,
97413,Saint-Leu,opposabilite_en_attente,97413_20070226,2007-02-26,97413_20070226,368,OUI,,82,369,22959,révision en cours (approbation visée S2 2026) ; PLU 2007 reste opposable mais AU
97414,Saint-Louis,a_jour,97414_PLU_20251218,2025-12-18,97414_plu_20251218,245,OUI,,56,111,29241,republication faite — EN_VIGUEUR confirmé M32 (05/08)
97415,Saint-Paul,a_jour,97415_PLU_20251217,2025-12-17,97415_PLU_20251217,765,OUI,,213,436,51129,
97416,Saint-Pierre,a_jour,97416_PLU_20240625,2024-06-25,97416_PLU_20240625,285,OUI,,110,160,42425,
97417,Saint-Philippe,rnu,(aucun),,(aucune),0,RNU,,2,0,4162,"RNU (règlement national d'urbanisme) — aucun PLU, zéro zonage au bourg"
97418,Sainte-Marie,a_jour,97418_plu_20251126,2025-11-26,97418_plu_20251126,268,OUI,,38,114,16746,
97419,Sainte-Rose,a_jour,97419_PLU_20190504,2019-05-04,97419_PLU_20190504,125,OUI,,6,47,6287,
97420,Sainte-Suzanne,a_jour,97420_plu_20250929,2025-09-29,97420_plu_20250929,191,OUI,,18,68,12527,
97421,Salazie,a_jour,97421_PLU_20220524,2022-05-24,97421_PLU_20220524,325,OUI,,4,95,7035,
97422,Le Tampon,a_jour,97422_PLU_20230811,2023-08-11,97422_PLU_20230811,391,OUI,,104,541,42756,
97423,Les Trois-Bassins,a_jour,97423_PLU_20220602,2022-06-02,97423_PLU_20220602,165,OUI,,9,6,5314,
97424,Cilaos,a_jour,97424_plu_20240213,2024-02-13,97424_plu_20240213,149,OUI,,18,25,6560,
