insee,commune,du_opposable,id_du_opp,du_en_cours,id_en_cours,etat_detaille,prescription_du_vigueur,approbation_du_vigueur,executoire_du_vigueur,prescription_proc_en_cours
97401,Avirons,PLU,93211,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2011-06-24,2024-12-06,,
97402,Bras-Panon,PLU,93213,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2011-09-21,2019-11-30,2020-01-06,
97403,Entre-Deux,PLU,181366,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2021-03-18,2024-09-24,,
97404,Étang-Salé,PLU,64761,PLU,186857,PLU approuvé - révision de PLU - Compétence commune,2004-12-21,2017-12-22,,2022-04-28
97405,Petite-Île,PLU,64762,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2008-12-12,2017-02-23,2017-10-19,
97406,Plaine-des-Palmistes,PLU,64763,PLU,143365,PLU approuvé - révision de PLU - Compétence commune,2009-10-29,2013-05-29,2013-06-12,2015-09-24
97407,Port,PLU,126552,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2013-03-28,2018-10-02,2018-11-30,
97408,Possession,PLU,119680,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2012-05-23,2019-06-12,,
97409,Saint-André,PLU,64240,PLU,186789,PLU approuvé - révision de PLU - Compétence commune,2014-09-18,2019-02-28,,2022-06-22
97410,Saint-Benoît,PLU,92391,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2011-11-28,2020-02-06,,
97411,Saint-Denis,PLU,64764,PLU,194877,PLU approuvé - révision de PLU - Compétence commune,2008-06-21,2013-10-26,2013-11-29,2024-09-27
97412,Saint-Joseph,PLU,64765,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2007-11-30,2019-06-26,2019-09-02,
97413,Saint-Leu,PLU,55791,PLU,186826,PLU approuvé - révision de PLU - Compétence commune,2001-08-31,2007-02-26,,2022-05-17
97414,Saint-Louis,PLU,64766,PLU,186791,PLU approuvé - révision de PLU - Compétence commune,2009-03-31,2014-03-11,,2022-02-25
97415,Saint-Paul,PLU,64767,PLU,186792,PLU approuvé - révision de PLU - Compétence commune,2001-05-15,2012-09-27,,2021-12-16
97416,Saint-Pierre,PLU,92407,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2012-09-27,2024-06-25,,
97417,Saint-Philippe,RNU,,PLU,64768,RNU - élaboration PLU - Compétence commune,,,,2002-08-30
97418,Sainte-Marie,PLU,64769,PLU,186790,PLU approuvé - révision de PLU - Compétence commune,2007-12-17,2013-12-27,,2021-06-03
97419,Sainte-Rose,PLU,143421,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2007-11-05,2019-05-04,2019-07-14,
97420,Sainte-Suzanne,PLU,64770,PLU,166837,PLU approuvé - révision de PLU - Compétence commune,2005-05-20,2017-03-22,2017-03-31,2018-02-28
97421,Salazie,PLU,119682,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2012-08-23,2022-05-24,,
97422,Tampon,PLU,63686,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2008-04-14,2018-12-08,2019-02-15,
97423,Trois-Bassins,PLU,119683,PLU,186788,PLU approuvé - révision de PLU - Compétence commune,2011-12-08,2017-02-21,2017-02-27,2022-06-02
97424,Cilaos,PLU,55794,Aucun,,PLU approuvé - aucune procédure en cours - Compétence commune,2005-06-15,2008-02-06,2008-03-06,
