idu,strate,commune_insee
97401000AB0001,special_M43_societe,97401
97401000AB0013,special_M38_depot_permis,97401
97401000AD0095,special_sans_adresse,97401
97401000AD0124,special_M44_locatif_score_e,97401
97404000AZ0004,temoin_AZ0004_renouvellement_rang1,97404
97407000AI1821,tier_reserve_fonciere,97407
97408000AP1610,tier_chaude,97408
97408000AP1647,tier_brulante,97408
97409000AR1260,tier_declasse_bati_sature,97409
97409000AW0302,tier_declasse_au_statut_inconnu,97409
97411000EL0201,tier_declasse_bati_sature_2,97411
97411000EP0228,temoin_EP0228_piscine_M39_M40,97411
97411000HM0273,tier_ecartee,97411
97411000KA0296,tier_brulante_2,97411
97413000AV2046,tier_declasse_au_fermee,97413
97413000AV2297,special_M41_radar_commune,97413
97415000CW1056,tier_declasse_non_constructible,97415
97415000CX0650,tier_a_creuser,97415
97415000DK1044,tier_chaude_2,97415
97415000EY1509,tier_reserve_fonciere_2,97415
97416000EY1406,tier_declasse_bati_revele,97416
97417000BC0067,tier_a_creuser_2,97417
97418000AT2542,temoin_AT2542_brulante,97418
97419000AL1154,temoin_AL1154_fourchette_piscine,97419
97422000AD1237,tier_declasse_zone_fermee,97422
97422000CY0197,temoin_CY0197_bati_marginal_divisible,97422
