idu,strate,grandeur,surface,valeur
97401000AB0001,special_M43_societe,tier,fiche_v2,ecartee
97401000AB0001,special_M43_societe,tier,fiche_legacy,ecartee
97401000AB0001,special_M43_societe,tier,carte_tuile,ecartee
97401000AB0001,special_M43_societe,tier,db_verite,ecartee
97401000AB0001,special_M43_societe,tier,export_md,ecartee
97401000AB0001,special_M43_societe,rang,fiche_v2,394795
97401000AB0001,special_M43_societe,rang,fiche_legacy,394795
97401000AB0001,special_M43_societe,rang,carte_tuile,394795
97401000AB0001,special_M43_societe,rang,db_verite,394795
97401000AB0001,special_M43_societe,mult,fiche_v2,0.52
97401000AB0001,special_M43_societe,mult,carte_tuile,0.52
97401000AB0001,special_M43_societe,mult,db_verite,0.52
97401000AB0001,special_M43_societe,modeb_dispo,fiche_v2,False
97401000AB0001,special_M43_societe,modeb_dispo,fiche_legacy,False
97401000AB0001,special_M43_societe,modeb_dispo,endpoint_modeb,False
97401000AB0001,special_M43_societe,vigilances,fiche_v2,"ocs_ge,pente,prescription_plu,ravine,risques,sup"
97401000AB0001,special_M43_societe,vigilances,carte_tuile,"ocs_ge,pente,prescription_plu,ravine,risques,sup"
97401000AB0013,special_M38_depot_permis,tier,fiche_v2,ecartee
97401000AB0013,special_M38_depot_permis,tier,fiche_legacy,ecartee
97401000AB0013,special_M38_depot_permis,tier,carte_tuile,ecartee
97401000AB0013,special_M38_depot_permis,tier,db_verite,ecartee
97401000AB0013,special_M38_depot_permis,tier,export_md,ecartee
97401000AB0013,special_M38_depot_permis,rang,fiche_v2,418967
97401000AB0013,special_M38_depot_permis,rang,fiche_legacy,418967
97401000AB0013,special_M38_depot_permis,rang,carte_tuile,418967
97401000AB0013,special_M38_depot_permis,rang,db_verite,418967
97401000AB0013,special_M38_depot_permis,mult,fiche_v2,0.43
97401000AB0013,special_M38_depot_permis,mult,carte_tuile,0.43
97401000AB0013,special_M38_depot_permis,mult,db_verite,0.43
97401000AB0013,special_M38_depot_permis,modeb_dispo,fiche_v2,False
97401000AB0013,special_M38_depot_permis,modeb_dispo,fiche_legacy,False
97401000AB0013,special_M38_depot_permis,modeb_dispo,endpoint_modeb,False
97401000AB0013,special_M38_depot_permis,vigilances,fiche_v2,"prescription_plu,ravine,risques,sup"
97401000AB0013,special_M38_depot_permis,vigilances,carte_tuile,"prescription_plu,ravine,risques,sup"
97401000AD0095,special_sans_adresse,tier,fiche_v2,a_creuser
97401000AD0095,special_sans_adresse,tier,fiche_legacy,a_creuser
97401000AD0095,special_sans_adresse,tier,carte_tuile,a_creuser
97401000AD0095,special_sans_adresse,tier,db_verite,a_creuser
97401000AD0095,special_sans_adresse,tier,export_md,a_creuser
97401000AD0095,special_sans_adresse,rang,fiche_v2,116123
97401000AD0095,special_sans_adresse,rang,fiche_legacy,116123
97401000AD0095,special_sans_adresse,rang,carte_tuile,116123
97401000AD0095,special_sans_adresse,rang,db_verite,116123
97401000AD0095,special_sans_adresse,mult,fiche_v2,1.17
97401000AD0095,special_sans_adresse,mult,carte_tuile,1.17
97401000AD0095,special_sans_adresse,mult,db_verite,1.17
97401000AD0095,special_sans_adresse,ca_central,module_faisa,0
97401000AD0095,special_sans_adresse,ca_central,fiche_legacy,0
97401000AD0095,special_sans_adresse,charge_fonciere_central,module_faisa,0
97401000AD0095,special_sans_adresse,charge_fonciere_central,fiche_legacy,0
97401000AD0095,special_sans_adresse,modeb_dispo,fiche_v2,False
97401000AD0095,special_sans_adresse,modeb_dispo,fiche_legacy,False
97401000AD0095,special_sans_adresse,modeb_dispo,endpoint_modeb,False
97401000AD0095,special_sans_adresse,vigilances,fiche_v2,"declassement,parc_national,risques"
97401000AD0095,special_sans_adresse,vigilances,carte_tuile,"declassement,parc_national,risques"
97401000AD0124,special_M44_locatif_score_e,tier,fiche_v2,a_creuser
97401000AD0124,special_M44_locatif_score_e,tier,fiche_legacy,a_creuser
97401000AD0124,special_M44_locatif_score_e,tier,carte_tuile,a_creuser
97401000AD0124,special_M44_locatif_score_e,tier,db_verite,a_creuser
97401000AD0124,special_M44_locatif_score_e,tier,export_md,a_creuser
