idu,champ,valeur_morte,tier_effectif
97401000AD0095,mvt_parcels.status (matrice v1 morte),ecartee,a_creuser
97401000AD0124,mvt_parcels.status (matrice v1 morte),ecartee,a_creuser
97407000AI1821,mvt_parcels.status (matrice v1 morte),chaude,reserve_fonciere
97408000AP1610,mvt_parcels.status (matrice v1 morte),a_creuser,chaude
97408000AP1647,mvt_parcels.status (matrice v1 morte),a_creuser,brulante
97409000AR1260,mvt_parcels.status (matrice v1 morte),ecartee,declasse_bati_sature
97409000AW0302,mvt_parcels.status (matrice v1 morte),ecartee,declasse_au_statut_inconnu
97411000EL0201,mvt_parcels.status (matrice v1 morte),ecartee,declasse_bati_sature
97411000EP0228,mvt_parcels.status (matrice v1 morte),ecartee,chaude
97411000KA0296,mvt_parcels.status (matrice v1 morte),ecartee,brulante
97413000AV2046,mvt_parcels.status (matrice v1 morte),ecartee,declasse_au_fermee
97413000AV2297,mvt_parcels.status (matrice v1 morte),ecartee,brulante
97415000CW1056,mvt_parcels.status (matrice v1 morte),ecartee,declasse_non_constructible
97415000CX0650,mvt_parcels.status (matrice v1 morte),ecartee,a_creuser
97415000DK1044,mvt_parcels.status (matrice v1 morte),ecartee,chaude
97415000EY1509,mvt_parcels.status (matrice v1 morte),chaude,reserve_fonciere
97416000EY1406,mvt_parcels.status (matrice v1 morte),ecartee,declasse_bati_revele
97417000BC0067,mvt_parcels.status (matrice v1 morte),ecartee,a_creuser
97418000AT2542,mvt_parcels.status (matrice v1 morte),ecartee,brulante
97419000AL1154,mvt_parcels.status (matrice v1 morte),chaude,a_creuser
97422000AD1237,mvt_parcels.status (matrice v1 morte),a_creuser,declasse_zone_fermee
97422000CY0197,mvt_parcels.status (matrice v1 morte),ecartee,brulante
