N°01 | AUp   | p.PDF54 | recul 3m | 1AU:oui | ER:oui | PPR:oui | Beauvallon – pôle d’activités vo
N°02 | Aub   | p.PDF55 | recul 10m | 1AU:oui | ER:oui | PPR:— | Bourbier les Hauts – chemin Mont
N°03 | AUe   | p.PDF56 | recul 3m | 1AU:oui | ER:oui | PPR:oui | Beaulieu – zone commerciale
N°05 | AUa   | p.PDF57 | recul 3m | 1AU:oui | ER:— | PPR:— | Le Conardel – zone d’habitat
N°06 | AUb   | p.PDF59 | recul 3m | 1AU:oui | ER:— | PPR:— | Bras-Canot – espace Sarda Garrig
N°07 | AUb   | p.PDF60 | recul 3m | 1AU:oui | ER:oui | PPR:oui | Bras-Canot - Prévoisy
N°08 | AUa   | p.PDF61 | recul 3m | 1AU:oui | ER:oui | PPR:— | Le Cap les Bas, sentier des Lata
N°09 | AUa   | p.PDF62 | recul 3m | 1AU:oui | ER:oui | PPR:— | Le Cap les Bas, chemin des Jonqu
N°10 | AUb   | p.PDF63 | recul 3m | 1AU:oui | ER:— | PPR:— | Le Cap les Bas – allée des Palmi
N°11 | AUb   | p.PDF64 | recul 3m | 1AU:oui | ER:— | PPR:— | Le Cap les Bas – Impasse Louis
N°12 | AUb   | p.PDF65 | recul 3m | 1AU:oui | ER:— | PPR:— | Le Cap les Hauts, près du Lot. B
N°13 | AUb   | p.PDF66 | recul 3m | 1AU:oui | ER:— | PPR:— | Le Cap les Hauts, impasse Lee-Fo
N°14 | AUb   | p.PDF67 | recul 3m | 1AU:oui | ER:— | PPR:oui | Sainte-Anne, chemin Blémir
N°15 | AUb   | p.PDF68 | recul 3m | 1AU:oui | ER:oui | PPR:— | Sainte-Anne – chemin Jacquemin
N°16 | AUb   | p.PDF69 | recul 3m | 1AU:oui | ER:— | PPR:— | Sainte-Anne – chemin Morange
N°17 | AUb   | p.PDF70 | recul 3m | 1AU:oui | ER:— | PPR:— | Petit Saint-Pierre – chemin Gall
N°18 | AUa   | p.PDF71 | recul 3m | 1AU:oui | ER:oui | PPR:— | Petit Saint-Pierre – chemin Impé
N°19 | AUb   | p.PDF72 | recul 3m | 1AU:oui | ER:— | PPR:oui | Cambourg – chemin Baptiste
