commune,n,k_c,rr_full,rr_champion
97420,12490,34,29.258198854763148,19.505465903175434
97417,4155,11,17.987012987012985,11.991341991341992
97407,10114,27,16.111509358821184,16.111509358821184
97404,9011,24,15.324829931972788,17.878968253968253
97410,21622,58,15.192195438330991,14.023565019997838
97419,6284,17,14.495963091118801,14.495963091118801
97416,42045,114,13.917576961271102,9.278384640847401
97418,16646,45,10.088484848484848,6.725656565656566
97409,22513,61,7.3082291835740945,8.526267380836444
97422,42523,115,6.111821775062882,3.055910887531441
97413,22763,62,6.098756832065159,4.879005465652127
97405,13122,35,5.888706058339566,9.81451009723261
97401,8560,23,5.725752508361204,8.588628762541806
97415,50593,137,5.035799601857997,4.616149635036496
97412,28875,78,4.122408771629261,2.473445262977557
97408,13148,36,3.804398148148148,3.804398148148148
97414,29141,79,2.739159042486527,3.652212056648703
97411,36981,100,2.507186440677966,3.760779661016949
97402,6016,16,0.0,0.0
97406,6446,17,0.0,7.362649914334666
97421,7034,19,0.0,6.069025021570319
97403,6301,17,0.0,4.575889615105301
97423,5301,14,0.0,0.0
97424,6555,18,0.0,0.0
