feature,bloc,delta_auc,delta_rr1158,retired
tenure_bin,D,0.02236,3.23,False
zone_plu,Z,0.02069,0.57,False
permis_bin,D,0.01223,4.865,False
surface_m2,D,0.0087,2.47,False
nu_constructible,D,0.00854,0.95,False
rot_nu,Z,0.00552,0.684,False
rot_bati,Z,0.00328,0.475,False
sdp_residuelle_m2,D,0.00216,0.247,False
sous_densite,D,0.0014,0.285,False
tendance_pm2_bati,Z,0.00074,-0.095,False
filo_dens_pop,Z,0.00068,0.209,True
dormance_droits,D,0.00055,0.266,True
filo_snv_pp,Z,0.0003,0.494,False
pente_moy_deg,Z,0.0003,0.171,False
piscine,D,0.00028,-0.456,False
filo_pct_prop,Z,0.00026,0.228,False
pct_bati_secteur,Z,0.00014,0.285,False
filo_pct_pauv,Z,0.00011,0.665,False
med_pm2_terrain_36m,Z,7e-05,-0.038,False
friche,D,0.0,0.285,False
window_coverage,Z,0.0,0.0,True
qpv,Z,0.0,0.171,True
dens_bati_secteur,Z,-2e-05,0.019,False
permis_24m_norm,Z,-7e-05,-0.0,True
med_pm2_bati_36m,Z,-0.00014,0.114,False
pv_candidat,D,-0.0003,0.133,False
acces_equipements,Z,-0.0006,-0.0,False
canopee_pct,D,-0.0008,0.266,False
ndvi_moyen,D,-0.00475,-0.076,False
