d,n,p_moyen,taux_obs,ventes,ecart,lift
0,42824,0.008746247046846779,0.007168877265084999,307,0.0015773697817617798,0.47325309559468703
1,42824,0.009984527138092805,0.009433962264150943,404,0.0005505648739418615,0.6227825753102721
2,42824,0.01084684167936695,0.010321315150382962,442,0.0005255265289839869,0.6813611343741096
3,42824,0.011670716859097832,0.01310013076779376,561,-0.0014294139086959284,0.8648045167056008
4,42824,0.012728803746648712,0.013146833551279656,563,-0.0004180298046309438,0.8678875987615922
5,42823,0.013325940002515448,0.01473507227424515,631,-0.0014091322717297017,0.9727351033837627
6,42824,0.013815064351789216,0.015481972725574444,663,-0.0016669083737852284,1.0220417015611645
7,42824,0.01627730211041287,0.017326732673267328,742,-0.001049430562854458,1.1438234427728267
8,42824,0.01866746385583755,0.019801980198019802,848,-0.0011345163421822534,1.3072267917403733
9,42824,0.027982113273590105,0.03096394545114889,1326,-0.002981832177558784,2.044083403122329
