d,n,p_moyen,taux_obs,ventes,ecart,lift
0,42824,0.007419692878072303,0.007402391182514478,317,1.7301695557824827e-05,0.4886685058746443
1,42824,0.008806722968052284,0.008546609377918924,366,0.0002601135901333599,0.5642040162464347
2,42824,0.011427018633392,0.010601531851298338,454,0.0008254867820936609,0.6998596267100584
3,42824,0.013016872909956703,0.012703157108163646,544,0.00031371580179305643,0.8385983192296734
4,42824,0.014069654045542763,0.013520455819166822,579,0.0005491982263759413,0.8925522552095237
5,42823,0.014834986153588458,0.014571608714942905,624,0.0002633774386455526,0.9619440642020093
6,42824,0.016566263779014035,0.01606575751914814,688,0.000500506259865894,1.0605802272610576
7,42824,0.01849812717931196,0.01643937978703531,704,0.002058747392276652,1.0852448837089892
8,42824,0.020959948891574195,0.020058845507192228,859,0.0009011033843819675,1.3241837430483263
9,42824,0.03510341996910706,0.031571081636465534,1352,0.0035323383326415284,2.084163469850218
