commune,n,ventes,taux_base,taux_top10pct,lift_top10,n_ventes
97415,50593,880,0.0174,0.0331,1.9,880
97422,42523,726,0.0171,0.0296,1.73,726
97416,42045,636,0.0151,0.036,2.38,636
97411,36981,590,0.016,0.0224,1.4,590
97414,29141,404,0.0139,0.0291,2.1,404
97412,28875,449,0.0155,0.0241,1.55,449
97413,22763,301,0.0132,0.0284,2.15,301
97409,22513,303,0.0135,0.0184,1.37,303
97410,21622,319,0.0148,0.0251,1.7,319
97418,16646,220,0.0132,0.0224,1.7,220
97408,13148,288,0.0219,0.057,2.6,288
97405,13122,191,0.0146,0.0293,2.01,191
97420,12490,113,0.009,0.0208,2.3,113
97407,10114,186,0.0184,0.0396,2.15,186
97404,9011,147,0.0163,0.041,2.51,147
97401,8560,130,0.0152,0.0254,1.67,130
97421,7034,61,0.0087,0.0136,1.57,61
97424,6555,114,0.0174,0.0218,1.26,114
97406,6446,103,0.016,0.0393,2.46,103
97403,6301,81,0.0129,0.0233,1.81,81
97419,6284,51,0.0081,0.0079,0.97,51
97402,6016,58,0.0096,0.0147,1.52,58
97423,5301,73,0.0138,0.0259,1.88,73
97417,4155,63,0.0152,0.0347,2.29,63
