idu,commune,v_score_v13,composition,dernier_evenement_date
97414000CV0938,Saint-Louis,52,BODACC_LJ:35;RNE_CESSATION:0;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2025-06-12
97414000CV0907,Saint-Louis,52,BODACC_LJ:35;RNE_CESSATION:0;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2025-06-12
97416000CS1391,Saint-Pierre,50,BODACC_LJ:35;GEO_HORS_ILE:15,2025-04-10
97416000CR0605,Saint-Pierre,47,BODACC_LJ:35;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8,2026-03-20
97416000CR0616,Saint-Pierre,47,BODACC_LJ:35;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8,2026-03-20
97412000BN0900,Saint-Joseph,47,BODACC_LJ:35;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8,2025-10-31
97414000CV0912,Saint-Louis,47,BODACC_LJ:35;RNE_CESSATION:0;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8,2025-06-12
97414000EN1937,Saint-Louis,47,BODACC_LJ:35;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8,2025-10-31
97416000ES2069,Saint-Pierre,43,BODACC_LJ:35;DVF_TENURE_OBS5:8,2025-07-17
97416000ES2071,Saint-Pierre,43,BODACC_LJ:35;DVF_TENURE_OBS5:8,2025-07-17
97416000CR1231,Saint-Pierre,43,BODACC_RJ:30;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2025-03-12
97416000CR0815,Saint-Pierre,43,BODACC_RJ:30;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2025-03-12
97416000CR0847,Saint-Pierre,43,BODACC_RJ:30;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2025-03-12
97409000AT1072,Saint-André,43,BODACC_LJ:35;DVF_TENURE_OBS5:8,2024-06-14
97411000BL0390,Saint-Denis,43,BODACC_RJ:30;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2015-07-29
97416000CR1230,Saint-Pierre,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-03-12
97416000CR1228,Saint-Pierre,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-03-12
97416000CR1229,Saint-Pierre,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-03-12
97416000CR0817,Saint-Pierre,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-03-12
97416000CR0729,Saint-Pierre,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-03-12
97416000CR0728,Saint-Pierre,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-03-12
97411000BL0132,Saint-Denis,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2015-07-29
97411000AZ0005,Saint-Denis,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2025-06-20
97422000DH0982,Le Tampon,38,BODACC_RJ:30;DVF_TENURE_OBS5:8,2026-06-04
97415000AC0253,Saint-Paul,35,BODACC_RJ:30;NU_PM_HORS_IMMO:5,2025-05-23
97412000BV0421,Saint-Joseph,29,GEO_AUTRE_COMMUNE:4;FRICHE:18;DVF_TENURE_OBS5:7,
97415000AB0369,Saint-Paul,27,GEO_AUTRE_COMMUNE:4;FRICHE:18;NU_PM_HORS_IMMO:5,
97407000AH0577,Le Port,25,FRICHE:18;DVF_TENURE_OBS5:7,
97414000DM0041,Saint-Louis,25,FRICHE:18;DVF_TENURE_OBS5:7,
97415000EY0111,Saint-Paul,23,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8,
97416000EK0516,Saint-Pierre,23,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8;NU_PM_HORS_IMMO:5,2026-06-24
97416000IM0019,Saint-Pierre,23,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8,
