idu,mouvement,v_v12,v_v13,motif
97409000AK1223,gardée,41,23,V v1.3 23 ≥ seuil 17
97409000AT1072,gardée,43,43,V v1.3 43 ≥ seuil 17
97410000AR0224,gardée,42,17,V v1.3 17 ≥ seuil 17
97411000AZ0005,gardée,38,38,V v1.3 38 ≥ seuil 17
97411000BL0132,gardée,60,38,V v1.3 38 ≥ seuil 17
97411000BL0390,gardée,65,43,V v1.3 43 ≥ seuil 17
97412000BN0900,gardée,59,47,V v1.3 47 ≥ seuil 17
97412000BV0421,gardée,51,29,V v1.3 29 ≥ seuil 17
97414000CV0907,gardée,77,52,V v1.3 52 ≥ seuil 17
97414000CV0912,gardée,72,47,V v1.3 47 ≥ seuil 17
97414000CV0938,gardée,77,52,V v1.3 52 ≥ seuil 17
97414000EN1937,gardée,59,47,V v1.3 47 ≥ seuil 17
97415000AB0369,gardée,45,27,V v1.3 27 ≥ seuil 17
97415000AC0253,gardée,35,35,V v1.3 35 ≥ seuil 17
97416000CR0605,gardée,47,47,V v1.3 47 ≥ seuil 17
97416000CR0616,gardée,47,47,V v1.3 47 ≥ seuil 17
97416000CR0728,gardée,38,38,V v1.3 38 ≥ seuil 17
97416000CR0729,gardée,38,38,V v1.3 38 ≥ seuil 17
97416000CR0815,gardée,43,43,V v1.3 43 ≥ seuil 17
97416000CR0817,gardée,38,38,V v1.3 38 ≥ seuil 17
97416000CR0847,gardée,43,43,V v1.3 43 ≥ seuil 17
97416000CR1228,gardée,38,38,V v1.3 38 ≥ seuil 17
97416000CR1229,gardée,38,38,V v1.3 38 ≥ seuil 17
97416000CR1230,gardée,38,38,V v1.3 38 ≥ seuil 17
97416000CR1231,gardée,43,43,V v1.3 43 ≥ seuil 17
97416000CS1391,gardée,50,50,V v1.3 50 ≥ seuil 17
97416000ES2069,gardée,61,43,V v1.3 43 ≥ seuil 17
97416000ES2071,gardée,61,43,V v1.3 43 ≥ seuil 17
97416000IM0019,gardée,45,23,V v1.3 23 ≥ seuil 17
97422000AH0351,gardée,45,23,V v1.3 23 ≥ seuil 17
97422000CX0848,gardée,35,23,V v1.3 23 ≥ seuil 17
97422000DH0982,gardée,38,38,V v1.3 38 ≥ seuil 17
97402000AH1953,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97402000AI0691,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97402000AI0725,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97402000AK1363,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97404000AX0650,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97407000AT0118,sortie,37,15,"V passe de 37 à 15 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97407000AV0238,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97407000BL0246,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97408000BO0240,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97409000AL2355,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97409000AR1232,sortie,35,5,"V passe de 35 à 5 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97409000AY1101,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97410000AS0689,sortie,38,5,"V passe de 38 à 5 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97410000BD0204,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97410000BD0730,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97411000AP0258,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97411000HI0422,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97412000BW0944,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97412000BW0945,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000AC0257,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000AC0285,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000AC0304,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000AC0379,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000CU0652,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000DC0543,sortie,47,0,"V passe de 47 à 0 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97413000DC0561,sortie,47,0,"V passe de 47 à 0 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97414000DV0656,sortie,35,5,"V passe de 35 à 5 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97414000HE0226,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000CM1648,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000CS0523,sortie,34,9,"V passe de 34 à 9 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000CT0667,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000CZ1065,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97415000EW0405,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000DO0032,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000ER0600,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000ES0874,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97416000HV0056,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97418000AW0226,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97418000BI0226,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97418000BL0026,sortie,35,5,"V passe de 35 à 5 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97420000AH0089,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000BE1000,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000BK1138,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000CX0121,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97422000CX0125,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97423000AB0138,sortie,34,12,"V passe de 34 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
97423000AB1347,sortie,37,12,"V passe de 37 à 12 — points famille B retirés (dirigeant/SCI/cessation → 0, v1.3) ; sous le seuil 17"
