idu,commune,siren,dirigeant_age,sci_dormante,horizon
97401000AD0340,Les Avirons,821508694,87,False,3-7 ans
97401000AD0341,Les Avirons,821508694,87,False,3-7 ans
97401000AD0343,Les Avirons,821508694,87,False,3-7 ans
97401000AD0665,Les Avirons,414212522,82,False,3-7 ans
97401000AD0961,Les Avirons,414212522,82,False,3-7 ans
97401000AD0962,Les Avirons,414212522,82,False,3-7 ans
97401000AD0963,Les Avirons,414212522,82,False,3-7 ans
97401000AD1616,Les Avirons,414212522,82,False,3-7 ans
97401000AE0071,Les Avirons,824838882,77,False,3-7 ans
97401000AL0709,Les Avirons,818787665,80,False,3-7 ans
97401000AL0806,Les Avirons,793202748,74,False,3-7 ans
97401000AM0490,Les Avirons,798900122,84,False,3-7 ans
97401000AM0688,Les Avirons,492533112,72,False,3-7 ans
97401000AM0873,Les Avirons,409371614,82,False,3-7 ans
97401000AM0874,Les Avirons,409371614,82,False,3-7 ans
97401000AM0875,Les Avirons,409371614,82,False,3-7 ans
97401000AM0876,Les Avirons,409371614,82,False,3-7 ans
97401000AM1148,Les Avirons,404299547,75,False,3-7 ans
97401000AM1149,Les Avirons,404299547,75,False,3-7 ans
97401000AM1151,Les Avirons,404299547,75,False,3-7 ans
97401000AM1496,Les Avirons,404299547,75,False,3-7 ans
97401000AN0960,Les Avirons,421362369,75,False,3-7 ans
97401000AN0961,Les Avirons,414891127,70,False,3-7 ans
97401000AN0974,Les Avirons,793043100,71,False,3-7 ans
97401000AO1051,Les Avirons,478710601,72,False,3-7 ans
97401000AP1153,Les Avirons,437960701,74,False,3-7 ans
97401000AR0004,Les Avirons,414891127,70,False,3-7 ans
97401000AR0958,Les Avirons,414891127,70,False,3-7 ans
97401000AR0961,Les Avirons,414891127,70,False,3-7 ans
97401000AR1131,Les Avirons,404299547,75,False,3-7 ans
97401000AR1448,Les Avirons,429887300,71,False,3-7 ans
97401000AR1473,Les Avirons,793203340,97,False,3-7 ans
97401000AR1485,Les Avirons,793203340,97,False,3-7 ans
97401000AR1486,Les Avirons,793203340,97,False,3-7 ans
97401000AR1487,Les Avirons,793203340,97,False,3-7 ans
