feature,bloc,bin,effectif,taux_evenement,woe,coef,log_hazard
rot_nu,Z,≤ 0.00116,21559,0.014425529941091888,-0.2921172562154858,0.5520744700434522,-0.16127047941571165
rot_nu,Z,"(0.00116, 0.001707]",21244,0.014921860289964225,-0.25781655501865675,0.5520744700434522,-0.14233393798035346
rot_nu,Z,"(0.001707, 0.002142]",21068,0.015616100246819822,-0.21169403036368814,0.5520744700434522,-0.11687086962439562
rot_nu,Z,"(0.002142, 0.003715]",87094,0.017303143729763243,-0.10856160564516937,0.5520744700434522,-0.05993409090362313
rot_nu,Z,"(0.003715, 0.004813]",64211,0.018221177056890563,-0.05583724255114788,0.5520744700434522,-0.030826316090112667
rot_nu,Z,"(0.004813, 0.005247]",21961,0.01912481216702336,-0.005767117572971816,0.5520744700434522,-0.003183878377776696
rot_nu,Z,"(0.005247, 0.006132]",43356,0.02002029707537596,0.04030384480235593,0.5520744700434522,0.022250723759974198
rot_nu,Z,"(0.006132, 0.008405]",64261,0.02037005337607569,0.057789900387887325,0.5520744700434522,0.03190432863050679
rot_nu,Z,"(0.008405, 0.01331]",64442,0.02240774650072934,0.1551773135226894,0.5520744700434522,0.08566943312580538
rot_nu,Z,> 0.01331,22467,0.028130146436996482,0.3889128451116586,0.5520744700434522,0.21470885285811012
rot_bati,Z,≤ 0.001762,21364,0.008706234787492979,-0.8017855668510109,0.4394355623119419,-0.3523330914227731
rot_bati,Z,"(0.001762, 0.005093]",63932,0.014108740536820371,-0.3156803358162934,0.4394355623119419,-0.13872116588025554
rot_bati,Z,"(0.005093, 0.006774]",43691,0.014327893616534297,-0.2998037279933809,0.4394355623119419,-0.13174441979398782
rot_bati,Z,"(0.006774, 0.009318]",64580,0.016429235057293278,-0.16113895402739334,0.4394355623119419,-0.07081018687338575
rot_bati,Z,"(0.009318, 0.01018]",21799,0.01853296022753337,-0.03775917284273856,0.4394355623119419,-0.016592723350582626
rot_bati,Z,"(0.01018, 0.01262]",43345,0.019102549313646328,-0.0075292088171424265,0.4394355623119419,-0.0033086021103250133
rot_bati,Z,"(0.01262, 0.01887]",86555,0.019733117670845127,0.025285254269423327,0.4394355623119419,0.01111123992808447
rot_bati,Z,"(0.01887, 0.03087]",42958,0.026141812933563015,0.3132285404348435,0.4394355623119419,0.13764375979813429
rot_bati,Z,"(0.03087, 0.04573]",20737,0.02705309350436418,0.3488629235445603,0.4394355623119419,0.15330277497759184
rot_bati,Z,> 0.04573,22702,0.03999647608140252,0.7529069536512143,0.4394355623119419,0.33085409054629256
med_pm2_terrain_36m,Z,≤ 2.682,39129,0.012957141761864601,-0.40660730502087117,-0.02962270120376773,0.012044806703902513
med_pm2_terrain_36m,Z,"(2.682, 126.7]",98414,0.01722315930660272,-0.11835108289860646,-0.02962270120376773,0.003505878765847764
med_pm2_terrain_36m,Z,"(126.7, 156.8]",39749,0.02020176608216559,0.04451926795893225,-0.02962270120376773,-0.0013187809725579203
med_pm2_terrain_36m,Z,"(156.8, 172.4]",19339,0.01597807539169554,-0.19335387087472064,-0.02962270120376773,0.005727663943513738
med_pm2_terrain_36m,Z,"(172.4, 213.1]",39574,0.020088947288623843,0.03881008355764875,-0.02962270120376773,-0.0011496595089214878
med_pm2_terrain_36m,Z,"(213.1, 230.2]",19469,0.01890184395705994,-0.022595162103716725,-0.02962270120376773,0.0006693297356490964
med_pm2_terrain_36m,Z,"(230.2, 250]",17365,0.0161243881370573,-0.1839254333465438,-0.02962270120376773,0.005448368155798164
med_pm2_terrain_36m,Z,"(250, 339]",61203,0.020195088476055095,0.04396833042767677,-0.02962270120376773,-0.001302460714687598
med_pm2_terrain_36m,Z,"(339, 403.8]",20723,0.024369058533996044,0.23668100386348337,-0.02962270120376773,-0.0070111306580557635
med_pm2_terrain_36m,Z,> 403.8,39481,0.02862136217421038,0.4013526435079798,-0.02962270120376773,-0.011889149435979194
