parcelle_id,commune,p_mutation_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97415000HM0081,97415,0.727273,0.5104,0.6511,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000HC0094,97411,0.727273,0.5937,0.8717,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000EO0123,97411,0.727273,0.4369,0.9193,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000AC0204,97411,0.727273,0.483,0.8748,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000AH0043,97411,0.727273,0.402,1.9511,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,permis_bin [<2a]: +0.697
97410000AS0377,97410,0.727273,0.0011,1.1243,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: -0.573,piscine [true]: +0.414
97411000HD0032,97411,0.727273,0.2096,0.7667,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: +0.667,piscine [true]: +0.414,"canopee_pct [(34.6, 61.2]]: -0.332"
97411000HE0384,97411,0.727273,0.4095,0.885,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000AD0082,97411,0.727273,0.3671,1.6957,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697,rot_bati [> 0.04573]: +0.331
97411000HR0060,97411,0.727273,0.04,0.8198,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: -0.310
97411000HL0011,97411,0.727273,0.3945,1.1098,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,piscine [true]: +0.414,rot_nu [> 0.01331]: +0.215
97411000HM0025,97411,0.727273,0.435,0.7064,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000BP0934,97411,0.727273,0.688,0.8748,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000DT0075,97411,0.727273,0.653,0.6441,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97415000DE0799,97415,0.727273,0.44,0.8837,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000HB0513,97411,0.727273,0.3124,0.7651,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*ndvi_moyen: -0.340,rot_bati [> 0.04573]: +0.331
97415000DH0329,97415,0.727273,0.4973,0.7109,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000AL0088,97411,0.727273,0.4226,0.9882,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000HK0297,97415,0.727273,0.3953,0.5801,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97411000HV0207,97411,0.727273,0.2118,1.2103,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97415000HM0005,97415,0.727273,0.527,0.7763,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97416000DN0012,97416,0.727273,-0.0188,0.9853,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,piscine [true]: +0.414
97416000DW0097,97416,0.727273,0.5318,0.8924,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HH0315,97411,0.727273,0.4094,1.0614,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HV0057,97411,0.727273,0.427,1.2606,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,piscine [true]: +0.414
97415000DE0550,97415,0.727273,0.4157,1.3025,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97416000CZ0925,97416,0.727273,0.1969,0.9732,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: +0.599,piscine [true]: +0.414,tenure_bin*filo_pct_prop: +0.300
97416000DR0441,97416,0.727273,0.4165,0.8395,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97415000HK0092,97415,0.727273,0.4484,1.1745,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,piscine [true]: +0.414
97411000DN0183,97411,0.727273,0.1719,0.2932,tenure_bin*surface_m2: +3.440,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,"canopee_pct [(34.6, 61.2]]: -0.332"
97411000HV0192,97411,0.727273,0.355,0.9632,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97422000CH0372,97422,0.727273,0.3102,1.621,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697,rot_bati [> 0.04573]: +0.331
97422000BZ0288,97422,0.694444,0.3684,0.9848,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000DH0169,97415,0.694444,0.5835,0.7267,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97422000EL0167,97422,0.694444,0.1811,0.5705,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,tenure_bin*rot_bati: +0.599,"canopee_pct [(34.6, 61.2]]: -0.332",tenure_bin*filo_pct_prop: -0.238
97411000AY0385,97411,0.694444,0.2357,1.1985,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,piscine [true]: +0.414
97416000DX0074,97416,0.694444,0.3577,1.4452,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*surface_m2: +0.713,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97408000BM0178,97408,0.694444,0.2047,1.1994,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97408000AP1149,97408,0.694444,0.812,1.3281,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,nu_constructible [true]: +0.458
97411000HM0017,97411,0.694444,0.4345,0.8851,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000DH0052,97411,0.694444,0.4622,0.8553,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HM0093,97411,0.694444,0.4041,0.6648,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
