feature,signe_majoritaire,n_folds_concordants,stable_5_sur_6
rot_nu,1.0,6,True
rot_bati,1.0,6,True
med_pm2_terrain_36m,-1.0,5,True
med_pm2_bati_36m,-1.0,5,True
tendance_pm2_bati,1.0,5,True
permis_24m_norm,-1.0,4,False
dens_bati_secteur,-1.0,6,True
pct_bati_secteur,-1.0,6,True
filo_snv_pp,1.0,6,True
filo_pct_pauv,1.0,6,True
filo_pct_prop,-1.0,6,True
filo_dens_pop,0.0,0,False
qpv,-1.0,4,False
pente_moy_deg,-1.0,6,True
acces_equipements,1.0,5,True
zone_plu,1.0,6,True
window_coverage,-1.0,4,False
nu_constructible,1.0,6,True
surface_m2,1.0,6,True
dormance_droits,-1.0,4,False
sous_densite,-1.0,6,True
sdp_residuelle_m2,1.0,6,True
tenure_bin,1.0,6,True
permis_bin,1.0,6,True
canopee_pct,1.0,6,True
ndvi_moyen,1.0,6,True
friche,1.0,6,True
piscine,1.0,6,True
pv_candidat,1.0,6,True
