parcelle_id,commune,p_mutation_fonciere_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97408000AP1647,97408,1.0,1.0089,1.724,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97408000AP1610,97408,1.0,1.0782,1.664,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97408000AP1609,97408,1.0,1.0782,1.7045,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97423000AB1910,97423,0.449276,0.9192,1.7786,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97415000DK1044,97415,0.34375,0.8335,1.6515,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97408000AP1605,97408,0.34375,0.6966,1.7045,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97418000AT2542,97418,0.34375,0.6855,1.7087,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97404000AT0870,97404,0.34375,0.6945,1.6846,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97418000AT2379,97418,0.34375,0.5832,1.8157,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97423000AB1342,97423,0.34375,0.8785,1.7235,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97411000KA0296,97411,0.34375,0.5761,1.7912,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97410000CD0905,97410,0.34375,0.5576,1.7908,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97423000AB1908,97423,0.34375,0.9052,1.7537,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97423000AB1911,97423,0.34375,0.9144,1.769,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97410000AS1425,97410,0.34375,0.5991,1.7537,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97418000AT2317,97418,0.34375,0.5924,1.7923,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97408000AP1603,97408,0.34375,0.6911,1.6938,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97422000AD1237,97422,0.34375,0.4735,2.0744,permis_bin [<2a]: +1.295,piscine [true]: +0.412,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221
97418000AT2541,97418,0.308897,0.6855,1.679,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97409000AR1260,97409,0.20438,0.0128,1.9491,permis_bin [<2a]: +1.295,piscine [true]: +0.412,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,surface_m2*permis_bin: +0.125
97415000AY1622,97415,0.20438,0.3818,1.7923,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97414000CV0772,97414,0.20438,0.5253,1.6938,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97414000EN4045,97414,0.20438,0.4656,1.6399,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97410000AS1450,97410,0.20438,0.5935,1.592,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97415000AB0783,97415,0.20438,0.6121,0.6159,tenure_bin*surface_m2: +1.455,tenure_bin [<1]: +0.892,zone_plu [AU]: +0.388,surface_m2 [> 1.204e+04]: -0.262,tenure_bin*rot_nu: -0.224
97415000AB0847,97415,0.20438,0.9115,1.4074,permis_bin [<2a]: +1.295,zone_plu [AU]: +0.388,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214"
97407000AH0233,97407,0.20438,-0.1015,2.1848,permis_bin [<2a]: +1.295,piscine [true]: +0.412,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
97415000AY1535,97415,0.20438,0.3763,1.7591,permis_bin [<2a]: +1.295,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195
