parcelle_id,commune,rang,mult_base,event_date,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97423000AB1908,Les Trois-Bassins,1.0,63.97,,1.7537,ancienneté du dernier permis [<2a] +1.30,zone PLU [AU] +0.39,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,"rotation foncier nu du secteur [(0.008753, 0.01151]] +0.21"
97423000AB1910,Les Trois-Bassins,4.0,63.97,,1.7786,ancienneté du dernier permis [<2a] +1.30,zone PLU [AU] +0.39,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,"rotation foncier nu du secteur [(0.008753, 0.01151]] +0.21"
97423000AB1911,Les Trois-Bassins,6.0,34.53,,1.769,ancienneté du dernier permis [<2a] +1.30,zone PLU [AU] +0.39,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,"rotation foncier nu du secteur [(0.008753, 0.01151]] +0.21"
97411000KA0296,Saint-Denis,7.0,21.99,,1.7912,ancienneté du dernier permis [<2a] +1.30,zone PLU [AU] +0.39,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,"rotation foncier nu du secteur [(0.008753, 0.01151]] +0.21"
97410000CD0905,Saint-Benoît,8.0,21.99,,1.7908,ancienneté du dernier permis [<2a] +1.30,zone PLU [AU] +0.39,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22
97418000AT2379,Sainte-Marie,9.0,21.99,2025-08-28,1.8157,ancienneté du dernier permis [<2a] +1.30,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97418000AT2317,Sainte-Marie,11.0,21.99,2025-08-28,1.7923,ancienneté du dernier permis [<2a] +1.30,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97410000AS1425,Saint-Benoît,16.0,21.99,,1.7537,ancienneté du dernier permis [<2a] +1.30,zone PLU [AU] +0.39,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,"rotation foncier nu du secteur [(0.008753, 0.01151]] +0.21"
97422000AD1237,Le Tampon,17.0,21.99,,2.0744,ancienneté du dernier permis [<2a] +1.30,piscine détectée [true] +0.41,zone PLU [AU] +0.39,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22
97411000EL0665,Saint-Denis,24.0,13.32,,1.7908,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,"rotation foncier nu du secteur [(0.006453, 0.008753]] +0.13"
97415000AY1622,Saint-Paul,25.0,13.07,2025-08-28,1.7923,ancienneté du dernier permis [<2a] +1.30,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97416000EY1406,Saint-Pierre,27.0,13.07,,2.1695,ancienneté du dernier permis [<2a] +1.30,piscine détectée [true] +0.41,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97403000AR1423,Entre-Deux,28.0,13.07,,1.7468,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,croisement surface de la parcelle × ancienneté du dernier permis +0.13
97411000CE1132,Saint-Denis,36.0,13.07,,1.8049,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,croisement surface de la parcelle × ancienneté du dernier permis +0.13
97415000AY1587,Saint-Paul,39.0,13.07,2025-08-28,1.7847,ancienneté du dernier permis [<2a] +1.30,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97412000CP0462,Saint-Joseph,41.0,13.07,,1.7815,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,croisement surface de la parcelle × ancienneté du dernier permis +0.13
97415000AX1100,Saint-Paul,47.0,13.07,2025-08-28,1.7968,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,"rotation foncier nu du secteur [(0.006453, 0.008753]] +0.13"
97415000AY1541,Saint-Paul,49.0,13.07,2025-08-28,1.7923,ancienneté du dernier permis [<2a] +1.30,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97422000BX1123,Le Tampon,50.0,13.07,,1.8061,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,"rotation bâti du secteur [(0.01002, 0.01179]] +0.09"
97413000AV2267,Saint-Leu,53.0,13.07,,1.7842,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,"rotation foncier nu du secteur [(0.006453, 0.008753]] +0.13"
97412000CP0461,Saint-Joseph,58.0,13.07,,1.7674,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,croisement surface de la parcelle × ancienneté du dernier permis +0.13
97415000AY1625,Saint-Paul,65.0,13.07,2025-08-28,1.7786,ancienneté du dernier permis [<2a] +1.30,rotation foncier nu du secteur [> 0.01151] +0.31,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20
97415000DE1325,Saint-Paul,67.0,13.07,2025-08-28,1.7674,ancienneté du dernier permis [<2a] +1.30,canopée [≤ 0.4] +0.24,croisement ancienneté de la dernière mutation × ancienneté du dernier permis +0.22,nu constructible [true] +0.20,rotation bâti du secteur [> 0.01526] +0.18
