parcelle_id,mouvement,motif
97404000AW0166,sortie,rang P 316622 > N_sortie 3423
97407000AH0577,sortie,rang P 325377 > N_sortie 3423
97407000AS0156,sortie,rang P 240573 > N_sortie 3423
97407000AX0191,sortie,"chaude, D 1.44 ≥ seuil mais ni événement < 12 mois ni top décile D (1.75)"
97407000AX0192,sortie,rang P 4628 > N_sortie 3423
97408000AP1203,sortie,rang P 19644 > N_sortie 3423
97408000AP1327,sortie,"chaude, D 1.63 ≥ seuil mais ni événement < 12 mois ni top décile D (1.75)"
97409000AK1223,sortie,rang P 71295 > N_sortie 3423
97409000AT1072,sortie,rang P 87592 > N_sortie 3423
97410000AR0224,sortie,rang P 342777 > N_sortie 3423
97410000BE0309,sortie,rang P 7048 > N_sortie 3423
97411000AZ0005,sortie,rang P 19645 > N_sortie 3423
97411000BL0132,sortie,rang P 161404 > N_sortie 3423
97411000BL0390,sortie,rang P 85028 > N_sortie 3423
97412000BK1700,sortie,rang P 18064 > N_sortie 3423
97412000BN0900,sortie,rang P 355645 > N_sortie 3423
97412000BV0421,sortie,rang P 377706 > N_sortie 3423
97413000BM0568,sortie,rang P 292915 > N_sortie 3423
97413000CH0229,sortie,rang P 217685 > N_sortie 3423
97413000CW0238,sortie,rang P 165911 > N_sortie 3423
97413000CX0109,sortie,rang P 301846 > N_sortie 3423
97413000CX2201,sortie,rang P 270723 > N_sortie 3423
97413000CY0489,sortie,rang P 152294 > N_sortie 3423
97413000CY0761,sortie,rang P 238348 > N_sortie 3423
97413000CY1358,sortie,rang P 202670 > N_sortie 3423
97413000DA0412,sortie,rang P 316823 > N_sortie 3423
97413000DA0494,sortie,rang P 253639 > N_sortie 3423
97413000DB0435,sortie,rang P 55889 > N_sortie 3423
97413000DL0261,sortie,rang P 294384 > N_sortie 3423
97413000DM0122,sortie,rang P 254016 > N_sortie 3423
97413000DM0175,sortie,rang P 180285 > N_sortie 3423
97413000DM0204,sortie,rang P 282459 > N_sortie 3423
97413000DM0228,sortie,rang P 224540 > N_sortie 3423
97413000DM0374,sortie,rang P 220208 > N_sortie 3423
97414000CV0907,sortie,rang P 124495 > N_sortie 3423
97414000CV0912,sortie,rang P 22743 > N_sortie 3423
97414000CV0938,sortie,rang P 3884 > N_sortie 3423
97414000DM0041,sortie,rang P 271917 > N_sortie 3423
97414000EN1937,sortie,rang P 58739 > N_sortie 3423
97415000AB0369,sortie,rang P 5670 > N_sortie 3423
97415000AB0739,sortie,rang P 19443 > N_sortie 3423
97415000AB0740,sortie,rang P 3447 > N_sortie 3423
97415000AB0741,sortie,rang P 4027 > N_sortie 3423
97415000AB0742,sortie,rang P 59986 > N_sortie 3423
97415000AB0743,sortie,rang P 20534 > N_sortie 3423
97415000AC0253,sortie,chaude mais contribution D 0.62 < seuil 1.42
97415000AX0988,sortie,rang P 161384 > N_sortie 3423
97415000AX1105,sortie,rang P 10555 > N_sortie 3423
97415000AY1294,sortie,rang P 51762 > N_sortie 3423
97415000AY1424,sortie,rang P 33000 > N_sortie 3423
97415000AY1637,sortie,rang P 17045 > N_sortie 3423
97415000CR0403,sortie,rang P 208892 > N_sortie 3423
97415000CT0316,sortie,rang P 231635 > N_sortie 3423
97415000CW0132,sortie,rang P 149225 > N_sortie 3423
