idu;commune;adresse_ban;code_postal;ville;surface_m2;tier_v2;rang_v2;mult_v2;copro;veille_succession;statut_matrice;q_score;a_score;completeness;proprio;v_score;v_band;top_signaux
97423000AB1908;Les Trois-Bassins;27 Impasse des Pétrels;97426;Les Trois-Bassins;313;brulante;1;64.0;;;ecartee;44;64;92;;0;aucun;
97423000AB1910;Les Trois-Bassins;35 Impasse des Pétrels;97426;Les Trois-Bassins;250;brulante;4;64.0;;;ecartee;44;63;92;DU SUD;12;faible;Détention longue (aucune mutation DVF 2021-2025) — combinée à d'autres signaux | Siège Réunion, autre commune que la parcelle
97423000AB1911;Les Trois-Bassins;33 Impasse des Pétrels;97426;Les Trois-Bassins;184;brulante;6;34.5;;;ecartee;29;63;92;;0;aucun;
97423000AB1441;Les Trois-Bassins;;;;933;chaude;26;13.1;;;a_surveiller;65;62;92;;0;aucun;
97423000AB0321;Les Trois-Bassins;36 Chemin des Badamiers;97426;Les Trois-Bassins;3896;chaude;547;5.8;;;chaude;72;66;92;;0;aucun;
97423000AB1954;Les Trois-Bassins;4 b Allée des Palmiers;97426;Les Trois-Bassins;204;chaude;634;5.8;;;ecartee;27;64;92;;0;aucun;
97423000AB1750;Les Trois-Bassins;;;;123;a_creuser;860;5.8;;;ecartee;45;63;92;;0;aucun;
97423000AB1915;Les Trois-Bassins;43 Impasse des Pétrels;97426;Les Trois-Bassins;303;chaude;1003;5.0;;;ecartee;44;63;92;PRYASEL;4;faible;Siège Réunion, autre commune que la parcelle
97423000AB1805;Les Trois-Bassins;;;;157;a_creuser;1055;5.0;;;ecartee;38;60;92;;0;aucun;
97423000AB1912;Les Trois-Bassins;31 Impasse des Pétrels;97426;Les Trois-Bassins;224;brulante;1172;5.0;;;ecartee;29;63;92;;0;aucun;
97423000AE0927;Les Trois-Bassins;7 Rue Cocâtre;97426;Les Trois-Bassins;1300;chaude;1206;5.0;;;ecartee;1;61;92;;0;aucun;
97423000AB1905;Les Trois-Bassins;19 Impasse des Pétrels;97426;Les Trois-Bassins;281;brulante;1250;5.0;;;ecartee;34;63;92;;0;aucun;
97423000AK1348;Les Trois-Bassins;;;;819;chaude;1256;5.0;;;ecartee;8;59;92;;0;aucun;
97423000AK1793;Les Trois-Bassins;;;;405;a_creuser;1278;5.0;;;ecartee;29;73;92;SOCIETE DE DEVELOPPEMENT ET DE GESTION D'IMMOBILIER SOCIAL;;na;
97423000AB1846;Les Trois-Bassins;11 Chemin de la Poudrière;97426;Les Trois-Bassins;3412;chaude;1327;5.0;;;a_surveiller;77;62;92;LIBER;15;faible;Siège hors Réunion (métropole/étranger)
97423000AB0057;Les Trois-Bassins;11 Chemin de la Poudrière;97426;Les Trois-Bassins;4936;chaude;1367;5.0;;;a_surveiller;82;62;92;LIBER;15;faible;Siège hors Réunion (métropole/étranger)
97423000AI0524;Les Trois-Bassins;55 Chemin Mnémonide;97426;Les Trois-Bassins;512;chaude;1410;5.0;;;ecartee;36;62;92;;0;aucun;
97423000AB1914;Les Trois-Bassins;41 apprt 1 Impasse des Pétrels;97426;Les Trois-Bassins;284;chaude;1439;5.0;;;ecartee;44;63;92;VILLAS LES BASSINS;4;faible;Siège Réunion, autre commune que la parcelle
97423000AK1867;Les Trois-Bassins;7 Chemin Col de Cygne;97426;Les Trois-Bassins;495;a_creuser;1502;5.0;;;ecartee;18;60;92;;0;aucun;
97423000AB1904;Les Trois-Bassins;21 Impasse des Pétrels;97426;Les Trois-Bassins;243;brulante;1510;5.0;;;ecartee;34;67;92;SYNERGIE PROMOTION;4;faible;Siège Réunion, autre commune que la parcelle
