commune,zone,typezone,n_polygones,surface_ha,vocation_reglement,habitat_autorise,verdict_moteur,usages_moteur,faisabilite_moteur,ecart,anomalie_rattachement,source,verif
Bras-Panon,1AUa,AUc,3,15,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUb,AUc,5,17,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUc,AUc,2,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUd,AUc,3,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,1AUe,AUc,3,23,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Bras-Panon,1AUec,AUc,5,18,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Bras-Panon,1AUt,AUc,2,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,2AUa,AUs,2,9,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,2AUb,AUs,2,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,2AUc,AUs,2,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,2AUec,AUs,1,3,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Bras-Panon,A,A,25,1215,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,AUst,AUs,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Bras-Panon,Acu,A,2,185,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,N,N,21,882,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nli,N,3,164,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Npnr,N,1,5180,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nr,N,18,639,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nsc,N,1,46,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nt2,N,1,1,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nt3,N,1,3,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Nup,N,1,0,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Bras-Panon,Ua,U,1,10,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Ub,U,2,152,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Uba,U,2,43,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Uc,U,3,59,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Ud,U,11,35,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Udu,U,1,7,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Bras-Panon,Ue,U,5,20,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)","ECART PROBABLE (libellé économique/activités, non vérifié au règlement) : moteur = constructible logement",,,non vérifié
Cilaos,A,A,66,636,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,AUb,AUc,11,27,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,AUb1,AUc,1,1,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,AUb2,AUc,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,AUst,AUs,1,2,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",ECART : zone AU STRICTE (typezone GPU AUs — ouverture subordonnée à modification/révision) traitée comme constructible par la cascade,,,non vérifié
Cilaos,Anc,A,22,21,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,N,N,8,7408,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,Ndé,N,1,4,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,Nto,N,5,12,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,NtoPOS,N,1,13,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Cilaos,Ua,U,1,16,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Uah,U,2,8,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Ub,U,18,267,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Ub1,U,1,1,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Cilaos,Uc,U,10,19,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
Entre-Deux,A,A,19,356,non vérifié,,EXCLUE si recouvrement A/N >= 90 % (sinon flag),aucun (inconstructible),non constructible (estimation générique),,,,non vérifié
Entre-Deux,AUb,AUc,16,16,non vérifié,,CONSTRUCTIBLE (bonus zonage_u_au),aucune distinction d'usage — traitée comme constructible logement,"constructible LOGEMENT (estimation générique, he=9.0 hf=-)",,,,non vérifié
