idu,commune,status,tier_v2,rang_v2,etage0,n_zones_raw,n_zones_dedup,total_cov_raw_pct,total_cov_dedup_pct,an_cov_raw_pct,an_cov_dedup_pct,uau_cov_raw_pct,uau_cov_dedup_pct,zone_majoritaire_raw,zone_majoritaire_dedup,verdict_raw,verdict_dedup,hard_exclude_infonde,zone_majoritaire_change,verdict_change
97408000AB0154,La Possession,ecartee,ecartee,173160,1,3,2,149.6,100.0,99.1,49.6,50.4,50.4,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AB0371,La Possession,ecartee,ecartee,117831,1,3,2,145.4,100.0,90.7,45.4,54.6,54.6,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC0008,La Possession,ecartee,ecartee,314501,1,5,3,149.5,100.0,99.0,49.5,50.5,50.5,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC0202,La Possession,ecartee,ecartee,299028,1,5,3,145.0,100.0,90.2,45.1,54.9,54.9,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC0203,La Possession,ecartee,ecartee,179536,1,5,3,145.8,100.0,91.7,45.8,54.2,54.2,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC2688,La Possession,ecartee,ecartee,290959,1,3,2,146.2,100.0,92.5,46.2,53.8,53.8,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC2856,La Possession,ecartee,ecartee,61789,1,3,2,148.8,100.0,97.6,48.8,51.2,51.2,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3146,La Possession,ecartee,ecartee,265372,1,4,3,147.1,100.0,94.3,47.2,52.8,52.8,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3363,La Possession,ecartee,ecartee,52796,1,3,2,145.7,100.0,91.5,45.7,54.3,54.3,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3510,La Possession,ecartee,ecartee,3088,1,3,2,146.0,100.0,92.0,46.0,54.0,54.0,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3511,La Possession,ecartee,ecartee,14779,1,3,2,147.3,100.0,94.7,47.3,52.7,52.7,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3512,La Possession,ecartee,ecartee,4304,1,3,2,147.6,100.0,95.2,47.6,52.4,52.4,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3513,La Possession,ecartee,ecartee,11311,1,3,2,147.6,100.0,95.2,47.6,52.4,52.4,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AC3519,La Possession,ecartee,ecartee,1780,1,3,2,150.0,100.0,99.9,50.0,50.0,50.0,N,U,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AH0314,La Possession,ecartee,ecartee,242736,1,4,3,148.6,100.0,97.3,48.6,51.4,51.4,N,AUc,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
97408000AN0446,La Possession,ecartee,ecartee,310177,1,5,4,145.7,100.0,91.4,45.7,54.3,54.3,N,AUs,HARD_EXCLUDE,POSITIVE_mixte,t,t,t
