idu,tier_v2,commune,surface_m2,road_len_m,classe
97403000AR1279,a_creuser,Entre-Deux,670,79,mutation_dvf
97403000AS1646,a_creuser,Entre-Deux,512,52,mutation_dvf
97404000AL0940,a_creuser,L'Étang-Salé,537,48,mutation_dvf
97404000AL0942,a_creuser,L'Étang-Salé,2468,314,mutation_dvf
97406000AI1062,a_creuser,La Plaine-des-Palmistes,410,85,mutation_dvf
97406000AV1022,a_creuser,La Plaine-des-Palmistes,1065,156,mutation_dvf
97408000AC3428,a_creuser,La Possession,395,33,mutation_dvf
97408000AM0419,a_creuser,La Possession,1576,171,mutation_dvf
97408000AM0639,a_creuser,La Possession,827,83,mutation_dvf
97408000AM0909,a_creuser,La Possession,332,33,mutation_dvf
97408000AN1404,a_creuser,La Possession,1422,200,mutation_dvf
97408000AN1484,a_creuser,La Possession,341,40,mutation_dvf
97408000AO0327,a_creuser,La Possession,1415,125,mutation_dvf
97408000AP1674,a_creuser,La Possession,429,37,mutation_dvf
97408000AR0862,chaude,La Possession,5492,744,mutation_dvf
97408000AT1631,a_creuser,La Possession,4520,486,mutation_dvf
97408000AT2039,chaude,La Possession,1494,190,mutation_dvf
97422000AK0772,a_creuser,Le Tampon,1605,205,mutation_dvf
97422000AV0553,a_creuser,Le Tampon,204,37,mutation_dvf
97422000BD3280,a_creuser,Le Tampon,295,47,mutation_dvf
97422000BH1572,a_creuser,Le Tampon,1202,177,mutation_dvf
97422000BK2236,a_creuser,Le Tampon,400,61,mutation_dvf
97422000BP0907,a_creuser,Le Tampon,1938,183,mutation_dvf
97422000BV2041,a_creuser,Le Tampon,365,49,mutation_dvf
97422000CX1171,a_creuser,Le Tampon,328,42,mutation_dvf
97401000AN0760,a_creuser,Les Avirons,1416,177,mutation_dvf
97423000AH1780,a_creuser,Les Trois-Bassins,346,46,mutation_dvf
97423000AI0538,a_creuser,Les Trois-Bassins,742,120,mutation_dvf
97405000AL1523,a_creuser,Petite-Île,1295,213,mutation_dvf
97405000AO0509,a_creuser,Petite-Île,624,73,mutation_dvf
97405000AW0934,a_creuser,Petite-Île,1135,187,mutation_dvf
97405000AW1076,a_creuser,Petite-Île,2976,261,mutation_dvf
97405000AX0320,a_creuser,Petite-Île,609,53,mutation_dvf
97409000AM0620,a_creuser,Saint-André,383,63,mutation_dvf
97409000AS1705,a_creuser,Saint-André,394,66,mutation_dvf
97409000AX0526,a_creuser,Saint-André,211,37,mutation_dvf
97409000AY1051,a_creuser,Saint-André,926,130,mutation_dvf
97409000BM0634,a_creuser,Saint-André,417,56,mutation_dvf
97409000BM0984,a_creuser,Saint-André,321,68,mutation_dvf
97409000BM0997,a_creuser,Saint-André,289,36,mutation_dvf
97409000BN0216,a_creuser,Saint-André,326,58,mutation_dvf
97409000BR0114,a_creuser,Saint-André,683,61,mutation_dvf
97410000AC0583,a_creuser,Saint-Benoît,955,101,mutation_dvf
97410000AT1076,a_creuser,Saint-Benoît,294,60,mutation_dvf
97410000AV0389,a_creuser,Saint-Benoît,904,102,mutation_dvf
97410000BE0558,a_creuser,Saint-Benoît,570,69,mutation_dvf
97410000BH0640,a_creuser,Saint-Benoît,567,95,mutation_dvf
97410000BX1757,a_creuser,Saint-Benoît,276,41,mutation_dvf
97411000AW0265,a_creuser,Saint-Denis,723,128,mutation_dvf
97411000AY0558,a_creuser,Saint-Denis,299,57,mutation_dvf
97411000BD0563,a_creuser,Saint-Denis,361,46,mutation_dvf
97411000BH0111,a_creuser,Saint-Denis,1010,150,mutation_dvf
97411000BH0236,a_creuser,Saint-Denis,250,36,mutation_dvf
97411000BH0292,a_creuser,Saint-Denis,564,88,mutation_dvf
97411000BH0361,a_creuser,Saint-Denis,617,74,mutation_dvf
97411000BZ0422,a_creuser,Saint-Denis,2314,251,mutation_dvf
97411000CI0176,a_creuser,Saint-Denis,419,76,mutation_dvf
97411000DV0061,a_creuser,Saint-Denis,414,37,mutation_dvf
97411000DV0068,a_creuser,Saint-Denis,266,33,mutation_dvf
97411000DV0071,a_creuser,Saint-Denis,943,122,mutation_dvf
97411000DX0003,a_creuser,Saint-Denis,316,39,mutation_dvf
97411000EK0060,a_creuser,Saint-Denis,396,63,mutation_dvf
97411000EK0090,a_creuser,Saint-Denis,268,48,mutation_dvf
97411000EZ0017,a_creuser,Saint-Denis,2709,302,mutation_dvf
97411000EZ0088,a_creuser,Saint-Denis,278,42,mutation_dvf
97411000HB0167,a_creuser,Saint-Denis,1782,160,mutation_dvf
97411000HB0371,chaude,Saint-Denis,2206,235,mutation_dvf
97411000HE0066,a_creuser,Saint-Denis,487,86,mutation_dvf
97411000HO0011,a_creuser,Saint-Denis,436,94,mutation_dvf
97411000HW0179,a_creuser,Saint-Denis,443,75,mutation_dvf
97411000HX0135,a_creuser,Saint-Denis,319,57,mutation_dvf
97411000IC0364,a_creuser,Saint-Denis,1483,260,mutation_dvf
97411000IH0185,a_creuser,Saint-Denis,1268,214,mutation_dvf
97411000IH0407,a_creuser,Saint-Denis,322,30,mutation_dvf
97411000IL0182,a_creuser,Saint-Denis,444,85,mutation_dvf
97411000IT0591,a_creuser,Saint-Denis,251,42,mutation_dvf
97411000IW0117,a_creuser,Saint-Denis,834,115,mutation_dvf
97411000IW0123,a_creuser,Saint-Denis,459,43,mutation_dvf
97411000IW0133,a_creuser,Saint-Denis,243,36,mutation_dvf
97411000IW0255,a_creuser,Saint-Denis,1476,169,mutation_dvf
97411000KC0315,a_creuser,Saint-Denis,2532,256,mutation_dvf
97412000AV0975,a_creuser,Saint-Joseph,523,114,mutation_dvf
97412000BC0749,a_creuser,Saint-Joseph,218,37,mutation_dvf
97412000BK0970,a_creuser,Saint-Joseph,847,94,mutation_dvf
97412000BK1342,a_creuser,Saint-Joseph,299,44,mutation_dvf
97412000BM0363,a_creuser,Saint-Joseph,388,40,mutation_dvf
97412000BP0492,a_creuser,Saint-Joseph,322,60,mutation_dvf
97412000BT0679,a_creuser,Saint-Joseph,205,51,mutation_dvf
97412000BX1212,a_creuser,Saint-Joseph,323,42,mutation_dvf
97412000CD0781,a_creuser,Saint-Joseph,592,50,mutation_dvf
97412000CV0683,a_creuser,Saint-Joseph,344,60,mutation_dvf
97412000CZ1052,a_creuser,Saint-Joseph,344,31,mutation_dvf
97413000AC0848,a_creuser,Saint-Leu,485,42,mutation_dvf
97413000BM0715,chaude,Saint-Leu,895,124,mutation_dvf
97413000BM0791,a_creuser,Saint-Leu,465,61,mutation_dvf
97413000CA0170,a_creuser,Saint-Leu,2140,178,mutation_dvf
97413000CI0573,a_creuser,Saint-Leu,277,36,mutation_dvf
97413000CN0821,a_creuser,Saint-Leu,1150,178,mutation_dvf
97413000CN1039,a_creuser,Saint-Leu,338,83,mutation_dvf
97413000CR1108,a_creuser,Saint-Leu,355,45,mutation_dvf
97413000CT0364,a_creuser,Saint-Leu,433,43,mutation_dvf
97413000CX1157,a_creuser,Saint-Leu,314,48,mutation_dvf
97413000CX2870,a_creuser,Saint-Leu,361,35,mutation_dvf
97413000CX2892,a_creuser,Saint-Leu,244,53,mutation_dvf
97413000CX2893,chaude,Saint-Leu,1292,191,mutation_dvf
97413000CX2896,chaude,Saint-Leu,1323,199,mutation_dvf
97413000CX2897,chaude,Saint-Leu,2411,249,mutation_dvf
97413000DE2172,a_creuser,Saint-Leu,216,33,mutation_dvf
97414000DT0270,a_creuser,Saint-Louis,524,64,mutation_dvf
97414000EK0274,a_creuser,Saint-Louis,890,80,mutation_dvf
97414000EM0989,a_creuser,Saint-Louis,898,95,mutation_dvf
97414000EM0993,a_creuser,Saint-Louis,372,33,mutation_dvf
97414000EN2862,a_creuser,Saint-Louis,980,96,mutation_dvf
97414000EN2984,a_creuser,Saint-Louis,952,140,mutation_dvf
97414000ES0721,chaude,Saint-Louis,1052,88,mutation_dvf
97414000ET1190,a_creuser,Saint-Louis,700,149,mutation_dvf
