idu,commune,statut_avant,statut_apres,etage0_avant,etage0_apres,tier_avant,tier_apres,rang_avant,rang_apres,motifs_he_v5
97424000AL0897,Cilaos,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,363239,363275,
97406000AL0563,La Plaine-des-Palmistes,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,325948,325973,
97408000AC1744,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,320013,320039,
97408000AC2480,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,109603,109613,
97408000AC3147,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,96572,96580,
97408000AN2046,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,385772,385807,
97408000AO1344,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,327220,327249,
97408000AO1380,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,342483,342500,
97408000AO1519,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,326362,326387,
97408000AS0572,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,393797,393832,
97408000AS0622,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,341382,341399,
97408000AS0625,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,192109,192105,
97408000AV1127,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,360790,360821,
97408000AV1128,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,399659,399693,
97408000AV1131,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,414810,414844,
97408000AW0929,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,356946,356976,
97408000AY0023,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,399273,399307,
97408000AY0218,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,322778,322796,
97408000AY0514,La Possession,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,43253,43252,
97407000AY0040,Le Port,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,317153,317183,
97423000AB0593,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,216015,216006,
97423000AB1229,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,158237,158229,
97423000AB1435,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,258755,258754,
97423000AB1436,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,231825,231818,
97423000AB1437,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,185891,185881,
97423000AC0161,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,385460,385494,
97423000AC0521,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,399317,399351,
97423000AD0149,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,375941,375975,
97423000AD0545,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,367691,367728,
97423000AD0546,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,372433,372473,
97423000AD0720,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,421026,421051,
97423000AI0676,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,157950,157942,
97423000AI0706,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,356839,356869,
97423000AK1130,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,317457,317488,
97423000AK1237,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,284100,284117,
97423000AK1328,Les Trois-Bassins,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,195133,195127,
97412000AZ0024,Saint-Joseph,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,72938,72924,
97412000AZ0277,Saint-Joseph,a_creuser,faux_positif_probable,0,1,a_creuser,a_creuser,80796,80790,prescription_plu:HARD_EXCLUDE
97412000CZ0840,Saint-Joseph,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,409158,409196,
97412000CZ0841,Saint-Joseph,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,396152,396188,
97412000CZ0883,Saint-Joseph,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,381630,381658,
97412000CZ1159,Saint-Joseph,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,396269,396305,
97412000CZ1191,Saint-Joseph,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,325714,325740,
