         commune         |    lib    | n_parcelles | ev_opportunite | ev_a_creuser | ev_exclue_fp | v2_brulante | v2_chaude | v2_a_creuser | v2_reserve 
-------------------------+-----------+-------------+----------------+--------------+--------------+-------------+-----------+--------------+------------
 Bras-Panon              | 1AUe      |          42 |              4 |           13 |           25 |           0 |         0 |           17 |          0
 Bras-Panon              | 1AUec     |          27 |              4 |           12 |           11 |           0 |         0 |           16 |          0
 Bras-Panon              | 2AUec     |           3 |              0 |            3 |            0 |           0 |         0 |            3 |          0
 Bras-Panon              | Ue        |         145 |              7 |           25 |          113 |           0 |         0 |           30 |          2
 Entre-Deux              | AUe       |          16 |              0 |            4 |           12 |           0 |         0 |            2 |          2
 L'Étang-Salé            | AUe       |          16 |              0 |            8 |            8 |           0 |         0 |            8 |          0
 L'Étang-Salé            | UE        |         193 |              7 |           50 |          136 |           0 |         0 |           53 |          4
 La Plaine-des-Palmistes | AUe       |           5 |              0 |            0 |            5 |           0 |         0 |            0 |          0
 La Plaine-des-Palmistes | Ue        |          29 |              0 |           18 |           11 |           0 |         0 |           15 |          3
 La Possession           | AUEm      |          26 |              5 |            6 |           15 |           0 |         3 |            8 |          0
 La Possession           | UE        |         153 |              7 |           14 |          132 |           0 |         1 |           17 |          3
 La Possession           | UEm       |          48 |              7 |           13 |           28 |           0 |         0 |           20 |          0
 Le Port                 | 1AUe      |           4 |              0 |            3 |            1 |           0 |         2 |            1 |          0
 Le Port                 | 1AUem     |          10 |              0 |            3 |            7 |           0 |         0 |            3 |          0
 Le Port                 | 2AUem     |           3 |              0 |            3 |            0 |           0 |         0 |            2 |          1
 Le Port                 | Ue        |         440 |             46 |          127 |          267 |           0 |         1 |          129 |         43
 Le Port                 | Uem       |         200 |             28 |           36 |          136 |           0 |         0 |           58 |          6
 Le Port                 | Umi       |          21 |              1 |            9 |           11 |           0 |         0 |            9 |          1
 Le Tampon               | 1AUe      |         153 |             29 |           65 |           59 |           0 |        35 |           52 |          7
 Le Tampon               | 2AUe      |          42 |              1 |           27 |           14 |           0 |         3 |           23 |          2
 Le Tampon               | Ue        |         107 |              2 |           24 |           81 |           0 |         0 |           19 |          7
 Les Avirons             | AUec      |           1 |              0 |            1 |            0 |           0 |         0 |            1 |          0
 Les Avirons             | AUes      |          15 |              2 |            5 |            8 |           0 |         0 |            3 |          4
 Les Avirons             | Ue        |           6 |              1 |            0 |            5 |           0 |         0 |            1 |          0
 Les Trois-Bassins       | 1AUe      |           7 |              0 |            4 |            3 |           0 |         0 |            4 |          0
 Les Trois-Bassins       | Ue        |           6 |              0 |            2 |            4 |           0 |         0 |            2 |          0
 Petite-Île              | 1AUz      |          74 |             18 |           33 |           23 |           0 |         0 |           48 |          3
 Petite-Île              | 2AUe      |          11 |              0 |            9 |            2 |           0 |         0 |            9 |          0
 Petite-Île              | AUE       |           5 |              0 |            4 |            1 |           0 |         0 |            4 |          0
 Petite-Île              | UE        |           2 |              0 |            0 |            2 |           0 |         0 |            0 |          0
 Petite-Île              | UEa       |          27 |              0 |           11 |           16 |           0 |         0 |           11 |          0
 Petite-Île              | UZ        |         131 |              2 |           30 |           99 |           0 |         1 |           31 |          0
 Saint-André             | 1AUe      |           7 |              0 |            6 |            1 |           0 |         0 |            5 |          1
 Saint-André             | UE        |         116 |              0 |           31 |           85 |           0 |         2 |           26 |          3
 Saint-André             | US        |         132 |              0 |           43 |           89 |           0 |         0 |           37 |          6
 Saint-Benoît            | AUe3      |           3 |              0 |            1 |            2 |           0 |         0 |            1 |          0
 Saint-Benoît            | Ue        |         301 |             26 |          123 |          152 |           0 |         0 |          119 |         30
 Saint-Denis             | AUx       |          92 |              0 |           51 |           41 |           0 |         1 |           46 |          4
 Saint-Denis             | UEa       |          49 |              9 |           26 |           14 |           0 |         0 |           16 |         19
 Saint-Denis             | UEc       |          30 |              8 |            8 |           14 |           0 |         0 |           14 |          2
 Saint-Denis             | UEp       |          23 |              8 |            5 |           10 |           0 |         0 |            6 |          7
 Saint-Denis             | Ui        |        6099 |             18 |          876 |         5205 |           1 |         8 |          834 |         51
