idu,commune,type_division,clarte,residuel_m2,nb,mx,compacite,pas50,foret,parc,trait
97415000BV0182,Saint-Paul,demolition,42.7,520,2,370,0.472,False,False,False,False
97415000AC0003,Saint-Paul,libre,34.0,1760,3,935,0.115,False,False,False,False
97415000AD0043,Saint-Paul,libre,55.6,1753,3,1768,0.154,False,False,False,False
97415000AH0108,Saint-Paul,libre,48.8,1765,16,188,0.108,False,False,False,False
97415000AH1309,Saint-Paul,libre,44.5,850,8,152,0.259,False,False,False,False
97415000AT0137,Saint-Paul,libre,48.2,919,12,136,0.129,False,False,False,False
97415000AW1532,Saint-Paul,libre,43.5,548,10,115,0.482,False,False,False,False
97415000BC0452,Saint-Paul,libre,34.0,1133,5,109,0.201,False,False,False,False
97415000BC0067,Saint-Paul,libre,51.4,955,6,192,0.181,False,False,False,False
97415000BC0038,Saint-Paul,libre,34.6,975,7,190,0.371,False,False,False,False
97415000BI0503,Saint-Paul,libre,36.4,1858,4,556,0.078,False,False,False,False
97415000BW0119,Saint-Paul,libre,45.8,996,4,197,0.215,False,False,False,False
97415000BW0826,Saint-Paul,libre,47.0,1486,5,714,0.342,False,False,False,False
97415000BW1207,Saint-Paul,libre,39.0,539,3,88,0.440,False,False,False,False
97415000CI0074,Saint-Paul,libre,37.8,2010,15,200,0.093,False,False,False,False
97415000CM0143,Saint-Paul,libre,48.3,717,1,327,0.391,False,False,False,False
97415000CM0485,Saint-Paul,libre,49.6,1072,4,241,0.107,False,False,False,False
97415000CM0132,Saint-Paul,libre,49.4,602,3,266,0.215,False,False,False,False
97415000CO0457,Saint-Paul,libre,50.8,1374,3,275,0.076,False,False,False,False
97415000CP0238,Saint-Paul,libre,68.8,2339,12,419,0.244,False,False,False,False
97415000CP0872,Saint-Paul,libre,38.3,939,3,248,0.124,False,False,False,False
97415000CP0632,Saint-Paul,demolition,49.8,870,2,788,0.212,False,False,False,False
97415000CR0776,Saint-Paul,libre,36.8,601,2,182,0.367,False,False,False,False
97415000CR0895,Saint-Paul,libre,49.4,2153,11,334,0.047,False,False,False,False
97415000CR0033,Saint-Paul,libre,49.4,837,6,188,0.273,False,False,False,False
97415000CR0034,Saint-Paul,libre,49.2,739,9,333,0.151,False,False,False,False
97415000CS1285,Saint-Paul,libre,34.9,1020,6,131,0.247,False,False,False,False
97415000CS0332,Saint-Paul,libre,56.8,1426,6,369,0.099,False,False,False,False
97415000CS0309,Saint-Paul,demolition,45.9,1051,6,386,0.421,False,False,False,False
97415000CS0835,Saint-Paul,libre,56.2,1570,10,490,0.153,False,False,False,False
97415000CT0137,Saint-Paul,libre,53.4,2145,19,218,0.079,False,False,False,False
97415000CT1899,Saint-Paul,libre,57.2,2654,4,573,0.074,False,False,False,False
97415000CT0164,Saint-Paul,libre,52.8,942,7,202,0.114,False,False,False,False
97415000CT3122,Saint-Paul,libre,50.0,1846,12,363,0.081,False,False,False,False
97415000CV0867,Saint-Paul,libre,63.2,2363,15,220,0.199,False,False,False,False
97415000CV1157,Saint-Paul,libre,54.0,1876,12,162,0.057,False,False,False,False
97415000CV0423,Saint-Paul,libre,48.4,857,4,134,0.255,False,False,False,False
97415000CY0180,Saint-Paul,libre,48.2,1223,11,114,0.110,True,False,False,True
97415000CZ0752,Saint-Paul,libre,55.6,1053,6,757,0.269,False,False,False,False
97415000CZ0120,Saint-Paul,libre,49.6,594,3,274,0.237,False,False,False,False
97415000CZ1301,Saint-Paul,libre,49.0,801,17,103,0.103,False,False,False,False
97415000CZ0085,Saint-Paul,libre,50.2,1006,13,156,0.362,False,False,False,False
97415000DH0258,Saint-Paul,libre,38.0,2760,11,313,0.052,False,False,False,False
97415000DH0142,Saint-Paul,libre,48.8,1410,6,437,0.092,False,False,False,False
97415000DH0188,Saint-Paul,libre,53.2,1447,14,339,0.064,False,False,False,False
97415000DM1573,Saint-Paul,libre,51.0,982,5,286,0.200,False,False,False,False
97415000DT0740,Saint-Paul,libre,35.7,682,5,160,0.229,False,False,False,False
97415000EH0042,Saint-Paul,libre,45.4,805,11,281,0.144,False,False,False,False
97415000EK0090,Saint-Paul,libre,50.8,1723,22,84,0.281,False,False,False,False
97415000EM0019,Saint-Paul,libre,44.1,1279,9,197,0.099,False,False,False,False
97415000ER0816,Saint-Paul,libre,55.6,1197,9,142,0.210,False,False,False,False
97415000ES0233,Saint-Paul,libre,49.6,595,8,185,0.677,False,False,False,False
97415000ES0255,Saint-Paul,libre,51.0,600,4,167,0.531,False,False,False,False
97415000ET0830,Saint-Paul,libre,55.8,1348,14,180,0.290,False,False,False,False
97415000ET0526,Saint-Paul,libre,40.7,1758,9,304,0.389,False,False,False,False
97415000EV0699,Saint-Paul,libre,49.2,2143,2,1456,0.063,False,False,False,False
97415000EW0335,Saint-Paul,libre,49.8,1336,11,418,0.085,True,False,False,True
97415000EW1327,Saint-Paul,libre,42.8,2641,28,277,0.053,False,False,False,False
97415000EW0454,Saint-Paul,libre,49.4,556,4,173,0.752,True,False,False,False
97415000EY0705,Saint-Paul,libre,48.4,1583,6,266,0.109,False,False,False,False
97415000EY0471,Saint-Paul,libre,52.8,1574,1,1136,0.368,False,False,False,False
97415000EY1725,Saint-Paul,libre,33.8,2490,10,211,0.050,False,False,False,False
97415000HM0185,Saint-Paul,libre,50.8,972,1,713,0.243,False,False,False,False
97415000HO0407,Saint-Paul,libre,48.0,1480,5,397,0.109,False,False,False,False
97415000HO0188,Saint-Paul,libre,50.6,1106,3,260,0.282,False,False,False,False
97415000HO0226,Saint-Paul,libre,54.6,1863,11,269,0.248,False,False,False,False
97415000HP0326,Saint-Paul,libre,41.3,1960,16,184,0.149,False,False,False,False
97415000HR0116,Saint-Paul,libre,49.0,983,5,279,0.080,False,False,False,False
97402000AH1346,Bras-Panon,libre,50.6,963,3,706,0.212,False,False,False,False
