idu,commune,surface_m2,residuel_m2,ratio_lot,facade_m,zone,elim_ratio,elim_zone_an,elim_rnu_hors_pau
97415000BI0215,Saint-Paul,3365,2357,0.700,45.1,U,True,False,False
97415000BK0067,Saint-Paul,3270,2651,0.811,54.9,N,True,True,False
97415000BN1051,Saint-Paul,2353,1439,0.612,14.3,U,True,False,False
97415000BN1252,Saint-Paul,2914,1773,0.608,16.5,U,True,False,False
97415000BN0657,Saint-Paul,1894,953,0.503,42.8,U,True,False,False
97415000BN0298,Saint-Paul,3155,2316,0.734,21.9,U,True,False,False
97415000BS0009,Saint-Paul,3479,2710,0.779,31.5,U,True,False,False
97415000BV1152,Saint-Paul,5747,3040,0.529,73.1,U,True,False,False
97415000BV0406,Saint-Paul,2053,1585,0.772,74.7,U,True,False,False
97415000BV0883,Saint-Paul,4843,2790,0.576,16.6,U,True,False,False
97415000AB0719,Saint-Paul,1499,886,0.591,34.1,AUs,True,False,False
97415000AB0687,Saint-Paul,4468,3299,0.738,32.9,AUs,True,False,False
97415000AB0618,Saint-Paul,1162,751,0.646,86.6,AUc,True,False,False
97415000AC0197,Saint-Paul,2245,1288,0.574,37.2,U,True,False,False
97415000AC0003,Saint-Paul,3629,1760,0.485,14.4,U,False,False,False
97415000AC0061,Saint-Paul,2061,1559,0.757,35.3,A,True,True,False
97415000AC0024,Saint-Paul,2551,1807,0.708,95.6,A,True,True,False
97415000AD0043,Saint-Paul,4760,1753,0.368,71.3,U,False,False,False
97415000AD0253,Saint-Paul,1611,1028,0.638,67.1,U,True,False,False
97415000AE0109,Saint-Paul,2597,1820,0.701,52.2,A,True,True,False
97415000AE0108,Saint-Paul,2081,1440,0.692,41.4,A,True,True,False
97415000AH0189,Saint-Paul,5885,5246,0.892,134.1,U,True,False,False
97415000AH1064,Saint-Paul,4936,3677,0.745,201.2,U,True,False,False
97415000AH0108,Saint-Paul,4221,1765,0.418,66.8,U,False,False,False
97415000AH0005,Saint-Paul,3201,2149,0.671,24.1,A,True,True,False
97415000AH0350,Saint-Paul,2608,2065,0.792,114.5,A,True,True,False
97415000AH0390,Saint-Paul,3126,2248,0.719,108.1,AUc,True,False,False
