idu,commune,variante,surface_m2,residuel_m2,bati_m2,bati_lot_m2,crit_ok,libre_pass,zone
97415000AC0003,Saint-Paul,libre,3629,1760,1170,0,True,True,U
97415000AD0043,Saint-Paul,libre,4760,1753,1993,0,True,True,U
97415000AD0043,Saint-Paul,demolition,4760,2220,1993,154,True,True,U
97415000AH0108,Saint-Paul,libre,4221,1765,1539,0,True,True,U
97415000AH1309,Saint-Paul,libre,2226,850,710,0,True,True,AUc
97415000AT0137,Saint-Paul,libre,1842,919,702,0,True,True,U
97415000AW1532,Saint-Paul,libre,1790,548,645,0,True,True,U
97415000BC0038,Saint-Paul,libre,2447,975,591,0,True,True,U
97415000BC0067,Saint-Paul,libre,2050,955,567,0,True,True,U
97415000BC0452,Saint-Paul,libre,2751,1133,342,0,True,True,U
97415000BI0503,Saint-Paul,libre,5429,1858,2110,0,True,True,U
97415000BV0182,Saint-Paul,demolition,1282,520,514,144,True,False,U
97415000BW0119,Saint-Paul,libre,2258,996,545,0,True,True,U
97415000BW0826,Saint-Paul,libre,4922,1486,1599,0,True,True,U
97415000BW1207,Saint-Paul,libre,1093,539,223,0,True,True,U
97415000CI0074,Saint-Paul,libre,5317,2010,1378,0,True,True,U
97415000CM0132,Saint-Paul,libre,1443,602,414,0,True,True,U
97415000CM0143,Saint-Paul,libre,1445,717,327,0,True,True,U
97415000CM0485,Saint-Paul,libre,2598,1072,544,0,True,True,U
97415000CO0457,Saint-Paul,libre,2918,1374,784,0,True,True,U
97415000CP0238,Saint-Paul,libre,5612,2339,1343,0,True,True,U
97415000CP0632,Saint-Paul,demolition,2388,870,1034,241,True,False,U
97415000CP0872,Saint-Paul,libre,1886,939,484,0,True,True,U
97415000CR0033,Saint-Paul,libre,1731,837,353,0,True,True,U
97415000CR0034,Saint-Paul,libre,2217,739,750,0,True,True,U
97415000CR0776,Saint-Paul,libre,1217,601,235,0,True,True,U
97415000CR0895,Saint-Paul,libre,4892,2153,1449,0,True,True,U
97415000CS0309,Saint-Paul,demolition,2160,1051,904,230,True,False,U
97415000CS0332,Saint-Paul,libre,2993,1426,738,0,True,True,U
97415000CS0835,Saint-Paul,libre,3146,1570,770,0,True,True,U
97415000CS1285,Saint-Paul,libre,2211,1020,466,0,True,True,U
