idu,commune,type_division,zone,zone_lib,surface_m2,lot_m2,solidite,compacite,emprise_restante,note_revue
97424000AE0089,Cilaos,decoupe,U,Ub,2387,609,0.998,0.793,0.112,
97403000AR1521,Entre-Deux,decoupe,U,Ub,2275,638,0.995,0.785,0.209,
97422000CL0575,Le Tampon,decoupe,U,Uc,2806,635,1.000,0.706,0.160,
97422000CY0118,Le Tampon,decoupe,U,Uc,1726,626,0.984,0.770,0.144,
97423000AH1514,Les Trois-Bassins,decoupe,U,Ua,1872,634,0.946,0.698,0.317,
97409000AR2367,Saint-André,decoupe,U,UC,2476,635,0.996,0.785,0.147,
97410000AV0207,Saint-Benoît,decoupe,U,Ub,1320,616,0.948,0.715,0.267,
97410000BK0219,Saint-Benoît,decoupe,U,Ub,1565,681,0.969,0.739,0.209,
97410000BM1144,Saint-Benoît,decoupe,U,Ub,1590,606,0.924,0.667,0.225,
97411000CH0320,Saint-Denis,decoupe,U,Uh,5368,638,0.891,0.627,0.098,
97411000CH0631,Saint-Denis,decoupe,AUc,AUh,2165,658,0.991,0.713,0.191,
97412000AH0413,Saint-Joseph,decoupe,U,U5vi,1320,615,0.994,0.793,0.375,
97412000AM0461,Saint-Joseph,decoupe,U,U5cv,2389,614,0.890,0.608,0.279,
97412000BE0229,Saint-Joseph,decoupe,U,U5,2272,621,0.998,0.785,0.329,
97412000BW0123,Saint-Joseph,decoupe,U,U3a,2325,650,0.938,0.702,0.172,
97412000CS0625,Saint-Joseph,decoupe,U,U5,1975,703,0.898,0.688,0.208,
97413000CM0268,Saint-Leu,decoupe,U,UC,4900,645,0.936,0.702,0.131,
97413000CR0093,Saint-Leu,decoupe,U,UC,1301,659,0.969,0.739,0.207,
97414000ES0629,Saint-Louis,decoupe,U,UB,1418,606,1.000,0.776,0.265,
97415000AX1059,Saint-Paul,decoupe,U,U4b,3238,625,1.000,0.785,0.139,
97415000CH1198,Saint-Paul,decoupe,U,U6c,2836,625,1.000,0.785,0.132,
97415000CP0511,Saint-Paul,decoupe,U,U3c,1492,625,1.000,0.785,0.181,
97415000DS0617,Saint-Paul,decoupe,U,U6c,2282,625,1.000,0.785,0.132,
97415000HO0423,Saint-Paul,decoupe,U,U6c,1728,663,0.961,0.789,0.200,
97416000HX0339,Saint-Pierre,decoupe,U,Us,1586,608,0.997,0.785,0.163,
97416000ID0021,Saint-Pierre,decoupe,U,Ug,1536,625,1.000,0.785,0.431,
97418000AO1527,Sainte-Marie,decoupe,U,UD,1600,642,0.973,0.736,0.212,
97415000BV0182,Saint-Paul,demolition,U,U6c,1282,520,,0.472,0.485,
97412000AM0946,Saint-Joseph,libre,U,U5,1191,576,,0.563,0.378,
97413000CQ0412,Saint-Leu,libre,U,UD,1029,509,,0.717,0.307,
97413000CR0068,Saint-Leu,libre,U,UC,1357,579,,0.582,0.336,
97413000CX0585,Saint-Leu,libre,U,UD,1694,772,,0.589,0.395,
97416000DM0665,Saint-Pierre,libre,U,Ud,1267,598,,0.697,0.339,
97418000AV2092,Sainte-Marie,libre,U,UB,1206,535,,0.505,0.565,
97420000BH1036,Sainte-Suzanne,libre,U,UB,1955,883,,0.485,0.557,Sainte-Suzanne UB au repli 60% (emprise non chiffree au PLU) — re-confronter si emprise chiffree
