idu,commune,surface_m2,bati_m2,lot_m2,solidite,compacite,facade_m,emprise_restante,zone,zone_lib,provenance
97424000AE0089,Cilaos,2387,200,609,0.998,0.793,51.0,0.112,U,Ub,reconstruit_v3
97403000AR1521,Entre-Deux,2275,342,638,0.995,0.785,25.6,0.209,U,Ub,reconstruit_v3
97422000CY0118,Le Tampon,1726,159,626,0.984,0.770,24.5,0.144,U,Uc,reconstruit_v3
97422000CL0575,Le Tampon,2806,348,635,1.000,0.706,21.1,0.160,U,Uc,reconstruit_v3
97423000AH1514,Les Trois-Bassins,1872,393,634,0.946,0.698,28.6,0.317,U,Ua,reconstruit_v3
97409000AR2367,Saint-André,2476,271,635,0.996,0.785,26.0,0.147,U,UC,reconstruit_v3
97410000AV0207,Saint-Benoît,1320,188,616,0.948,0.715,30.4,0.267,U,Ub,reconstruit_v3
97410000BK0219,Saint-Benoît,1565,184,681,0.969,0.739,32.4,0.209,U,Ub,reconstruit_v3
97410000BM1144,Saint-Benoît,1590,221,606,0.924,0.667,29.6,0.225,U,Ub,reconstruit_v3
97411000CH0631,Saint-Denis,2165,287,658,0.991,0.713,26.4,0.191,AUc,AUh,reconstruit_v3
97411000CH0320,Saint-Denis,5368,465,638,0.891,0.627,25.7,0.098,U,Uh,reconstruit_v3
97412000CS0625,Saint-Joseph,1975,265,703,0.898,0.688,30.7,0.208,U,U5,reconstruit_v3
97412000BW0123,Saint-Joseph,2325,288,650,0.938,0.702,30.3,0.172,U,U3a,reconstruit_v3
97412000BE0229,Saint-Joseph,2272,543,621,0.998,0.785,27.6,0.329,U,U5,reconstruit_v3
97412000AH0413,Saint-Joseph,1320,265,615,0.994,0.793,25.6,0.375,U,U5vi,reconstruit_v3
97412000AM0461,Saint-Joseph,2389,496,614,0.890,0.608,26.8,0.279,U,U5cv,reconstruit_v3
97413000CR0093,Saint-Leu,1301,133,659,0.969,0.739,27.1,0.207,U,UC,reconstruit_v3
97413000CM0268,Saint-Leu,4900,556,645,0.936,0.702,25.0,0.131,U,UC,reconstruit_v3
97414000ES0629,Saint-Louis,1418,215,606,1.000,0.776,26.6,0.265,U,UB,reconstruit_v3
97415000DS0617,Saint-Paul,2282,219,625,1.000,0.785,31.0,0.132,U,U6c,reconstruit_v3
97415000HO0423,Saint-Paul,1728,213,663,0.961,0.789,28.2,0.200,U,U6c,reconstruit_v3
97415000CH1198,Saint-Paul,2836,292,625,1.000,0.785,27.5,0.132,U,U6c,reconstruit_v3
97415000AX1059,Saint-Paul,3238,364,625,1.000,0.785,27.0,0.139,U,U4b,reconstruit_v3
97415000CP0511,Saint-Paul,1492,157,625,1.000,0.785,15.7,0.181,U,U3c,reconstruit_v3
97416000HX0339,Saint-Pierre,1586,160,608,0.997,0.785,29.0,0.163,U,Us,reconstruit_v3
97416000ID0021,Saint-Pierre,1536,393,625,1.000,0.785,28.2,0.431,U,Ug,reconstruit_v3
97418000AO1527,Sainte-Marie,1600,203,642,0.973,0.736,28.8,0.212,U,UD,reconstruit_v3
