idu,partition,date_vente,v_at_T,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97422000AK1349,ACHETEUR_PROBABLE,2024-03-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000IA0988,ACHETEUR_PROBABLE,2023-07-12,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AP0499,ACHETEUR_PROBABLE,2023-07-07,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR1663,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000HM0118,ACHETEUR_PROBABLE,2023-01-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000DH0320,ACHETEUR_PROBABLE,2024-12-31,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97415000CM2348,ACHETEUR_PROBABLE,2024-11-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000EW0565,ACHETEUR_PROBABLE,2023-04-05,11,pm,0,0,3,8,0,GEO_AUTRE_COMMUNE:3;DVF_TENURE_OBS5:8
97416000DW0182,ACHETEUR_PROBABLE,2024-04-05,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000EN3936,ACHETEUR_PROBABLE,2023-02-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AS0270,VENDEUR_CERTAIN,2025-09-03,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000DM0674,ACHETEUR_PROBABLE,2024-06-14,16,pm,0,12,4,0,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4
97414000DH1441,VENDEUR_CERTAIN,2025-09-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AP1830,ACHETEUR_PROBABLE,2024-03-20,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000DT0302,ACHETEUR_PROBABLE,2024-05-15,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0722,ACHETEUR_PROBABLE,2024-12-11,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000BI0383,VENDEUR_CERTAIN,2025-04-16,42,pm,30,0,4,8,0,BODACC_RJ:30;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0061,ACHETEUR_PROBABLE,2023-11-15,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97409000AX1097,VENDEUR_CERTAIN,2025-12-30,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97405000AW1215,VENDEUR_CERTAIN,2025-08-28,28,pm,20,0,0,8,0,BODACC_SAUVEGARDE:20;DVF_TENURE_OBS5:8
97409000BE0446,ACHETEUR_PROBABLE,2024-11-27,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97422000BW0219,ACHETEUR_PROBABLE,2024-11-26,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97424000AI2184,ACHETEUR_PROBABLE,2024-12-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AL0300,VENDEUR_CERTAIN,2025-01-22,65,pm,25,25,15,0,0,BODACC_RADIATION:25;RNE_CESSATION:25;GEO_HORS_ILE:15
97413000DE2118,VENDEUR_CERTAIN,2025-06-18,15,pm,0,0,15,0,0,GEO_HORS_ILE:15
97414000DR0105,ACHETEUR_PROBABLE,2023-05-31,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CW2830,ACHETEUR_PROBABLE,2023-06-13,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DE1059,VENDEUR_CERTAIN,2025-12-31,33,pm,0,25,0,8,0,RNE_CESSATION:25;DVF_TENURE_OBS5:8
97415000EV0800,ACHETEUR_PROBABLE,2024-02-08,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000AV0139,VENDEUR_CERTAIN,2025-07-11,16,pm,0,8,0,8,0,RNE_SCI_DORMANTE:8;DVF_TENURE_OBS5:8
97413000CX2551,VENDEUR_CERTAIN,2025-09-22,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97415000CM2365,ACHETEUR_PROBABLE,2024-11-02,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000HK0086,VENDEUR_CERTAIN,2025-09-11,20,pm,0,8,4,8,0,RNE_SCI_DORMANTE:8;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AD0688,ACHETEUR_PROBABLE,2023-08-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97417000AE0051,ACHETEUR_PROBABLE,2023-07-06,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000BH0238,VENDEUR_CERTAIN,2025-10-14,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97415000DS0101,ACHETEUR_PROBABLE,2024-11-19,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97402000AI1111,ACHETEUR_PROBABLE,2023-03-30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AT2395,VENDEUR_CERTAIN,2025-11-17,18,pm,10,0,0,8,0,BODACC_CESSION_FONDS:10;DVF_TENURE_OBS5:8
97411000AO0389,ACHETEUR_PROBABLE,2023-04-12,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000EX1903,ACHETEUR_PROBABLE,2024-12-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000CE0005,ACHETEUR_PROBABLE,2023-10-25,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR0663,ACHETEUR_PROBABLE,2024-11-29,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DI0711,VENDEUR_CERTAIN,2025-07-11,16,pm,0,8,0,8,0,RNE_SCI_DORMANTE:8;DVF_TENURE_OBS5:8
97416000DT0864,ACHETEUR_PROBABLE,2023-09-19,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000BP0858,ACHETEUR_PROBABLE,2023-02-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97401000AR1203,VENDEUR_CERTAIN,2025-08-22,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000BN0048,ACHETEUR_PROBABLE,2023-12-08,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97408000BL0288,ACHETEUR_PROBABLE,2023-05-23,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000DK0367,ACHETEUR_PROBABLE,2024-10-28,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000CD0122,ACHETEUR_PROBABLE,2024-12-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000DH0323,ACHETEUR_PROBABLE,2024-04-11,15,pm,0,0,15,0,0,GEO_HORS_ILE:15
97412000BW0930,ACHETEUR_PROBABLE,2024-04-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000EY1395,VENDEUR_CERTAIN,2025-08-08,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97420000BC1422,VENDEUR_CERTAIN,2025-05-28,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BT0511,ACHETEUR_PROBABLE,2023-01-04,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97404000AL1769,ACHETEUR_PROBABLE,2024-03-04,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0102,ACHETEUR_PROBABLE,2023-11-15,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97415000EW1476,VENDEUR_CERTAIN,2025-07-30,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97411000AP0494,ACHETEUR_PROBABLE,2023-07-07,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000CT0213,ACHETEUR_PROBABLE,2023-05-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000IM0126,ACHETEUR_PROBABLE,2023-08-02,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97406000AM0044,ACHETEUR_PROBABLE,2023-02-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97414000CH1848,ACHETEUR_PROBABLE,2023-01-10,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AC0887,ACHETEUR_PROBABLE,2023-03-30,20,pm,0,12,0,8,0,RNE_DIRIGEANT_65:12;DVF_TENURE_OBS5:8
97404000AI1990,ACHETEUR_PROBABLE,2023-10-20,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
