idu,vendue,T,v_stocke,v_recalcule,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97410000AR1663,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AS0270,1,2024-09-03,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97409000AP1830,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0722,1,2023-12-12,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000BI0383,1,2024-04-16,42,42,pm,30,0,4,8,0,BODACC_RJ:30;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0061,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97405000AW1215,1,2024-08-28,28,28,pm,20,0,0,8,0,BODACC_SAUVEGARDE:20;DVF_TENURE_OBS5:8
97422000BW0219,1,2023-11-27,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DE1059,1,2024-12-31,33,33,pm,0,25,0,8,0,RNE_CESSATION:25;DVF_TENURE_OBS5:8
97415000EV0800,1,2023-02-08,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97402000AI1111,1,2022-03-30,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AR0663,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DT0864,1,2022-09-19,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97401000AR1203,1,2024-08-22,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97414000DK0367,1,2023-10-29,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97420000BC1422,1,2024-05-28,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0102,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97404000AI1990,1,2022-10-20,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000BW0218,1,2023-12-25,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000DE0030,1,2022-04-19,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97406000AH0156,1,2023-12-18,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97410000AS1393,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AV0598,1,2023-08-24,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000CW0194,1,2024-06-13,45,45,pm,0,22,15,8,0,RNE_DIRIGEANT_75:22;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97414000CP0558,1,2024-03-31,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97414000CV1001,1,2024-03-25,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97412000BN1369,1,2024-06-26,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97407000BL0248,1,2024-11-27,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000BE1119,1,2022-03-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97416000DV0063,1,2022-08-30,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000KC0054,1,2024-10-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000EI0223,1,2022-11-02,29,29,copro,0,25,4,0,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4
97407000BC0044,1,2023-04-16,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000AT0039,1,2022-04-24,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97415000AB0739,1,2022-07-20,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000AB0743,1,2022-07-20,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000BI0350,1,2024-04-16,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000DE0162,1,2022-03-10,45,45,pm,0,22,15,8,0,RNE_DIRIGEANT_75:22;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97423000AK1121,1,2022-10-31,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000EX0375,1,2024-01-18,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AY0480,1,2023-12-17,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000BD3471,1,2022-05-23,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0742,1,2022-07-20,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000AT0042,1,2022-04-24,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000AL0415,1,2022-11-20,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97409000AP1826,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1114,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000DI0663,1,2023-06-19,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1386,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1415,1,2024-02-25,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97412000BV0219,1,2024-07-07,29,29,pm,0,0,4,25,0,GEO_AUTRE_COMMUNE:4;FRICHE:18;DVF_TENURE_OBS5:7
97413000DC0531,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000AE0382,1,2024-07-24,33,33,pm,0,25,0,8,0,RNE_CESSATION:25;DVF_TENURE_OBS5:8
97416000CS1578,1,2023-05-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97411000DR0478,1,2024-05-14,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97418000AY0667,1,2022-06-30,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AK0099,1,2024-12-30,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000DI0403,1,2023-07-28,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97416000DS0647,1,2023-03-30,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000BT0477,1,2024-02-06,43,43,pm,35,0,0,8,0,BODACC_LJ:35;DVF_TENURE_OBS5:8
97417000AT0943,1,2024-11-27,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000AL0088,1,2022-04-05,30,30,copro,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97419000AR0814,1,2024-09-18,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97409000AR1423,1,2022-05-31,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000HB0288,1,2022-03-20,35,35,pm,0,12,15,8,0,RNE_DIRIGEANT_65:12;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97415000HK0387,1,2023-05-30,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97413000DC0529,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97418000AY0669,1,2022-06-30,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000CH0225,1,2022-10-12,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97405000BE0805,1,2022-03-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97422000BT1020,1,2024-04-08,37,37,pm,0,25,4,8,0,RNE_CESSATION:25;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0059,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97416000DT0286,1,2023-08-22,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97410000AR1664,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1582,1,2023-05-01,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97424000AH0995,1,2024-11-07,35,35,pm,0,12,15,8,0,RNE_DIRIGEANT_65:12;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97411000HA0124,1,2024-10-21,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97409000AD0627,1,2024-05-26,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97413000DC0503,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97413000DC0542,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97409000AP1819,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000BW3474,1,2023-12-25,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97422000BS0735,1,2022-12-13,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97416000DT0123,1,2024-01-04,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000EV0903,1,2023-02-08,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97419000AP0417,1,2023-07-11,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000BZ1516,1,2024-03-14,41,41,pm,0,18,15,8,0,RNE_DIRIGEANT_70:18;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97411000AM0089,1,2023-12-17,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97413000DC0557,1,2024-08-27,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97418000AY0671,1,2022-06-30,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000CZ0043,1,2022-01-18,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000DW0146,1,2023-11-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97410000AS1465,1,2024-02-25,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97409000AP1821,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000HN0800,1,2024-04-15,35,35,pm,0,12,15,8,0,RNE_DIRIGEANT_65:12;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97423000AC0030,1,2023-01-09,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000EX0378,1,2024-01-18,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000EW0234,1,2023-03-01,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97407000AZ0014,1,2024-03-31,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AL0180,1,2023-11-19,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97420000BC1448,1,2024-05-28,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DS0551,1,2022-03-27,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97419000AI0499,1,2023-09-25,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97416000CV1873,1,2022-12-05,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97419000AW0197,1,2022-04-25,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000HK0388,1,2023-05-30,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97422000CD0348,1,2022-10-12,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97417000AT0330,1,2022-04-17,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97414000DN0590,1,2024-11-27,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000BK0060,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97416000CS1554,1,2023-06-14,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97411000DR0218,1,2022-06-05,33,33,pm,0,25,0,8,0,RNE_CESSATION:25;DVF_TENURE_OBS5:8
97411000IO0012,1,2024-11-21,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97415000AB0369,1,2023-12-07,41,41,pm,0,12,4,25,0,RNE_DIRIGEANT_65:12;GEO_AUTRE_COMMUNE:4;FRICHE:18;DVF_TENURE_OBS5:7
97423000AK1122,1,2022-10-31,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97406000AL0169,1,2023-11-19,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97420000AI0903,1,2024-12-12,47,47,pm,18,18,3,8,0,BODACC_RADIATION:18;RNE_CESSATION:18;GEO_AUTRE_COMMUNE:3;DVF_TENURE_OBS5:8
97410000AO0520,1,2024-12-16,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97410000AS1387,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AW1213,1,2024-08-28,28,28,pm,20,0,0,8,0,BODACC_SAUVEGARDE:20;DVF_TENURE_OBS5:8
97410000AS1394,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000BM1419,1,2023-06-29,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97410000AS1461,1,2024-03-31,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000ER0774,1,2022-08-22,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97422000BS0736,1,2022-12-13,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97402000AH0202,1,2023-10-31,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000HI1268,1,2024-06-20,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000AL1384,1,2022-10-19,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000EX0433,1,2024-01-18,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AE0537,1,2024-05-07,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
97415000AB0741,1,2022-07-20,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000AC0204,1,2022-01-05,40,40,copro,0,25,15,0,0,RNE_CESSATION:25;GEO_HORS_ILE:15
97418000BK0099,1,2022-11-15,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97409000AP1828,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97419000AW0198,1,2022-04-25,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97415000AB0832,1,2024-09-30,25,25,pm,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000AK1442,1,2023-12-28,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97418000AC1564,1,2022-09-28,30,30,pm,0,18,4,8,0,RNE_DIRIGEANT_70:18;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AM0145,1,2024-05-09,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97415000EX0435,1,2024-01-18,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97407000AB0064,1,2023-10-02,42,42,pm,30,0,4,8,0,BODACC_RJ:30;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000EL0553,1,2022-06-30,33,33,pm,10,0,15,8,0,BODACC_CESSION_FONDS:10;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97416000HN1249,1,2024-12-01,45,45,pm,0,22,15,8,0,RNE_DIRIGEANT_75:22;GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97412000CV0561,1,2023-08-01,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1250,1,2023-11-30,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97409000AP1823,1,2023-03-21,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000IO0013,1,2022-03-31,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000AN0692,1,2024-11-21,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97407000AH0342,1,2024-10-02,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97416000IH0066,1,2023-12-03,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97411000BE0424,1,2022-06-14,34,34,pm,0,22,4,8,0,RNE_DIRIGEANT_75:22;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AS1429,1,2024-03-10,26,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97414000DM0882,1,2022-09-19,25,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97422000CD0440,1,2022-08-18,30,30,pm,0,22,0,8,0,RNE_DIRIGEANT_75:22;DVF_TENURE_OBS5:8
