idu,vendue,T,v_recalcule,codes
97422000AK1349,1,2023-03-20,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000IA0988,1,2022-07-12,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97411000AP0499,1,2022-07-07,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000HM0118,1,2022-01-27,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH0320,1,2024-01-01,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97415000CM2348,1,2023-11-03,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000EW0565,1,2022-04-05,11,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000DW0182,1,2023-04-06,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN3936,1,2022-02-24,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DM0674,1,2023-06-15,16,GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000DH1441,1,2024-09-29,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97411000DT0302,1,2023-05-16,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97409000AX1097,1,2024-12-30,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97409000BE0446,1,2023-11-28,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97424000AI2184,1,2023-12-14,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97413000DE2118,1,2024-06-18,15,GEO_HORS_ILE
97414000DR0105,1,2022-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000CW2830,1,2022-06-13,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97411000AV0139,1,2024-07-11,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97413000CX2551,1,2024-09-22,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97415000CM2365,1,2023-11-03,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000HK0086,1,2024-09-11,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97410000AD0688,1,2022-08-29,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97417000AE0051,1,2022-07-06,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000BH0238,1,2024-10-14,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97415000DS0101,1,2023-11-20,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97418000AT2395,1,2024-11-17,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97411000AO0389,1,2022-04-12,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000EX1903,1,2023-12-11,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CE0005,1,2022-10-25,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000DI0711,1,2024-07-11,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000BP0858,1,2022-02-23,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000BN0048,1,2022-12-08,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97408000BL0288,1,2022-05-23,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000CD0122,1,2023-12-20,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH0323,1,2023-04-12,15,GEO_HORS_ILE
97412000BW0930,1,2023-04-25,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000EY1395,1,2024-08-08,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97412000BT0511,1,2022-01-04,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97404000AL1769,1,2023-03-05,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000EW1476,1,2024-07-30,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97411000AP0494,1,2022-07-07,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97412000CT0213,1,2022-05-26,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000IM0126,1,2022-08-02,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97406000AM0044,1,2022-02-24,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000CH1848,1,2022-01-10,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97418000AC0887,1,2022-03-30,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97416000CS1555,1,2023-04-10,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97411000KE0415,1,2023-02-15,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97412000AV0403,1,2022-01-10,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BY0849,1,2022-01-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000DI0073,1,2022-11-22,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97415000DE0743,1,2022-01-18,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BH1620,1,2023-12-20,15,GEO_HORS_ILE
97414000EN4112,1,2023-11-26,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97401000AM1460,1,2023-12-12,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97411000AD0210,1,2024-04-16,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97408000AV1464,1,2022-07-24,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97411000DT0303,1,2023-05-16,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97416000ET2152,1,2024-05-19,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97409000BM1384,1,2022-05-26,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000CP1444,1,2022-07-10,15,GEO_HORS_ILE
97408000AN1706,1,2023-08-24,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97411000CM0557,1,2024-07-11,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97423000AK0359,1,2024-02-27,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97421000AV0432,1,2022-09-07,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BY0847,1,2022-04-17,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97410000AL0430,1,2024-12-23,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000BO0713,1,2024-06-17,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97416000DS0393,1,2022-12-22,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97423000AH1767,1,2024-04-17,23,GEO_HORS_ILE;RNE_SCI_DORMANTE
97416000EX1754,1,2024-04-24,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97409000AV0547,1,2022-12-26,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97415000CT2989,1,2022-12-19,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97415000CW0422,1,2022-06-06,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
